date,direction,entry_price,exit_price,pnl_pts,pnl_pct,win,rsi_divergence,extreme_time_hour,tail_retracement,volume_decay
2021-01-08,short,15369.0,15448.0,-79.0,-0.5140217320580389,False,False,24.1,0.045714285714285714,0.7275022000595398
2021-01-15,short,15920.0,15598.0,322.0,2.022613065326633,True,False,24.25,0.4012539184952978,0.7605655939654018
2021-03-05,long,15654.0,15820.0,166.0,1.0604318385077296,True,True,27.0,0.18556701030927836,1.454108048657974
2021-03-19,long,16106.0,16005.0,-101.0,-0.6270954923630945,False,True,28.0,0.10697674418604651,0.9712900169356223
2021-03-23,short,16252.0,16118.0,134.0,0.8245139059808023,True,True,26.9,0.18421052631578946,0.40788561354544206
2021-04-06,short,16723.0,16735.0,-12.0,-0.07175745978592357,False,True,26.5,0.021897810218978103,0.517811121431057
2021-04-23,long,17118.0,17254.0,136.0,0.7944853370720879,True,True,26.03333333333333,0.24260355029585798,1.8610717617385895
2021-08-16,long,16864.0,16798.0,-66.0,-0.3913662239089184,False,False,19.083333333333332,0.3854166666666667,0.3199735788458455
2021-09-14,short,17496.0,17453.0,43.0,0.24577046181984452,True,True,28.983333333333334,0.0,0.7396448038199919
2021-10-05,long,16146.0,16393.0,247.0,1.529790660225443,True,True,23.65,0.2737226277372263,0.3444153637906109
2022-01-14,short,18461.0,18381.0,80.0,0.4333459725908672,True,True,22.933333333333334,0.5780346820809249,0.48635497973910163
2022-04-29,short,16603.0,16561.0,42.0,0.25296633138589414,True,False,27.366666666666667,0.20058997050147492,1.0027213384357319
2022-05-10,long,15780.0,16028.0,248.0,1.5716096324461342,True,True,28.8,0.03643724696356275,0.5587883026244552
2022-05-16,short,16034.0,15905.0,129.0,0.8045403517525258,True,True,28.983333333333334,0.010810810810810811,0.7391308017132455
2022-06-17,long,15250.0,15220.0,-30.0,-0.19672131147540983,False,True,26.9,0.3176470588235294,0.4567132536927955
2022-09-05,long,14686.0,14609.0,-77.0,-0.5243088655862727,False,True,27.733333333333334,0.20270270270270271,1.0952265670283308
