multiple,pooled_upper,pooled_lower,pooled_diff,yr_avg_diff,yr_max_abs,yr_pos,yr_neg,yr_zero,consistent_dir_>=4,pooled_diff_abs_>=10pp
0.618,0.2627388535031847,0.28821656050955413,-0.02547770700636942,-0.006942453681584124,0.14285714285714285,1,3,2,False,False
0.75,0.18630573248407642,0.20382165605095542,-0.017515923566879005,-0.0023204888457342885,0.11428571428571427,2,4,0,True,False
1.0,0.08598726114649681,0.10031847133757962,-0.014331210191082813,0.003793478974404641,0.14285714285714285,3,3,0,False,False
1.2,0.03980891719745223,0.06050955414012739,-0.02070063694267516,-0.005298444464994258,0.11428571428571428,1,5,0,True,False
