tier,N,pct_high_in_2h,pct_low_in_2h
deep STOP,430,61.395348837209305,59.53488372093023
mid STOP,299,60.86956521739131,61.87290969899666
mid GO,221,57.9185520361991,64.70588235294117
strong GO,314,60.19108280254777,62.738853503184714
