pct,cutoff_val,N,u_0.618,l_0.618,d_0.618,u_0.75,l_0.75,d_0.75,u_1.0,l_1.0,d_1.0,u_1.2,l_1.2,d_1.2,yr_avg_0.618,yr_neg_0.618,yr_avg_0.75,yr_neg_0.75,yr_avg_1.0,yr_neg_1.0,yr_avg_1.2,yr_neg_1.2
60,1.0198800013359413,506,0.36561264822134387,0.34782608695652173,1.7786561264822143,0.25691699604743085,0.25889328063241107,-0.19762845849802257,0.14031620553359683,0.16798418972332016,-2.766798418972333,0.07905138339920949,0.11857707509881422,-3.9525691699604737,2.2877330990029368,2/6,-0.36764738268714253,2/6,-3.128653691048573,3/6,-4.45222809931781,5/6
70,1.1256325650041805,379,0.37994722955145116,0.35356200527704484,2.6385224274406314,0.2717678100263852,0.28232189973614774,-1.0554089709762515,0.14511873350923482,0.19261213720316622,-4.74934036939314,0.0870712401055409,0.13720316622691292,-5.0131926121372015,3.146844323314911,2/6,-0.779541956012544,2/6,-4.740368710956946,4/6,-5.056819615643145,5/6
75,1.1968585482613674,316,0.3575949367088608,0.379746835443038,-2.215189873417722,0.26582278481012656,0.31645569620253167,-5.063291139240511,0.1360759493670886,0.22468354430379747,-8.860759493670885,0.0759493670886076,0.15822784810126583,-8.227848101265824,-2.289359080363523,3/6,-5.545005574793852,3/6,-9.418736636879204,5/6,-8.341299020569146,6/6
80,1.2804767122461682,253,0.36363636363636365,0.391304347826087,-2.766798418972333,0.2727272727272727,0.33201581027667987,-5.928853754940716,0.1541501976284585,0.23715415019762845,-8.300395256916996,0.08695652173913043,0.15810276679841898,-7.114624505928854,-3.628865172261809,3/6,-7.19212963931906,3/6,-9.476374298543314,5/6,-7.617520321062792,5/6
85,1.402623512001684,190,0.3736842105263158,0.3894736842105263,-1.578947368421052,0.2894736842105263,0.32105263157894737,-3.157894736842104,0.17894736842105263,0.23157894736842105,-5.263157894736842,0.10526315789473684,0.15263157894736842,-4.736842105263158,-4.297916136151431,3/6,-6.3569518716577535,2/6,-7.348378745437569,5/6,-5.55884475002122,4/6
90,1.5556948559278048,127,0.4094488188976378,0.4251968503937008,-1.574803149606302,0.33070866141732286,0.33858267716535434,-0.7874015748031482,0.1889763779527559,0.25984251968503935,-7.0866141732283445,0.11811023622047244,0.1732283464566929,-5.511811023622047,-4.6092796092796116,3/6,-3.575244200244201,2/6,-9.210927960927961,4/6,-6.318681318681318,4/6
