year,N_stop,upper_0.618,lower_0.618,diff_0.618,upper_0.75,lower_0.75,diff_0.75,upper_1.0,lower_1.0,diff_1.0,upper_1.2,lower_1.2,diff_1.2
2021,125,0.24,0.24,0.0,0.128,0.168,-0.04000000000000001,0.04,0.088,-0.047999999999999994,0.024,0.04,-0.016
2022,112,0.21428571428571427,0.32142857142857145,-0.10714285714285718,0.15178571428571427,0.24107142857142858,-0.0892857142857143,0.08928571428571429,0.16071428571428573,-0.07142857142857144,0.03571428571428571,0.08035714285714286,-0.04464285714285715
2023,117,0.3076923076923077,0.358974358974359,-0.051282051282051266,0.23076923076923078,0.2564102564102564,-0.025641025641025605,0.08547008547008547,0.11965811965811966,-0.03418803418803419,0.042735042735042736,0.09401709401709402,-0.05128205128205128
2024,115,0.2608695652173913,0.28695652173913044,-0.026086956521739146,0.21739130434782608,0.1826086956521739,0.03478260869565217,0.09565217391304348,0.0782608695652174,0.017391304347826084,0.043478260869565216,0.06956521739130435,-0.026086956521739132
2025,124,0.2661290322580645,0.2661290322580645,0.0,0.18548387096774194,0.1935483870967742,-0.008064516129032251,0.0967741935483871,0.08064516129032258,0.016129032258064516,0.024193548387096774,0.03225806451612903,-0.008064516129032258
2026,35,0.34285714285714286,0.2,0.14285714285714285,0.2571428571428571,0.14285714285714285,0.11428571428571427,0.17142857142857143,0.02857142857142857,0.14285714285714285,0.14285714285714285,0.02857142857142857,0.11428571428571428
