tier,N,l_2h_0.618,l_full_0.618,l_cap_0.618,l_2h_0.75,l_full_0.75,l_cap_0.75,l_2h_1.0,l_full_1.0,l_cap_1.0,l_2h_1.2,l_full_1.2,l_cap_1.2
deep STOP,430,0.1883720930232558,0.27906976744186046,0.6749999999999999,0.11395348837209303,0.20465116279069767,0.5568181818181819,0.046511627906976744,0.09302325581395349,0.5,0.030232558139534883,0.053488372093023255,0.5652173913043478
mid STOP,299,0.19732441471571907,0.3210702341137124,0.6145833333333334,0.11371237458193979,0.2140468227424749,0.53125,0.06354515050167224,0.12040133779264214,0.5277777777777778,0.043478260869565216,0.08695652173913043,0.5
mid GO,221,0.18552036199095023,0.2895927601809955,0.640625,0.10407239819004525,0.16289592760180996,0.638888888888889,0.049773755656108594,0.08144796380090498,0.611111111111111,0.03619909502262444,0.058823529411764705,0.6153846153846154
strong GO,314,0.30254777070063693,0.3821656050955414,0.7916666666666666,0.2070063694267516,0.3184713375796178,0.65,0.11464968152866242,0.22611464968152867,0.5070422535211268,0.07643312101910828,0.1592356687898089,0.48
