bucket,N,mean_hl,mean_up,mean_dn,either_0.618,upper_0.618,lower_0.618,diff_0.618,either_0.75,upper_0.75,lower_0.75,diff_0.75,either_1.0,upper_1.0,lower_1.0,diff_1.0,either_1.2,upper_1.2,lower_1.2,diff_1.2
norm < 0.70,285,0.8978629825920008,0.44423952229481983,0.4536234602971809,0.7649122807017544,0.256140350877193,0.24210526315789474,0.014035087719298261,0.6035087719298246,0.17543859649122806,0.17894736842105263,-0.0035087719298245723,0.3087719298245614,0.07368421052631578,0.08421052631578947,-0.01052631578947369,0.17192982456140352,0.0456140350877193,0.04912280701754386,-0.0035087719298245584
0.70 ≤ norm < 0.85,224,0.9753873398444336,0.4678262859362326,0.5075610539082009,0.8526785714285714,0.27232142857142855,0.33482142857142855,-0.0625,0.6607142857142857,0.20982142857142858,0.24107142857142858,-0.03125,0.39732142857142855,0.10714285714285714,0.12053571428571429,-0.01339285714285715,0.21428571428571427,0.044642857142857144,0.07589285714285714,-0.031249999999999993
0.85 ≤ norm < 1.00,220,0.9699714308075292,0.4786239885678331,0.4913474422396963,0.8636363636363636,0.2909090909090909,0.32727272727272727,-0.036363636363636376,0.6909090909090909,0.19090909090909092,0.21363636363636362,-0.022727272727272707,0.37727272727272726,0.08181818181818182,0.11363636363636363,-0.031818181818181815,0.20909090909090908,0.02727272727272727,0.08181818181818182,-0.05454545454545455
1.00 ≤ norm < 1.30,302,1.036977351034823,0.5356075933548853,0.5013697576799379,0.9205298013245033,0.3675496688741722,0.2947019867549669,0.07284768211920528,0.7748344370860927,0.23841059602649006,0.18543046357615894,0.05298013245033112,0.39403973509933776,0.11589403973509933,0.10264900662251655,0.01324503311258278,0.24503311258278146,0.06622516556291391,0.07947019867549669,-0.01324503311258278
norm ≥ 1.30,233,1.249588929938084,0.5706986645668173,0.6788902653712671,0.9570815450643777,0.3648068669527897,0.40772532188841204,-0.04291845493562235,0.871244635193133,0.27896995708154504,0.34334763948497854,-0.0643776824034335,0.6437768240343348,0.1630901287553648,0.24892703862660945,-0.08583690987124465,0.4206008583690987,0.09012875536480687,0.16738197424892703,-0.07725321888412016
