window_h,tier,lag,N,upper,lower,either,both
2,deep STOP,0,430,27.906976744186046,26.27906976744186,45.81395348837209,8.372093023255815
2,deep STOP,5,430,27.906976744186046,26.046511627906977,45.58139534883721,8.372093023255815
2,deep STOP,10,430,27.906976744186046,25.813953488372093,45.348837209302324,8.372093023255815
2,deep STOP,15,430,27.674418604651162,25.348837209302328,45.348837209302324,7.674418604651163
2,mid STOP,0,294,26.87074829931973,24.149659863945576,43.53741496598639,7.482993197278912
2,mid STOP,5,294,26.87074829931973,24.149659863945576,43.53741496598639,7.482993197278912
2,mid STOP,10,294,26.190476190476193,23.46938775510204,42.857142857142854,6.802721088435375
2,mid STOP,15,294,25.850340136054424,23.12925170068027,42.857142857142854,6.122448979591836
2,mid GO,0,220,26.36363636363636,20.909090909090907,42.72727272727273,4.545454545454546
2,mid GO,5,220,25.90909090909091,20.909090909090907,42.72727272727273,4.090909090909091
2,mid GO,10,220,25.90909090909091,20.454545454545457,42.72727272727273,3.6363636363636362
2,mid GO,15,220,25.90909090909091,20.454545454545457,42.72727272727273,3.6363636363636362
2,strong GO,0,314,21.337579617834397,24.203821656050955,39.80891719745223,5.7324840764331215
2,strong GO,5,314,21.337579617834397,24.203821656050955,39.80891719745223,5.7324840764331215
2,strong GO,10,314,21.337579617834397,24.203821656050955,39.80891719745223,5.7324840764331215
2,strong GO,15,314,21.337579617834397,24.203821656050955,39.80891719745223,5.7324840764331215
3,deep STOP,0,430,32.79069767441861,33.48837209302326,56.27906976744186,10.0
3,deep STOP,5,430,32.79069767441861,33.25581395348837,56.04651162790698,10.0
3,deep STOP,10,430,32.79069767441861,33.02325581395349,55.81395348837209,10.0
3,deep STOP,15,430,32.55813953488372,32.55813953488372,55.81395348837209,9.30232558139535
3,mid STOP,0,294,31.63265306122449,30.272108843537417,52.04081632653062,9.863945578231291
3,mid STOP,5,294,31.63265306122449,30.272108843537417,52.04081632653062,9.863945578231291
3,mid STOP,10,294,30.952380952380953,29.591836734693878,51.36054421768708,9.183673469387756
3,mid STOP,15,294,30.612244897959183,29.25170068027211,51.36054421768708,8.503401360544217
3,mid GO,0,220,31.363636363636367,27.27272727272727,52.72727272727272,5.909090909090909
3,mid GO,5,220,31.363636363636367,27.27272727272727,52.72727272727272,5.909090909090909
3,mid GO,10,220,31.363636363636367,27.27272727272727,52.72727272727272,5.909090909090909
3,mid GO,15,220,31.363636363636367,27.27272727272727,52.72727272727272,5.909090909090909
3,strong GO,0,314,28.662420382165603,30.254777070063692,51.910828025477706,7.006369426751593
3,strong GO,5,314,28.662420382165603,30.254777070063692,51.910828025477706,7.006369426751593
3,strong GO,10,314,28.662420382165603,30.254777070063692,51.910828025477706,7.006369426751593
3,strong GO,15,314,28.662420382165603,30.254777070063692,51.910828025477706,7.006369426751593
4,deep STOP,0,430,37.906976744186046,37.906976744186046,63.0232558139535,12.790697674418606
4,deep STOP,5,430,37.906976744186046,37.67441860465116,62.7906976744186,12.790697674418606
4,deep STOP,10,430,37.906976744186046,37.44186046511628,62.558139534883715,12.790697674418606
4,deep STOP,15,430,37.67441860465116,36.97674418604651,62.558139534883715,12.093023255813954
4,mid STOP,0,294,35.374149659863946,35.374149659863946,60.204081632653065,10.54421768707483
4,mid STOP,5,294,35.374149659863946,35.374149659863946,60.204081632653065,10.54421768707483
4,mid STOP,10,294,34.69387755102041,34.69387755102041,59.523809523809526,9.863945578231291
4,mid STOP,15,294,34.35374149659864,34.35374149659864,59.523809523809526,9.183673469387756
4,mid GO,0,220,35.90909090909091,30.0,57.27272727272727,8.636363636363637
4,mid GO,5,220,35.90909090909091,30.0,57.27272727272727,8.636363636363637
4,mid GO,10,220,35.90909090909091,30.0,57.27272727272727,8.636363636363637
4,mid GO,15,220,35.90909090909091,30.0,57.27272727272727,8.636363636363637
4,strong GO,0,314,33.43949044585987,32.802547770700635,58.28025477707006,7.961783439490445
4,strong GO,5,314,33.43949044585987,32.802547770700635,58.28025477707006,7.961783439490445
4,strong GO,10,314,33.43949044585987,32.802547770700635,58.28025477707006,7.961783439490445
4,strong GO,15,314,33.43949044585987,32.802547770700635,58.28025477707006,7.961783439490445
5,deep STOP,0,430,42.093023255813954,42.55813953488372,69.76744186046511,14.883720930232558
5,deep STOP,5,430,42.093023255813954,42.32558139534884,69.53488372093022,14.883720930232558
5,deep STOP,10,430,42.093023255813954,42.093023255813954,69.30232558139535,14.883720930232558
5,deep STOP,15,430,41.86046511627907,41.627906976744185,69.30232558139535,14.186046511627906
5,mid STOP,0,294,39.795918367346935,39.455782312925166,66.66666666666666,12.585034013605442
5,mid STOP,5,294,39.795918367346935,39.455782312925166,66.66666666666666,12.585034013605442
5,mid STOP,10,294,39.455782312925166,38.775510204081634,66.3265306122449,11.904761904761903
5,mid STOP,15,294,39.1156462585034,38.435374149659864,66.3265306122449,11.224489795918368
5,mid GO,0,220,41.81818181818181,31.818181818181817,61.81818181818181,11.818181818181818
5,mid GO,5,220,41.81818181818181,31.818181818181817,61.81818181818181,11.818181818181818
5,mid GO,10,220,41.81818181818181,31.818181818181817,61.81818181818181,11.818181818181818
5,mid GO,15,220,41.81818181818181,31.818181818181817,61.81818181818181,11.818181818181818
5,strong GO,0,314,37.57961783439491,36.30573248407643,64.3312101910828,9.554140127388536
5,strong GO,5,314,37.57961783439491,36.30573248407643,64.3312101910828,9.554140127388536
5,strong GO,10,314,37.57961783439491,36.30573248407643,64.3312101910828,9.554140127388536
5,strong GO,15,314,37.57961783439491,36.30573248407643,64.3312101910828,9.554140127388536
