tier,def,dir,N,p_0.618,p_0.75,p_0.875,p_1.0,p_1.2
deep STOP,B-old,up,430,0.45813953488372094,0.31627906976744186,0.22093023255813954,0.14883720930232558,0.06279069767441861
deep STOP,B-est,up,430,0.6395348837209303,0.46046511627906983,0.3395348837209302,0.22558139534883717,0.12558139534883722
deep STOP,B-sat,up,430,0.8465116279069769,0.7,0.5046511627906977,0.37906976744186044,0.20232558139534884
mid STOP,B-old,up,294,0.5510204081632653,0.37755102040816324,0.22789115646258506,0.1598639455782313,0.07482993197278912
mid STOP,B-est,up,294,0.6666666666666665,0.5204081632653061,0.32993197278911557,0.20068027210884354,0.09183673469387756
mid STOP,B-sat,up,294,0.8707482993197279,0.6768707482993197,0.5680272108843537,0.35374149659863946,0.1870748299319728
mid GO,B-old,up,220,0.6681818181818183,0.4636363636363636,0.2909090909090909,0.2,0.12272727272727274
mid GO,B-est,up,220,0.6818181818181818,0.5045454545454545,0.35454545454545455,0.2318181818181818,0.10909090909090909
mid GO,B-sat,up,220,0.8409090909090909,0.6636363636363637,0.5181818181818182,0.35909090909090907,0.19545454545454546
strong GO,B-old,up,314,0.7229299363057325,0.5509554140127388,0.39490445859872614,0.27070063694267515,0.18152866242038215
strong GO,B-est,up,314,0.6656050955414012,0.4745222929936305,0.32802547770700635,0.21019108280254778,0.08917197452229299
strong GO,B-sat,up,314,0.8343949044585988,0.6592356687898089,0.45859872611464975,0.33439490445859865,0.17197452229299362
deep STOP,B-old,dn,430,0.4697674418604651,0.3302325581395349,0.20465116279069767,0.14883720930232558,0.08372093023255815
deep STOP,B-est,dn,430,0.6953488372093023,0.5023255813953489,0.3418604651162791,0.22093023255813954,0.11860465116279069
deep STOP,B-sat,dn,430,0.8604651162790699,0.7325581395348837,0.5534883720930233,0.37906976744186044,0.2069767441860465
mid STOP,B-old,dn,294,0.5034013605442177,0.36054421768707484,0.2687074829931973,0.19047619047619047,0.10884353741496598
mid STOP,B-est,dn,294,0.6258503401360545,0.48639455782312924,0.3231292517006803,0.24829931972789115,0.1564625850340136
mid STOP,B-sat,dn,294,0.8095238095238095,0.6632653061224489,0.5170068027210885,0.35374149659863946,0.2312925170068027
mid GO,B-old,dn,220,0.5727272727272728,0.43636363636363634,0.2727272727272727,0.17272727272727273,0.10454545454545454
mid GO,B-est,dn,220,0.6181818181818182,0.4681818181818182,0.29545454545454547,0.19545454545454546,0.09090909090909091
mid GO,B-sat,dn,220,0.8090909090909091,0.6272727272727273,0.4636363636363636,0.3,0.15
strong GO,B-old,dn,314,0.6050955414012739,0.49363057324840764,0.3853503184713376,0.3057324840764331,0.20382165605095545
strong GO,B-est,dn,314,0.5923566878980892,0.4267515923566879,0.32802547770700635,0.2452229299363057,0.1592356687898089
strong GO,B-sat,dn,314,0.7579617834394905,0.5859872611464968,0.4235668789808918,0.32802547770700635,0.21656050955414013
