tier,N,u_2h_0.618,u_full_0.618,u_cap_0.618,u_2h_0.75,u_full_0.75,u_cap_0.75,u_2h_1.0,u_full_1.0,u_cap_1.0,u_2h_1.2,u_full_1.2,u_cap_1.2
deep STOP,430,0.16279069767441862,0.2558139534883721,0.6363636363636364,0.10465116279069768,0.18372093023255814,0.569620253164557,0.03488372093023256,0.08604651162790698,0.4054054054054054,0.018604651162790697,0.046511627906976744,0.4
mid STOP,299,0.1939799331103679,0.29431438127090304,0.6590909090909091,0.12040133779264214,0.20066889632107024,0.6,0.03678929765886288,0.08695652173913043,0.42307692307692313,0.013377926421404682,0.030100334448160536,0.4444444444444444
mid GO,221,0.29411764705882354,0.38009049773755654,0.7738095238095238,0.17647058823529413,0.24434389140271492,0.7222222222222223,0.058823529411764705,0.13574660633484162,0.43333333333333335,0.03619909502262444,0.07692307692307693,0.47058823529411764
strong GO,314,0.2643312101910828,0.35668789808917195,0.7410714285714286,0.17834394904458598,0.2643312101910828,0.6746987951807228,0.0732484076433121,0.13694267515923567,0.5348837209302325,0.03503184713375796,0.07643312101910828,0.4583333333333333
