tier,N,mean_%,median_%,std_%,p10_%,p25_%,p75_%,p90_%,%_positive
deep STOP,430,0.0035997776675757206,-0.037858179974105954,0.6572903568365136,-0.7233846114662656,-0.41159452006828035,0.42978324421623393,0.8684166334550837,47.906976744186046
mid STOP,299,0.003484392929694876,0.05119017148707448,0.7379553724943572,-0.8710209868979564,-0.47257817336073404,0.44032266704600986,0.8635031522505169,53.51170568561873
mid GO,221,0.07374858120911966,0.0764168966249204,0.7273121910413758,-0.7394480759561064,-0.36893781612615295,0.5494505494505495,0.9492481203007519,54.29864253393665
strong GO,314,-0.05603375895255474,0.07823777006480542,1.045125833085958,-1.1203802188893393,-0.6180612905853982,0.5276145906270306,1.0250133270849227,52.22929936305732
