tier,N,mean,median,std,p10,p25,p75,p90
deep STOP,430,0.9142296480796783,0.8353385984817259,0.36730566949765514,0.5084051108446866,0.6594032611155731,1.088831459523382,1.4339105377510082
mid STOP,299,0.985460469121298,0.8875307872439786,0.4003069006021373,0.5865804700429573,0.6976726219277968,1.1619487554903247,1.4933832983226412
mid GO,221,1.0305237804714211,0.9178655740708934,0.415183112857793,0.641635367935454,0.7865587745130149,1.1896957836333806,1.5153036012820333
strong GO,314,1.1992854305856882,1.0781425669019145,0.584922250429794,0.696551656417565,0.8417073710440581,1.3746058282664468,1.7660398098655532
