tier,up-trending,L-then-H,H-then-L,down-trending,unknown
deep STOP,15.58139534883721,30.697674418604652,39.76744186046511,13.72093023255814,0.23255813953488372
mid STOP,15.384615384615385,34.11371237458194,36.12040133779264,14.381270903010032,0.0
mid GO,18.552036199095024,31.221719457013574,35.74660633484163,14.479638009049776,0.0
strong GO,12.420382165605096,36.624203821656046,36.94267515923567,13.375796178343949,0.6369426751592357
