year,tier,dir,N,m,P_A,ER_A,P_Bsat,ER_Bsat
2021,deep STOP,up,93,0.1,0.7741935483870968,0.07741935483870965,1.0,-0.05247444723620706
2021,deep STOP,up,93,0.15,0.6451612903225806,0.0967741935483871,1.0,-0.016211670854310616
2021,deep STOP,up,93,0.2,0.5698924731182796,0.11397849462365589,1.0,0.020051105527585857
2021,deep STOP,up,93,0.25,0.4946236559139785,0.12365591397849462,1.0,0.056313881909482326
2021,deep STOP,up,93,0.3,0.44086021505376344,0.13225806451612904,1.0,0.09257665829137877
2021,deep STOP,up,93,0.35,0.3118279569892473,0.10913978494623654,1.0,0.12883943467327522
2021,deep STOP,up,93,0.4,0.25806451612903225,0.10322580645161292,1.0,0.1651022110551717
2021,deep STOP,up,93,0.45,0.22580645161290322,0.10161290322580645,1.0,0.20136498743706818
2021,deep STOP,up,93,0.5,0.1827956989247312,0.0913978494623656,0.978494623655914,0.2293725866110038
2021,deep STOP,up,93,0.55,0.13978494623655913,0.07688172043010753,0.946236559139785,0.2541171187753443
2021,deep STOP,up,93,0.6,0.10752688172043011,0.06451612903225806,0.9139784946236559,0.2718667891664111
2021,deep STOP,up,93,0.65,0.07526881720430108,0.04892473118279571,0.8387096774193549,0.2684771554799982
2021,deep STOP,up,93,0.7,0.053763440860215055,0.03763440860215054,0.7526881720430108,0.25443343717522593
2021,deep STOP,up,93,0.75,0.053763440860215055,0.04032258064516129,0.6774193548387096,0.24574551415852222
2021,deep STOP,up,93,0.8,0.043010752688172046,0.034408602150537634,0.6129032258064516,0.24216625430643685
2021,deep STOP,up,93,0.85,0.03225806451612903,0.027419354838709675,0.5053763440860215,0.20224902531081138
2021,deep STOP,up,93,0.9,0.03225806451612903,0.02903225806451613,0.43010752688172044,0.18472934728028922
2021,deep STOP,up,93,0.95,0.021505376344086023,0.020430107526881718,0.3333333333333333,0.1550413628770696
2021,deep STOP,up,93,1.0,0.021505376344086023,0.021505376344086023,0.3010752688172043,0.14955941397870415
2021,deep STOP,up,93,1.05,0.021505376344086023,0.022580645161290325,0.25806451612903225,0.13712974094982636
2021,deep STOP,up,93,1.1,0.021505376344086023,0.023655913978494626,0.21505376344086022,0.12100878653562606
2021,deep STOP,up,93,1.15,0.010752688172043012,0.012365591397849462,0.16129032258064516,0.09488758112924871
2021,deep STOP,up,93,1.2,0.0,0.0,0.13978494623655913,0.08912036855825783
2021,deep STOP,up,93,1.25,0.0,0.0,0.10752688172043011,0.069844144478309
2021,deep STOP,up,93,1.3,0.0,0.0,0.08602150537634409,0.05536015126243528
2021,deep STOP,up,93,1.35,0.0,0.0,0.07526881720430108,0.05396504765497649
2021,deep STOP,up,93,1.4,0.0,0.0,0.053763440860215055,0.03928466913304062
2021,deep STOP,up,93,1.45,0.0,0.0,0.03225806451612903,0.029051549796438786
