tier,N,P_upper_satzone,P_lower_satzone,P_either,P_both
deep STOP,430,0.13023255813953488,0.14418604651162792,0.25813953488372093,0.01627906976744186
mid STOP,299,0.14046822742474915,0.16387959866220736,0.2842809364548495,0.020066889632107024
mid GO,221,0.2171945701357466,0.1583710407239819,0.3438914027149321,0.03167420814479638
strong GO,314,0.267515923566879,0.27388535031847133,0.4745222929936306,0.06687898089171974
