cutoff,N,%,u_0.618,l_0.618,d_0.618,u_0.75,l_0.75,d_0.75,u_1.0,l_1.0,d_1.0,u_1.2,l_1.2,d_1.2,yr_avg_0.618,yr_neg_0.618,yr_avg_0.75,yr_neg_0.75,yr_avg_1.0,yr_neg_1.0,yr_avg_1.2,yr_neg_1.2
1.1,407,32.199367088607595,0.3759213759213759,0.3464373464373464,2.9484029484029506,0.2702702702702703,0.2751842751842752,-0.4914004914004899,0.14742014742014742,0.18673218673218672,-3.9312039312039304,0.085995085995086,0.13267813267813267,-4.668304668304667,3.0010837905574745,2/6,-0.6421459053038007,3/6,-4.046264309422205,3/6,-4.751574883153831,4/6
1.15,355,28.085443037974684,0.36901408450704226,0.36338028169014086,0.5633802816901401,0.2647887323943662,0.29577464788732394,-3.098591549295776,0.14366197183098592,0.2056338028169014,-6.197183098591549,0.08732394366197183,0.14647887323943662,-5.915492957746479,0.14083183455402506,3/6,-3.5231476131086814,3/6,-6.757615935695746,4/6,-6.2852662068805,5/6
1.2,314,24.841772151898734,0.35668789808917195,0.3821656050955414,-2.5477707006369474,0.2643312101910828,0.3184713375796178,-5.414012738853502,0.13694267515923567,0.22611464968152867,-8.917197452229301,0.07643312101910828,0.1592356687898089,-8.280254777070063,-2.56951917184437,3/6,-5.81373056049997,3/6,-9.453041954203389,5/6,-8.37560433789333,6/6
1.25,275,21.75632911392405,0.3527272727272727,0.3927272727272727,-3.9999999999999982,0.2690909090909091,0.33090909090909093,-6.1818181818181825,0.14545454545454545,0.23272727272727273,-8.727272727272728,0.08363636363636363,0.16,-7.636363636363637,-4.243260543454864,3/6,-6.804359056934331,3/6,-9.390142295196725,5/6,-7.831383989410694,6/6
1.3,233,18.43354430379747,0.3648068669527897,0.40772532188841204,-4.291845493562235,0.27896995708154504,0.34334763948497854,-6.43776824034335,0.1630901287553648,0.24892703862660945,-8.583690987124465,0.09012875536480687,0.16738197424892703,-7.725321888412016,-5.463990444769872,3/6,-7.877233107217201,3/6,-10.019653761115615,5/6,-8.33077917157201,5/6
1.35,208,16.455696202531644,0.3701923076923077,0.40384615384615385,-3.3653846153846145,0.28365384615384615,0.33653846153846156,-5.288461538461542,0.17307692307692307,0.25,-7.6923076923076925,0.10096153846153846,0.16346153846153846,-6.25,-5.744120744120743,3/6,-7.581510081510081,3/6,-9.563004563004563,5/6,-7.248937248937249,4/6
1.4,193,15.268987341772153,0.37305699481865284,0.38860103626943004,-1.5544041450777202,0.29015544041450775,0.32124352331606215,-3.1088082901554404,0.18134715025906736,0.23316062176165803,-5.181347150259066,0.10362694300518134,0.15025906735751296,-4.663212435233162,-4.333566760037351,3/6,-6.348039215686273,2/6,-7.296218487394959,5/6,-5.561858076563959,4/6
1.5,147,11.629746835443038,0.3945578231292517,0.40816326530612246,-1.3605442176870763,0.3129251700680272,0.3333333333333333,-2.040816326530609,0.1836734693877551,0.25170068027210885,-6.802721088435374,0.11564625850340136,0.17006802721088435,-5.442176870748298,-3.9540388805094686,4/6,-4.830910284341656,2/6,-8.719310373722138,5/6,-6.1038838612368025,4/6
