year,N,u_0.618,l_0.618,d_0.618,u_0.75,l_0.75,d_0.75,u_1.0,l_1.0,d_1.0,u_1.2,l_1.2,d_1.2
2021,58,0.22413793103448276,0.3793103448275862,-15.517241379310342,0.15517241379310345,0.22413793103448276,-6.896551724137931,0.08620689655172414,0.1724137931034483,-8.620689655172415,0.017241379310344827,0.10344827586206896,-8.620689655172415
2022,62,0.16129032258064516,0.3709677419354839,-20.967741935483872,0.0967741935483871,0.25806451612903225,-16.129032258064516,0.03225806451612903,0.06451612903225806,-3.225806451612903,0.0,0.03225806451612903,-3.225806451612903
2023,53,0.22641509433962265,0.20754716981132076,1.8867924528301883,0.1509433962264151,0.1509433962264151,0.0,0.018867924528301886,0.09433962264150944,-7.547169811320756,0.0,0.03773584905660377,-3.7735849056603774
2024,59,0.3559322033898305,0.3220338983050847,3.3898305084745783,0.2711864406779661,0.2033898305084746,6.779661016949151,0.11864406779661017,0.15254237288135594,-3.389830508474577,0.05084745762711865,0.13559322033898305,-8.47457627118644
2025,54,0.3148148148148148,0.16666666666666666,14.814814814814817,0.2037037037037037,0.1111111111111111,9.25925925925926,0.09259259259259259,0.05555555555555555,3.7037037037037033,0.07407407407407407,0.05555555555555555,1.8518518518518516
2026,28,0.35714285714285715,0.39285714285714285,-3.57142857142857,0.21428571428571427,0.35714285714285715,-14.285714285714288,0.10714285714285714,0.17857142857142858,-7.142857142857144,0.10714285714285714,0.10714285714285714,0.0
