year,N,upper,lower,either,both,diff_U_minus_L_pp
2021,58,0.29310344827586204,0.3103448275862069,0.5172413793103449,0.08620689655172414,-1.7241379310344862
2022,62,0.1774193548387097,0.3387096774193548,0.4838709677419355,0.03225806451612903,-16.129032258064512
2023,53,0.1509433962264151,0.16981132075471697,0.3018867924528302,0.018867924528301886,-1.8867924528301883
2024,59,0.3898305084745763,0.3050847457627119,0.5932203389830508,0.1016949152542373,8.47457627118644
2025,54,0.2777777777777778,0.18518518518518517,0.3888888888888889,0.07407407407407407,9.259259259259261
2026,28,0.35714285714285715,0.35714285714285715,0.6071428571428571,0.10714285714285714,0.0
