year,tier,dir,N,A_opt_m,A_P,A_ER,Bsat_opt_m,Bsat_P,Bsat_ER
2021,deep STOP,up,93,0.3,0.44086021505376344,0.13225806451612904,0.6,0.9139784946236559,0.2718667891664111
2021,deep STOP,dn,93,0.35,0.40860215053763443,0.14301075268817204,0.75,0.7311827956989247,0.2909832619409549
2021,mid STOP,up,51,0.3,0.5882352941176471,0.17647058823529416,0.85,0.7254901960784313,0.36202482703794225
2021,mid STOP,dn,51,0.25,0.5686274509803921,0.14215686274509803,0.75,0.7647058823529411,0.33933329118148364
2021,mid GO,up,30,0.35,0.5,0.17499999999999996,0.7,0.7333333333333333,0.33614134610236257
2021,mid GO,dn,30,0.6,0.3,0.18,0.8,0.6666666666666666,0.37707437910244207
2021,strong GO,up,58,0.45,0.5,0.22499999999999998,0.8,0.6724137931034483,0.43019880047576964
2021,strong GO,dn,58,0.6,0.41379310344827586,0.2482758620689655,0.7,0.7586206896551724,0.42215204514884497
2022,deep STOP,up,75,0.3,0.48,0.14400000000000002,0.55,0.84,0.287434034546869
2022,deep STOP,dn,75,0.45,0.3466666666666667,0.156,0.6,0.7333333333333333,0.290218554747061
2022,mid STOP,up,63,0.3,0.5238095238095238,0.15714285714285717,0.6,0.7619047619047619,0.3084662171862627
2022,mid STOP,dn,63,0.6,0.2857142857142857,0.1714285714285714,0.45,0.9365079365079365,0.26269594767069326
2022,mid GO,up,36,0.35,0.5277777777777778,0.18472222222222218,0.55,0.8611111111111112,0.36249180122014657
2022,mid GO,dn,36,0.3,0.5277777777777778,0.15833333333333333,0.55,0.7777777777777778,0.32563001220139204
2022,strong GO,up,62,0.4,0.4838709677419355,0.19354838709677422,0.45,0.9193548387096774,0.33676560400667344
2022,strong GO,dn,62,0.65,0.3548387096774194,0.2306451612903226,0.55,0.8387096774193549,0.4063422958797158
2023,deep STOP,up,83,0.45,0.39759036144578314,0.1789156626506024,0.65,0.7951807228915663,0.3262655066106736
2023,deep STOP,dn,83,0.55,0.3373493975903614,0.1855421686746988,0.75,0.6746987951807228,0.3298433569344491
2023,mid STOP,up,52,0.5,0.36538461538461536,0.18269230769230768,0.65,0.7115384615384616,0.3156685500154301
2023,mid STOP,dn,52,0.35,0.4807692307692308,0.16826923076923073,0.75,0.5769230769230769,0.3177906540894541
2023,mid GO,up,49,0.35,0.6122448979591837,0.21428571428571427,0.6,0.8775510204081632,0.3778783568031403
2023,mid GO,dn,49,0.5,0.2653061224489796,0.1326530612244898,0.6,0.7551020408163265,0.31115474200739274
2023,strong GO,up,53,0.4,0.4716981132075472,0.1886792452830189,0.6,0.7924528301886793,0.38340767299597456
2023,strong GO,dn,53,0.5,0.3018867924528302,0.1509433962264151,0.45,0.9056603773584906,0.32089766737847586
2024,deep STOP,up,75,0.4,0.32,0.128,0.55,0.88,0.26804409872764867
2024,deep STOP,dn,75,0.3,0.5333333333333333,0.16,0.75,0.6266666666666667,0.2814658569114132
2024,mid STOP,up,55,0.5,0.43636363636363634,0.21818181818181817,0.65,0.8,0.36952239106405715
2024,mid STOP,dn,55,0.35,0.5454545454545454,0.1909090909090909,0.6,0.7818181818181819,0.3368286466278275
2024,mid GO,up,44,0.45,0.4090909090909091,0.18409090909090908,0.65,0.7272727272727273,0.3429685644691245
2024,mid GO,dn,44,0.4,0.4772727272727273,0.19090909090909092,0.65,0.75,0.36024772613515804
2024,strong GO,up,59,0.6,0.3898305084745763,0.23389830508474574,0.75,0.6101694915254238,0.43473292271160124
2024,strong GO,dn,59,0.6,0.3389830508474576,0.20338983050847453,0.6,0.7288135593220338,0.40773688783189826
2025,deep STOP,up,86,0.35,0.5,0.17499999999999996,0.5,0.8488372093023255,0.2510694652447399
2025,deep STOP,dn,86,0.35,0.46511627906976744,0.1627906976744186,0.7,0.686046511627907,0.32894960568566123
2025,mid STOP,up,56,0.35,0.4642857142857143,0.16249999999999995,0.65,0.6428571428571429,0.30483738776800806
2025,mid STOP,dn,56,0.3,0.5357142857142857,0.16071428571428573,0.55,0.8928571428571429,0.3392172474833745
2025,mid GO,up,47,0.6,0.3829787234042553,0.22978723404255316,0.6,0.7021276595744681,0.3675050900580052
2025,mid GO,dn,47,0.3,0.5106382978723404,0.1531914893617021,0.75,0.5531914893617021,0.3539666646152851
2025,strong GO,up,54,0.5,0.42592592592592593,0.21296296296296297,0.6,0.7407407407407407,0.4154414409468425
2025,strong GO,dn,54,0.4,0.42592592592592593,0.1703703703703704,0.6,0.6296296296296297,0.34462367044883363
2026,deep STOP,up,18,0.55,0.4444444444444444,0.24444444444444446,0.7,0.8333333333333334,0.3635435628452564
2026,deep STOP,dn,18,0.4,0.3333333333333333,0.13333333333333333,0.7,0.6666666666666666,0.27415361088016416
2026,mid STOP,up,22,0.4,0.5454545454545454,0.21818181818181825,0.75,0.8636363636363636,0.44286402109153383
2026,mid STOP,dn,22,0.4,0.36363636363636365,0.14545454545454545,0.85,0.5454545454545454,0.307814215724681
2026,mid GO,up,15,0.6,0.6,0.36,0.7,0.9333333333333333,0.5292868074852176
2026,mid GO,dn,15,0.5,0.4,0.2,0.85,0.6666666666666666,0.4759551721054516
2026,strong GO,up,28,0.45,0.5357142857142857,0.2410714285714286,0.6,0.8571428571428571,0.44975669513397276
2026,strong GO,dn,28,0.75,0.35714285714285715,0.26785714285714285,0.55,0.8928571428571429,0.41506081428688557
