tier,def,dir,N,p_0.5,p_0.55,p_0.6,p_0.65,p_0.7,p_0.75,p_0.8
deep STOP,B-old,up,430,0.6651162790697674,0.6209302325581395,0.541860465116279,0.4790697674418605,0.4325581395348837,0.3674418604651163,0.3116279069767442
deep STOP,B-est,up,430,0.8488372093023255,0.7930232558139535,0.7209302325581395,0.6325581395348837,0.5534883720930233,0.5023255813953489,0.45116279069767434
deep STOP,B-sat,up,430,0.9767441860465115,0.9325581395348838,0.8953488372093024,0.8511627906976744,0.8046511627906977,0.7395348837209302,0.6441860465116279
mid STOP,B-old,up,294,0.7823129251700681,0.7006802721088435,0.6292517006802721,0.5510204081632653,0.48299319727891155,0.41836734693877553,0.3673469387755102
mid STOP,B-est,up,294,0.8843537414965986,0.8095238095238095,0.7551020408163265,0.673469387755102,0.6258503401360545,0.564625850340136,0.4931972789115646
mid STOP,B-sat,up,294,0.9761904761904762,0.9523809523809522,0.9183673469387756,0.8741496598639454,0.7959183673469387,0.7278911564625851,0.6700680272108843
mid GO,B-old,up,220,0.8318181818181817,0.759090909090909,0.7136363636363636,0.6454545454545455,0.5863636363636363,0.509090909090909,0.43636363636363634
mid GO,B-est,up,220,0.8454545454545455,0.7863636363636364,0.740909090909091,0.6727272727272726,0.6181818181818182,0.5545454545454546,0.5045454545454545
mid GO,B-sat,up,220,0.9727272727272728,0.95,0.890909090909091,0.8409090909090909,0.759090909090909,0.6909090909090909,0.640909090909091
strong GO,B-old,up,314,0.8853503184713376,0.8407643312101911,0.7993630573248409,0.7133757961783439,0.643312101910828,0.589171974522293,0.5382165605095541
strong GO,B-est,up,314,0.856687898089172,0.7961783439490446,0.7261146496815286,0.6687898089171973,0.5796178343949044,0.5095541401273885,0.44904458598726116
strong GO,B-sat,up,314,0.9554140127388535,0.910828025477707,0.8726114649681529,0.8152866242038218,0.7738853503184714,0.7006369426751591,0.6337579617834395
deep STOP,B-old,dn,430,0.6697674418604652,0.6046511627906976,0.5465116279069767,0.4790697674418605,0.42790697674418604,0.3744186046511628,0.3209302325581395
deep STOP,B-est,dn,430,0.858139534883721,0.8069767441860465,0.7465116279069768,0.6813953488372093,0.6162790697674418,0.5511627906976744,0.5
deep STOP,B-sat,dn,430,0.9674418604651163,0.9511627906976744,0.9093023255813953,0.8627906976744186,0.8162790697674418,0.7604651162790698,0.6976744186046511
mid STOP,B-old,dn,294,0.7040816326530613,0.6360544217687075,0.5748299319727891,0.4965986394557823,0.4489795918367347,0.40476190476190477,0.3741496598639456
mid STOP,B-est,dn,294,0.8129251700680272,0.7414965986394558,0.6802721088435374,0.6224489795918368,0.5612244897959183,0.5068027210884354,0.4387755102040816
mid STOP,B-sat,dn,294,0.9523809523809522,0.9217687074829932,0.8537414965986394,0.7993197278911565,0.7482993197278912,0.6904761904761905,0.6156462585034014
mid GO,B-old,dn,220,0.759090909090909,0.7090909090909091,0.640909090909091,0.5727272727272728,0.5318181818181819,0.4772727272727273,0.39545454545454545
mid GO,B-est,dn,220,0.8090909090909091,0.75,0.6863636363636364,0.6318181818181818,0.5636363636363636,0.5181818181818182,0.4454545454545455
mid GO,B-sat,dn,220,0.9090909090909091,0.8863636363636364,0.859090909090909,0.7954545454545454,0.7318181818181819,0.6681818181818183,0.6272727272727273
strong GO,B-old,dn,314,0.8152866242038218,0.7420382165605095,0.6656050955414012,0.6369426751592356,0.5859872611464968,0.5286624203821656,0.5
strong GO,B-est,dn,314,0.7707006369426752,0.7070063694267517,0.6560509554140127,0.5987261146496815,0.5477707006369427,0.4713375796178344,0.4235668789808918
strong GO,B-sat,dn,314,0.9140127388535032,0.8726114649681529,0.8089171974522293,0.7420382165605095,0.678343949044586,0.6305732484076433,0.5859872611464968
