tier,N,u_0.618,l_0.618,d_0.618,u_0.75,l_0.75,d_0.75,u_1.0,l_1.0,d_1.0,u_1.2,l_1.2,d_1.2
deep STOP,430,0.16279069767441862,0.1883720930232558,-2.558139534883719,0.10465116279069768,0.11395348837209303,-0.9302325581395349,0.03488372093023256,0.046511627906976744,-1.1627906976744187,0.018604651162790697,0.030232558139534883,-1.1627906976744187
mid STOP,299,0.1939799331103679,0.19732441471571907,-0.33444816053511683,0.12040133779264214,0.11371237458193979,0.668896321070235,0.03678929765886288,0.06354515050167224,-2.675585284280936,0.013377926421404682,0.043478260869565216,-3.0100334448160537
mid GO,221,0.29411764705882354,0.18552036199095023,10.85972850678733,0.17647058823529413,0.10407239819004525,7.239819004524888,0.058823529411764705,0.049773755656108594,0.9049773755656111,0.03619909502262444,0.03619909502262444,0.0
strong GO,314,0.2643312101910828,0.30254777070063693,-3.821656050955413,0.17834394904458598,0.2070063694267516,-2.8662420382165625,0.0732484076433121,0.11464968152866242,-4.140127388535032,0.03503184713375796,0.07643312101910828,-4.140127388535031
