tier,def,dir,N,p_0.618,p_0.75,p_0.875,p_1.0,p_1.2
deep STOP,B-old,up,430,0.40930232558139534,0.27209302325581397,0.17674418604651163,0.11395348837209303,0.046511627906976744
deep STOP,B-est,up,430,0.5953488372093023,0.4069767441860465,0.28837209302325584,0.20232558139534884,0.09767441860465116
deep STOP,B-sat,up,430,0.827906976744186,0.6558139534883722,0.44883720930232557,0.3279069767441861,0.1883720930232558
mid STOP,B-old,up,294,0.5102040816326531,0.33333333333333326,0.18027210884353742,0.1326530612244898,0.07482993197278912
mid STOP,B-est,up,294,0.6360544217687075,0.4625850340136054,0.2891156462585034,0.17687074829931973,0.0782312925170068
mid STOP,B-sat,up,294,0.8333333333333335,0.6598639455782311,0.5136054421768708,0.3163265306122449,0.14625850340136054
mid GO,B-old,up,220,0.6272727272727273,0.42272727272727273,0.2545454545454545,0.18636363636363637,0.11363636363636363
mid GO,B-est,up,220,0.6454545454545455,0.4727272727272727,0.3181818181818182,0.20454545454545456,0.08181818181818182
mid GO,B-sat,up,220,0.8227272727272728,0.6272727272727273,0.4818181818181818,0.31363636363636366,0.17272727272727273
strong GO,B-old,up,314,0.6847133757961782,0.5095541401273885,0.35350318471337583,0.2356687898089172,0.13694267515923567
strong GO,B-est,up,314,0.6369426751592356,0.4171974522292994,0.2802547770700637,0.18152866242038215,0.06687898089171974
strong GO,B-sat,up,314,0.8057324840764332,0.6178343949044586,0.4076433121019109,0.28662420382165604,0.13694267515923567
deep STOP,B-old,dn,430,0.41627906976744183,0.29534883720930233,0.18372093023255814,0.12093023255813953,0.06511627906976744
deep STOP,B-est,dn,430,0.6558139534883722,0.45348837209302323,0.29069767441860467,0.1883720930232558,0.09534883720930233
deep STOP,B-sat,dn,430,0.8372093023255814,0.6976744186046511,0.5,0.3348837209302326,0.1813953488372093
mid STOP,B-old,dn,294,0.4591836734693878,0.30952380952380953,0.21768707482993196,0.14965986394557823,0.09523809523809523
mid STOP,B-est,dn,294,0.5748299319727891,0.43537414965986393,0.272108843537415,0.21768707482993196,0.1292517006802721
mid STOP,B-sat,dn,294,0.7687074829931972,0.6292517006802721,0.47278911564625853,0.30272108843537415,0.19727891156462582
mid GO,B-old,dn,220,0.55,0.39090909090909093,0.2409090909090909,0.14545454545454545,0.09090909090909091
mid GO,B-est,dn,220,0.5909090909090909,0.42727272727272725,0.2636363636363636,0.16363636363636364,0.07272727272727272
mid GO,B-sat,dn,220,0.7863636363636364,0.6,0.42272727272727273,0.2727272727272727,0.1318181818181818
strong GO,B-old,dn,314,0.5732484076433121,0.4681528662420382,0.35350318471337583,0.267515923566879,0.17515923566878977
strong GO,B-est,dn,314,0.5509554140127388,0.4012738853503185,0.2929936305732484,0.2070063694267516,0.1178343949044586
strong GO,B-sat,dn,314,0.7165605095541401,0.5477707006369427,0.39171974522292996,0.30254777070063693,0.17834394904458598
