tier,def,dir,N,p_0.5,p_0.55,p_0.6,p_0.65,p_0.7,p_0.75,p_0.8
deep STOP,B-old,up,430,0.5604651162790698,0.4930232558139535,0.42790697674418604,0.3674418604651163,0.32325581395348835,0.27209302325581397,0.22325581395348837
deep STOP,B-est,up,430,0.7860465116279071,0.7139534883720929,0.6209302325581395,0.5372093023255814,0.4558139534883721,0.4069767441860465,0.34651162790697676
deep STOP,B-sat,up,430,0.9488372093023255,0.9046511627906978,0.8511627906976744,0.7930232558139535,0.7325581395348837,0.6558139534883722,0.5604651162790698
mid STOP,B-old,up,294,0.7074829931972789,0.6020408163265306,0.54421768707483,0.46938775510204084,0.39115646258503406,0.33333333333333326,0.2585034013605442
mid STOP,B-est,up,294,0.8163265306122449,0.7346938775510204,0.6802721088435374,0.5986394557823129,0.5510204081632653,0.4625850340136054,0.39795918367346933
mid STOP,B-sat,up,294,0.9421768707482994,0.9217687074829932,0.8639455782312925,0.7925170068027211,0.7210884353741497,0.6598639455782311,0.6054421768707483
mid GO,B-old,up,220,0.7772727272727272,0.6954545454545454,0.640909090909091,0.5545454545454546,0.4772727272727273,0.42272727272727273,0.3409090909090909
mid GO,B-est,up,220,0.8,0.7272727272727273,0.6727272727272726,0.6,0.5363636363636364,0.4727272727272727,0.42272727272727273
mid GO,B-sat,up,220,0.9363636363636364,0.9045454545454545,0.8636363636363636,0.7863636363636364,0.7,0.6272727272727273,0.5863636363636363
strong GO,B-old,up,314,0.8152866242038218,0.7707006369426752,0.7197452229299363,0.6305732484076433,0.5605095541401274,0.5095541401273885,0.43312101910828027
strong GO,B-est,up,314,0.7961783439490446,0.7229299363057325,0.6528662420382164,0.5732484076433121,0.4840764331210191,0.4171974522292994,0.35031847133757954
strong GO,B-sat,up,314,0.910828025477707,0.8662420382165605,0.821656050955414,0.7515923566878981,0.697452229299363,0.6178343949044586,0.5477707006369427
deep STOP,B-old,dn,430,0.5744186046511628,0.5116279069767442,0.43953488372093025,0.37906976744186044,0.3302325581395349,0.29534883720930233,0.24418604651162787
deep STOP,B-est,dn,430,0.788372093023256,0.7395348837209302,0.6790697674418604,0.6046511627906976,0.5348837209302325,0.45348837209302323,0.3953488372093023
deep STOP,B-sat,dn,430,0.9511627906976744,0.913953488372093,0.8558139534883721,0.8023255813953489,0.7581395348837209,0.6976744186046511,0.6209302325581395
mid STOP,B-old,dn,294,0.6156462585034014,0.5510204081632653,0.4965986394557823,0.41496598639455784,0.36054421768707484,0.30952380952380953,0.282312925170068
mid STOP,B-est,dn,294,0.7448979591836735,0.6700680272108843,0.5986394557823129,0.5510204081632653,0.4931972789115646,0.43537414965986393,0.3673469387755102
mid STOP,B-sat,dn,294,0.9319727891156462,0.8775510204081632,0.7959183673469387,0.7380952380952381,0.6870748299319728,0.6292517006802721,0.54421768707483
mid GO,B-old,dn,220,0.7045454545454546,0.6318181818181818,0.5727272727272728,0.5136363636363637,0.4454545454545455,0.39090909090909093,0.30454545454545456
mid GO,B-est,dn,220,0.7636363636363638,0.6909090909090909,0.6181818181818182,0.5545454545454546,0.45909090909090916,0.42727272727272725,0.37272727272727274
mid GO,B-sat,dn,220,0.8818181818181818,0.85,0.8045454545454546,0.7454545454545455,0.6681818181818183,0.6,0.5363636363636364
strong GO,B-old,dn,314,0.7165605095541401,0.6496815286624203,0.5859872611464968,0.5573248407643312,0.5222929936305732,0.4681528662420382,0.43312101910828027
strong GO,B-est,dn,314,0.7006369426751591,0.643312101910828,0.5732484076433121,0.5127388535031847,0.4554140127388535,0.4012738853503185,0.35987261146496813
strong GO,B-sat,dn,314,0.8694267515923567,0.8312101910828027,0.7452229299363057,0.678343949044586,0.60828025477707,0.5477707006369427,0.4904458598726114
