tier,N,u_0.618,l_0.618,d_0.618,u_0.75,l_0.75,d_0.75,u_1.0,l_1.0,d_1.0,u_1.2,l_1.2,d_1.2
deep STOP,430,0.2558139534883721,0.27906976744186046,-2.325581395348836,0.18372093023255814,0.20465116279069767,-2.0930232558139528,0.08604651162790698,0.09302325581395349,-0.6976744186046504,0.046511627906976744,0.053488372093023255,-0.6976744186046512
mid STOP,299,0.29431438127090304,0.3210702341137124,-2.6755852842809347,0.20066889632107024,0.2140468227424749,-1.3377926421404673,0.08695652173913043,0.12040133779264214,-3.344481605351171,0.030100334448160536,0.08695652173913043,-5.68561872909699
mid GO,221,0.38009049773755654,0.2895927601809955,9.049773755656105,0.24434389140271492,0.16289592760180996,8.144796380090497,0.13574660633484162,0.08144796380090498,5.429864253393664,0.07692307692307693,0.058823529411764705,1.8099547511312222
strong GO,314,0.35668789808917195,0.3821656050955414,-2.5477707006369474,0.2643312101910828,0.3184713375796178,-5.414012738853502,0.13694267515923567,0.22611464968152867,-8.917197452229301,0.07643312101910828,0.1592356687898089,-8.280254777070063
