bucket,N,u_0.618,l_0.618,diff_0.618,u_0.75,l_0.75,diff_0.75,u_1.0,l_1.0,diff_1.0,u_1.2,l_1.2,diff_1.2
< 0.70 (deep STOP),285,0.256140350877193,0.24210526315789474,1.4035087719298263,0.17543859649122806,0.17894736842105263,-0.35087719298245723,0.07368421052631578,0.08421052631578947,-1.052631578947369,0.0456140350877193,0.04912280701754386,-0.35087719298245584
0.70 - 1.00 (mid STOP),444,0.28153153153153154,0.3310810810810811,-4.954954954954954,0.20045045045045046,0.22747747747747749,-2.7027027027027026,0.0945945945945946,0.11711711711711711,-2.2522522522522515,0.036036036036036036,0.07882882882882883,-4.2792792792792795
1.00 - 1.30 (mid GO),302,0.3675496688741722,0.2947019867549669,7.284768211920528,0.23841059602649006,0.18543046357615894,5.298013245033112,0.11589403973509933,0.10264900662251655,1.324503311258278,0.06622516556291391,0.07947019867549669,-1.324503311258278
≥ 1.30 (strong GO),233,0.3648068669527897,0.40772532188841204,-4.291845493562235,0.27896995708154504,0.34334763948497854,-6.43776824034335,0.1630901287553648,0.24892703862660945,-8.583690987124465,0.09012875536480687,0.16738197424892703,-7.725321888412016
