tier,def,dir,N,p_0.5,p_0.55,p_0.6,p_0.65,p_0.7,p_0.75,p_0.8
deep STOP,B-old,up,430,0.47674418604651164,0.40232558139534885,0.3372093023255814,0.27674418604651163,0.24418604651162787,0.20930232558139536,0.1697674418604651
deep STOP,B-est,up,430,0.7046511627906977,0.6209302325581395,0.5279069767441861,0.45116279069767434,0.37906976744186044,0.3302325581395349,0.28837209302325584
deep STOP,B-sat,up,430,0.9232558139534883,0.8651162790697674,0.7976744186046512,0.7279069767441861,0.6511627906976745,0.5674418604651162,0.48139534883720925
mid STOP,B-old,up,294,0.6156462585034014,0.4931972789115646,0.43537414965986393,0.3673469387755102,0.3129251700680272,0.2619047619047619,0.20408163265306123
mid STOP,B-est,up,294,0.7517006802721088,0.6632653061224489,0.5952380952380952,0.5238095238095238,0.4591836734693878,0.39795918367346933,0.3163265306122449
mid STOP,B-sat,up,294,0.8979591836734694,0.8605442176870749,0.8095238095238095,0.7244897959183674,0.6462585034013606,0.5816326530612245,0.5340136054421769
mid GO,B-old,up,220,0.7181818181818181,0.6,0.5181818181818182,0.4409090909090909,0.3818181818181819,0.3363636363636363,0.2636363636363636
mid GO,B-est,up,220,0.7318181818181819,0.6454545454545455,0.5681818181818182,0.509090909090909,0.4318181818181818,0.39545454545454545,0.35
mid GO,B-sat,up,220,0.9045454545454545,0.8409090909090909,0.8,0.7181818181818181,0.6227272727272727,0.5545454545454546,0.49090909090909096
strong GO,B-old,up,314,0.7611464968152866,0.6942675159235668,0.6305732484076433,0.535031847133758,0.45859872611464975,0.40445859872611467,0.32802547770700635
strong GO,B-est,up,314,0.732484076433121,0.6401273885350318,0.5509554140127388,0.47770700636942676,0.3853503184713376,0.33121019108280253,0.28662420382165604
strong GO,B-sat,up,314,0.89171974522293,0.8312101910828027,0.7738853503184714,0.6815286624203821,0.60828025477707,0.5191082802547771,0.4554140127388535
deep STOP,B-old,dn,430,0.4790697674418605,0.40930232558139534,0.3651162790697675,0.313953488372093,0.27209302325581397,0.23023255813953492,0.18372093023255814
deep STOP,B-est,dn,430,0.7325581395348837,0.6697674418604652,0.5906976744186047,0.5,0.4302325581395349,0.36046511627906974,0.3116279069767442
deep STOP,B-sat,dn,430,0.9232558139534883,0.8744186046511628,0.8209302325581396,0.7511627906976744,0.686046511627907,0.6255813953488372,0.5302325581395348
mid STOP,B-old,dn,294,0.5544217687074829,0.48299319727891155,0.4217687074829932,0.3401360544217687,0.2857142857142857,0.23469387755102042,0.21768707482993196
mid STOP,B-est,dn,294,0.673469387755102,0.6020408163265306,0.5374149659863946,0.4897959183673469,0.43537414965986393,0.35374149659863946,0.2925170068027211
mid STOP,B-sat,dn,294,0.9013605442176871,0.8333333333333335,0.7448979591836735,0.6666666666666665,0.6224489795918368,0.5612244897959183,0.4931972789115646
mid GO,B-old,dn,220,0.6181818181818182,0.55,0.49090909090909096,0.42272727272727273,0.35,0.29545454545454547,0.22272727272727275
mid GO,B-est,dn,220,0.7,0.6090909090909091,0.5363636363636364,0.4772727272727273,0.40454545454545454,0.3363636363636363,0.2727272727272727
mid GO,B-sat,dn,220,0.859090909090909,0.8181818181818182,0.7818181818181819,0.6909090909090909,0.6,0.5181818181818182,0.4636363636363636
strong GO,B-old,dn,314,0.6719745222929936,0.589171974522293,0.5254777070063694,0.4872611464968153,0.4426751592356688,0.3980891719745223,0.35031847133757954
strong GO,B-est,dn,314,0.643312101910828,0.5796178343949044,0.5127388535031847,0.4299363057324841,0.37261146496815284,0.3248407643312102,0.2898089171974522
strong GO,B-sat,dn,314,0.8471337579617836,0.7993630573248409,0.7038216560509554,0.6114649681528662,0.5414012738853503,0.46178343949044587,0.4076433121019109
