tier,N,either_0.618,either_0.75,either_1.0,either_1.2
deep STOP,430,0.7906976744186046,0.6255813953488372,0.3302325581395349,0.1744186046511628
mid STOP,299,0.8662207357859532,0.6789297658862876,0.39464882943143814,0.22742474916387959
mid GO,221,0.9230769230769231,0.7828054298642534,0.3936651583710407,0.2398190045248869
strong GO,314,0.945859872611465,0.8407643312101911,0.5796178343949044,0.37898089171974525
