bucket,N,either_0.618,either_0.75,either_1.0,either_1.2
< 0.70 (deep STOP),285,0.7649122807017544,0.6035087719298246,0.3087719298245614,0.17192982456140352
0.70 - 1.00 (mid STOP),444,0.8581081081081081,0.6756756756756757,0.38738738738738737,0.21171171171171171
1.00 - 1.30 (mid GO),302,0.9205298013245033,0.7748344370860927,0.39403973509933776,0.24503311258278146
≥ 1.30 (strong GO),233,0.9570815450643777,0.871244635193133,0.6437768240343348,0.4206008583690987
