year,N,upper_0.618,lower_0.618,diff_0.618,upper_0.75,lower_0.75,diff_0.75,upper_1.0,lower_1.0,diff_1.0,upper_1.2,lower_1.2,diff_1.2
2021,45,0.37777777777777777,0.4666666666666667,-8.888888888888891,0.28888888888888886,0.3333333333333333,-4.4444444444444455,0.2,0.26666666666666666,-6.666666666666665,0.1111111111111111,0.2,-8.888888888888891
2022,42,0.21428571428571427,0.47619047619047616,-26.190476190476186,0.11904761904761904,0.40476190476190477,-28.57142857142857,0.09523809523809523,0.2619047619047619,-16.666666666666668,0.07142857142857142,0.09523809523809523,-2.380952380952381
2023,34,0.35294117647058826,0.35294117647058826,0.0,0.3235294117647059,0.3235294117647059,0.0,0.058823529411764705,0.17647058823529413,-11.764705882352942,0.0,0.08823529411764706,-8.823529411764707
2024,48,0.4375,0.4166666666666667,2.0833333333333313,0.375,0.3541666666666667,2.0833333333333313,0.25,0.3125,-6.25,0.125,0.25,-12.5
2025,41,0.4634146341463415,0.24390243902439024,21.951219512195124,0.3170731707317073,0.21951219512195122,9.75609756097561,0.21951219512195122,0.14634146341463414,7.3170731707317085,0.12195121951219512,0.12195121951219512,0.0
2026,23,0.30434782608695654,0.5217391304347826,-21.739130434782606,0.21739130434782608,0.4782608695652174,-26.086956521739136,0.08695652173913043,0.34782608695652173,-26.08695652173913,0.08695652173913043,0.2608695652173913,-17.391304347826086
