quintile,weekday,n,p_up_pct,p_crash_pct,crash_lift,mean_dir_pct,range_mean_pct
Q1,Mon,57,50.877192982456144,7.017543859649122,0.5065390749601275,0.04046913773984258,0.9589994702943468
Q1,Tue,52,53.84615384615385,5.769230769230769,0.41643356643356644,0.05606422100399675,0.9684569328200064
Q1,Wed,43,55.81395348837209,0.0,0.0,0.14541259474576335,0.8814438082835807
Q1,Thu,48,52.083333333333336,6.25,0.4511363636363636,0.08391653553531066,0.9006138493241003
Q1,Fri,39,48.717948717948715,2.564102564102564,0.18508158508158506,0.020429489624391863,0.9441056541842777
Q2,Mon,42,42.857142857142854,14.285714285714285,1.031168831168831,-0.06148597085364126,1.1476915719427976
Q2,Tue,45,33.33333333333333,22.22222222222222,1.604040404040404,-0.09034103924756388,1.265815798129726
Q2,Wed,46,52.17391304347826,10.869565217391305,0.7845849802371541,-0.011841320277791794,0.9495665425170721
Q2,Thu,54,38.88888888888889,16.666666666666664,1.203030303030303,-0.21110279092176118,1.1643626483805756
Q2,Fri,51,56.86274509803921,5.88235294117647,0.4245989304812834,0.11413307234286259,0.9728144312803411
Q3,Mon,46,47.82608695652174,10.869565217391305,0.7845849802371541,-0.022202861316868786,1.0780899371872918
Q3,Tue,52,42.30769230769231,21.153846153846153,1.5269230769230768,-0.193656847281247,1.134822072111803
Q3,Wed,52,57.692307692307686,9.615384615384617,0.6940559440559441,0.07868675025044344,1.0994427208279962
Q3,Thu,48,54.166666666666664,16.666666666666664,1.203030303030303,0.011699521787999611,1.2259568268288459
Q3,Fri,40,62.5,15.0,1.0827272727272725,0.00042218394820863614,1.0666896227470666
Q4,Mon,43,53.48837209302325,16.27906976744186,1.1750528541226215,0.050586984859486143,1.1624616254333526
Q4,Tue,47,57.446808510638306,21.27659574468085,1.5357833655705995,0.08601730674927446,1.3626145362241167
Q4,Wed,52,53.84615384615385,17.307692307692307,1.2493006993006992,0.11008652419410439,1.2254513416161534
Q4,Thu,45,53.333333333333336,17.77777777777778,1.2832323232323233,0.09286501795120038,1.271027285135988
Q4,Fri,51,50.98039215686274,13.725490196078432,0.9907308377896613,-0.03916154211839547,1.1727552645626274
Q5,Mon,45,48.888888888888886,24.444444444444443,1.7644444444444443,-0.17528903826556505,1.672711948624649
Q5,Tue,49,51.02040816326531,22.448979591836736,1.620408163265306,-0.03034636680294163,1.6120224652015167
Q5,Wed,50,52.0,22.0,1.5879999999999999,-0.1535597547027705,1.6626360765903945
Q5,Thu,43,58.139534883720934,9.30232558139535,0.6714587737843551,0.1374960103945577,1.1959534081149046
Q5,Fri,51,64.70588235294117,15.686274509803921,1.1322638146167556,0.18242720262553525,1.3486536845148904
