N,h079_signal,corr
1,up_ratio,-0.0962706102313771
1,lu_ratio,-0.05660239337508048
5,up_ratio,-0.1400995887917535
5,lu_ratio,-0.055761458927604014
10,up_ratio,-0.14485574916328559
10,lu_ratio,-0.0640454922874405
20,up_ratio,-0.11283481268799084
20,lu_ratio,-0.05261248633231908
