c_bucket,regime,lift,count,cond_prob
c_low,dn_lg,0.5967741935483871,37,0.09319899244332494
c_low,dn_md,1.2755905511811025,54,0.13602015113350127
c_low,dn_sm,1.0909090909090908,24,0.060453400503778336
c_low,flat_lg,0.5869565217391305,9,0.022670025188916875
c_low,flat_md,1.1694915254237288,46,0.11586901763224182
c_low,flat_sm,1.2999999999999998,104,0.2619647355163728
c_low,up_lg,0.6181818181818182,34,0.08564231738035265
c_low,up_md,0.9473684210526316,48,0.12090680100755667
c_low,up_sm,1.3516483516483517,41,0.10327455919395466
c_mid,dn_lg,1.1129032258064515,69,0.17380352644836272
c_mid,dn_md,0.8503937007874015,36,0.0906801007556675
c_mid,dn_sm,1.3636363636363638,30,0.07556675062972293
c_mid,flat_lg,0.9782608695652175,15,0.037783375314861464
c_mid,flat_md,0.9152542372881355,36,0.0906801007556675
c_mid,flat_sm,0.95,76,0.19143576826196473
c_mid,up_lg,0.8727272727272727,48,0.12090680100755667
c_mid,up_md,1.0657894736842106,54,0.13602015113350127
c_mid,up_sm,1.0879120879120878,33,0.08312342569269521
c_high,dn_lg,1.2903225806451613,80,0.20151133501259447
c_high,dn_md,0.8740157480314961,37,0.09319899244332494
c_high,dn_sm,0.5454545454545454,12,0.030226700251889168
c_high,flat_lg,1.4347826086956523,22,0.055415617128463476
c_high,flat_md,0.9152542372881355,36,0.0906801007556675
c_high,flat_sm,0.75,60,0.15113350125944586
c_high,up_lg,1.509090909090909,83,0.20906801007556675
c_high,up_md,0.986842105263158,50,0.12594458438287154
c_high,up_sm,0.5604395604395604,17,0.042821158690176324
