trade_date,macro_tier,adj_close,vix_pct,taiex_dist_125ma_z,margin_drop_60d_pct,econ_score,comp_pct,comp_z,comp_vote,fwd_60d,fwd_120d,fwd_250d
2017-08-31,bull,15.749176979064941,75.5,2.83365245934926,0.0,22,38.05515759312321,-0.820213156003474,0,0.007836039861188526,0.00353180706384415,0.07736471059558458
2017-09-01,bull,15.75866985321045,64.6766169154229,2.842545173357472,0.0,22,35.44054441260745,-1.0160089643543326,0,0.008433770594008294,-0.002016319979414427,0.07173053182784517
2017-09-04,bull,15.73019027709961,89.60396039603961,2.6403504466052876,0.0,22,41.81590257879657,-0.4579299738321136,0,-0.007241895685176081,0.01712452180450219,0.06930151628138215
2017-09-05,bull,15.749176979064941,94.58128078817734,2.897195370464045,0.0,22,43.00978987583572,-0.521741050999097,1,-0.004219275655285681,0.011569854783840983,0.06676547450743775
2017-09-06,bull,15.682726860046387,96.5686274509804,2.4170700049363227,-0.0392513178647913,22,47.94054441260745,-0.1994268425549911,1,0.0036318457485957634,0.027654361197652966,0.06377202244320612
2017-09-07,bull,15.616273880004883,95.85365853658536,2.3146974213672333,0.0,22,45.13490926456542,-0.1558897405632791,1,0.0,0.03327419793158404,0.08779109426956588
2017-09-08,bull,15.70171070098877,94.1747572815534,2.7154762368805145,0.0,22,43.105300859598856,-0.4217535892373678,1,-0.022370093796708623,0.043776595579915645,0.07374239398529081
2017-09-11,bull,15.673234939575195,89.85507246376811,2.4334677723642986,0.0,22,42.4725405921681,-0.331527586879557,0,-0.019988039851099315,0.05561432730429705,0.07005473459677525
2017-09-12,bull,15.73019027709961,71.15384615384616,2.6303281186655982,0.0,22,37.374641833810884,-0.7768466007414419,0,-0.02353643379834247,0.04374444505071451,0.07554343015465959
2017-09-13,bull,15.625763893127441,59.09090909090909,2.1025424767884884,0.0,22,36.75382043935052,-0.6780312284402266,0,-0.009720349975565812,0.05009624468432672,0.07958943169343335
2017-09-14,bull,15.635261535644531,40.95238095238095,2.1981813009650697,0.0,22,32.32449856733524,-1.0537617235685814,0,-0.017000736820789064,0.04509892185064013,0.09086622798991884
2017-09-15,bull,15.635261535644531,29.62085308056872,2.333579323646375,0.0,22,29.31590257879656,-1.333093336780833,0,-0.016393408625682837,0.04447567393484264,0.0940063776474922
