score,quantile,trade_date,score_val,macro_tier,fwd_60d,fwd_120d,fwd_250d
comp_pct,top 19%,2017-12-06,70.8810888252149,bull,0.06766025564163702,0.04736046425083895,-0.02514431112181903
comp_pct,top 19%,2017-12-07,71.53772683858645,bull,0.07714433112011165,0.04798093987222085,-0.024468457041975977
comp_pct,top 19%,2017-12-08,67.0487106017192,bull,0.06890260034050488,0.04607880140689691,-0.03661467533726237
comp_pct,top 19%,2018-02-06,79.66809933142312,C,0.026365526115713633,0.09062551352642045,0.004353874103255606
comp_pct,top 19%,2018-02-07,77.51910219675263,C,0.006819435442619204,0.07147641909665348,-0.0010101135823756824
comp_pct,top 19%,2018-02-08,78.03844317096465,C,0.004342288887756229,0.050248134699107494,0.0021896435969570582
comp_pct,top 19%,2018-02-09,82.07975167144221,C,0.03795078344009961,0.07849453333789236,0.021182541369770158
comp_pct,top 19%,2018-02-12,81.6678605539637,C,0.025721573208842274,0.059577677271069884,0.0037237315465352694
comp_pct,top 19%,2018-02-21,74.95224450811843,C,-0.001840421869489406,0.036794738767881086,-0.020995661502246188
comp_pct,top 19%,2018-02-22,76.08643744030563,C,0.0067897858928711585,0.0413270393387557,-0.012385634400292167
comp_pct,top 19%,2018-02-23,70.83333333333333,C,-0.0018295576934698188,0.03231697078082063,-0.028233040672575926
comp_pct,top 19%,2018-02-26,70.46919770773638,C,-0.0024270537877477683,0.034648121175601565,-0.04115122526341808
comp_pct,top 19%,2018-02-27,71.0183858643744,C,-0.006071971497482176,0.03650068541281937,-0.03867525227437296
comp_pct,top 19%,2018-03-01,72.78533906399235,C,-0.01651379718683421,0.04904190278926657,-0.017631192921023997
comp_pct,top 19%,2018-03-02,76.02077363896848,C,-0.0049291798104019735,0.053691849417838,-0.012289309528645376
comp_pct,top 19%,2018-03-05,76.9878223495702,C,0.007430365151088303,0.06827685300540987,-0.008040521877441642
comp_pct,top 19%,2018-03-06,71.3049188156638,C,0.005477876326157594,0.0586631254181007,-0.0179854783615212
comp_pct,top 19%,2018-03-07,73.74044890162368,C,0.008557535954509143,0.07551985372764869,-0.007429030205786447
comp_pct,top 19%,2018-03-08,69.07234957020057,C,0.006646431501813099,0.06682788050199018,-0.015055599364091732
comp_pct,top 19%,2018-03-09,67.34121298949378,C,0.007241968095197837,0.05823799580489264,-0.014989145795052061
comp_pct,top 19%,2018-03-23,71.14374403056351,C,-0.01157131657118382,0.062378444694479285,0.014902116088914008
comp_pct,top 19%,2018-04-25,66.49952244508117,C,0.06746510762422853,0.008338146113855416,0.0789231581365959
comp_pct,top 19%,2018-04-26,69.60362941738299,C,0.07849453333789236,0.012802725427027983,0.09351354512158072
comp_pct,top 19%,2018-04-27,68.1769340974212,C,0.07836183595434298,0.007702094346946131,0.08356688282437164
comp_pct,top 19%,2018-04-30,66.51743075453678,C,0.06820845209253057,-0.0004848301001328936,0.059736136374793025
comp_pct,top 19%,2018-05-03,67.63371537726839,C,0.10012172753989113,-0.0019312332595021742,0.06076957712911146
comp_pct,top 19%,2018-05-04,66.6189111747851,C,0.0926326325419895,-0.011457864354758818,0.04881119183856808
comp_pct,top 19%,2018-08-13,71.31685768863419,C,-0.06611069809133963,-0.07093562514186713,0.0020214830440923315
comp_pct,top 19%,2018-08-14,68.34407831900668,C,-0.06741555932153154,-0.07935775954114166,-0.003859314949483883
comp_pct,top 19%,2018-08-15,72.98829990448901,C,-0.07104505672752248,-0.07364140793126528,-0.01110510267639242
comp_pct,top 19%,2018-08-16,74.67168099331423,C,-0.06921237786141299,-0.07665476655589443,-0.009213381545722488
comp_pct,top 19%,2018-08-17,72.95248328557784,C,-0.07830247816990754,-0.0676038258088254,-0.0006002716664691432
comp_pct,top 19%,2018-08-20,72.34360076408787,C,-0.07861819781310075,-0.07277784372211105,-0.0023136048712731894
comp_pct,top 19%,2018-08-21,68.81566380133715,C,-0.08219983594149449,-0.06899296542583588,0.006593814826629574
comp_pct,top 19%,2018-08-22,67.86652340019101,C,-0.09096256790023738,-0.06095801750582397,0.006018659600207865
comp_pct,top 19%,2018-08-24,66.39207258834766,C,-0.10377364001075684,-0.05775604924516431,0.007304746716706445
comp_pct,top 19%,2018-09-07,67.26957975167144,C,-0.09432876647961819,-0.07997813153073774,0.019339217908268758
comp_pct,top 19%,2018-09-10,71.006446991404,C,-0.10872065479165083,-0.07629824754580183,0.021662558690416667
comp_pct,top 19%,2018-09-11,70.46919770773638,C,-0.1231757778082686,-0.06590326907964783,0.02765830299058014
comp_pct,top 19%,2018-09-12,70.43338108882521,C,-0.11805971667479909,-0.05878574459770991,0.0221746438681103
comp_pct,top 19%,2018-09-13,68.93505253104107,C,-0.12360214510388934,-0.048496870103820755,0.03184260061262556
comp_pct,top 19%,2018-09-18,67.29345749761222,C,-0.10655731086351117,-0.04204186786480846,0.042842623106309485
comp_pct,top 19%,2018-10-04,72.17048710601719,C,-0.11071857601965984,-0.01029129085740621,0.07592808485621805
comp_pct,top 19%,2018-10-05,78.11604584527221,C,-0.11264215552431778,0.0025815352435833994,0.10521434970939825
comp_pct,top 19%,2018-10-08,80.52172874880611,C,-0.11626493124139936,0.00739599618059783,0.10807445493947943
comp_pct,top 19%,2018-10-09,80.09192932187202,C,-0.1327325300586356,0.013659442016524359,0.10911862223767388
comp_pct,top 19%,2018-10-11,86.7836676217765,C,-0.04457386263999186,0.09360265836626769,0.19294694466754136
comp_pct,top 19%,2018-10-12,85.33309455587391,C,-0.07994985746053784,0.06577174140072373,0.1586510652286761
comp_pct,top 19%,2018-10-15,85.61365807067813,C,-0.053030401970719176,0.07655869491359257,0.174368436707367
comp_pct,top 19%,2018-10-16,85.2196752626552,C,-0.056746329600292356,0.07650173202167498,0.17813249073271797
comp_pct,top 19%,2018-10-17,84.6764565425024,C,-0.049118383056514725,0.07384714276845972,0.17992251544385418
comp_pct,top 19%,2018-10-18,85.45845272206304,C,-0.05243225944755214,0.08179802315226858,0.18364908308412398
comp_pct,top 19%,2018-10-19,85.30921680993313,C,-0.046027617917984265,0.08170217555541681,0.20894592394830513
comp_pct,top 19%,2018-10-22,85.518147086915,C,-0.04608596646807295,0.0856712354452307,0.21966270147480804
comp_pct,top 19%,2018-10-23,86.96275071633238,C,-0.028295909024674493,0.09332108643389181,0.2484267437356904
comp_pct,top 19%,2018-10-24,85.55993314231137,C,-0.018733807693830373,0.10292711784683028,0.2473550383721541
comp_pct,top 19%,2018-10-25,89.73853868194841,C,0.013245105951842806,0.13068315867009805,0.27461406041402037
comp_pct,top 19%,2018-10-26,89.59527220630372,C,0.012537983056239987,0.1349174903037742,0.2569978346920716
comp_pct,top 19%,2018-10-29,89.42215854823304,C,0.0030958930630891057,0.1398819006419112,0.2628575531469548
comp_pct,top 19%,2018-10-30,89.11174785100286,C,0.005205332865470869,0.11719649241217445,0.252002024051015
comp_pct,top 19%,2018-10-31,87.29703915950334,C,-0.002904179242801841,0.10544691722920074,0.22550051974401053
comp_pct,top 19%,2018-11-01,86.95081184336198,C,-0.011741942980713072,0.08557166953907092,0.22415059260059444
comp_pct,top 19%,2018-11-02,86.7836676217765,C,-0.023403499809303674,0.06901254273378021,0.22819210355008734
comp_pct,top 19%,2018-11-05,87.44030563514804,C,-0.020388002764134106,0.07381808286134439,0.24377174606829222
comp_pct,top 19%,2018-11-06,88.628223495702,C,-0.0066740488644547735,0.05941565168710561,0.24309241950474103
comp_pct,top 19%,2018-11-07,85.33906399235912,C,-0.005166487120760843,0.04743505376962154,0.22680314798315604
comp_pct,top 19%,2018-11-08,83.96609360076408,C,-0.012805489453504015,0.04276508999544815,0.22046099491048254
comp_pct,top 19%,2018-11-09,84.83763132760267,C,-0.0027949161824754043,0.04756232400304761,0.23760101976958303
comp_pct,top 19%,2018-11-12,84.61079274116523,C,-0.007995796804196487,0.03430169373002134,0.23776010355829746
comp_pct,top 19%,2018-11-13,85.33906399235912,C,0.011607552486242234,0.04570669833061358,0.25692869288213727
comp_pct,top 19%,2018-11-14,84.33022922636103,C,0.0063386905158400175,0.04499274902875161,0.24950554710758155
comp_pct,top 19%,2018-11-15,84.11532951289398,C,0.014389701628792384,0.04162614648642782,0.2260512906005947
comp_pct,top 19%,2018-11-16,84.5212511938873,C,0.03300694705729179,0.030997272092635475,0.24383942643390566
comp_pct,top 19%,2018-11-19,84.00787965616045,C,0.034358218295419185,0.03973488507731693,0.24789421640309794
comp_pct,top 19%,2018-11-20,84.9570200573066,C,0.05134594653759672,0.046597832246755955,0.2545990268630849
comp_pct,top 19%,2018-11-21,84.03175740210123,C,0.05405945593200556,0.0459198862021879,0.271017205963906
comp_pct,top 19%,2018-11-22,83.2437917860554,C,0.058954342039912566,0.04668045234780105,0.27980509054432967
comp_pct,top 19%,2018-11-23,84.63467048710602,C,0.052889968294118406,0.05904720977156752,0.2923308579252202
comp_pct,top 19%,2018-11-26,82.54536771728748,C,0.03912058742802804,0.06213701535300076,0.269878702417891
comp_pct,top 19%,2018-11-27,81.6559216809933,C,0.043198787472361166,0.06488984489584593,0.28180290947120556
comp_pct,top 19%,2018-11-28,81.13061127029609,C,0.02764578217205549,0.046415393118165005,0.2960298679982196
comp_pct,top 19%,2018-11-29,81.62607449856733,C,0.016947224369837866,0.04772351794508567,0.3076767790214725
comp_pct,top 19%,2018-11-30,81.60816618911174,C,0.022937543029247554,0.04375912745211741,0.31211072786964
comp_pct,top 19%,2018-12-03,78.1220152817574,C,0.010717762546049503,0.03426818385213459,0.29512970547922546
comp_pct,top 19%,2018-12-04,78.15783190066857,C,0.015845302818219054,0.04614918691076353,0.3048972153551561
comp_pct,top 19%,2018-12-05,80.15162368672398,C,0.0363773797969813,0.07202193199002505,0.3246745594782383
comp_pct,top 19%,2018-12-06,83.73925501432664,C,0.0653181188191414,0.0852241872909214,0.3423232068631368
comp_pct,top 19%,2018-12-07,82.80205348615091,C,0.06720860039821197,0.07814053654657549,0.33885281897257213
comp_pct,top 19%,2018-12-10,84.41977077363897,C,0.08569769378197711,0.08985220889580092,0.35753427150463657
