split,score,top_pct,threshold,hold_days,mode,n_trades,win_rate,mean_ret,median_ret,best,worst,total_pnl,sharpe,maxdd,cagr,final_equity
IS,comp_pct,5,81.951,60,single_tranche,1,0.0,-0.11626493124139936,-0.11626493124139936,-0.11626493124139936,-0.11626493124139936,-0.11626493124139936,-2.178438070175839,-0.11891874076891273,-0.4084044214382039,0.883735068758601
OOS,comp_pct,5,81.951,60,single_tranche,0,,,,,,,,,,
IS,comp_pct,5,81.951,60,continuous,43,0.5348837209302325,0.014980062824208036,0.005205332865470869,0.1399298633647139,-0.11626493124139936,0.6441427014409455,0.17727493378366987,-0.1327325300586355,0.01465470390950041,1.007395996180597
OOS,comp_pct,5,81.951,60,continuous,0,,,,,,,,,,
IS,comp_pct,5,81.951,120,single_tranche,1,1.0,0.00739599618059783,0.00739599618059783,0.00739599618059783,0.00739599618059783,0.00739599618059783,0.17727493378366987,-0.1327325300586355,0.01465470390950041,1.007395996180597
OOS,comp_pct,5,81.951,120,single_tranche,0,,,,,,,,,,
IS,comp_pct,5,81.951,120,continuous,43,1.0,0.07978716759157696,0.07655869491359257,0.15261996435608993,0.00739599618059783,3.430848206437809,0.1872823713193113,-0.1327325300586355,0.016577544197955874,1.0123648465218142
OOS,comp_pct,5,81.951,120,continuous,0,,,,,,,,,,
IS,comp_pct,5,81.951,250,single_tranche,1,1.0,0.10807445493947943,0.10807445493947943,0.10807445493947943,0.10807445493947943,0.10807445493947943,0.7437173637122242,-0.1327325300586355,0.10395658873949642,1.108074454939476
OOS,comp_pct,5,81.951,250,single_tranche,0,,,,,,,,,,
IS,comp_pct,5,81.951,250,continuous,43,1.0,0.25728539876549583,0.24789421640309794,0.37931017588976856,0.10807445493947943,11.06327214691632,1.1506362456965935,-0.1327325300586355,0.16865043919407707,1.2189447731293779
OOS,comp_pct,5,81.951,250,continuous,0,,,,,,,,,,
IS,comp_pct,10,78.993,60,single_tranche,4,0.5,0.07208906815844762,0.05206752803350151,0.29686337209110514,-0.11264215552431767,0.2883562726337905,1.2244058136505724,-0.1244558179648575,0.06114512157611873,1.2648546295514107
OOS,comp_pct,10,78.993,60,single_tranche,1,1.0,0.33679897743549225,0.33679897743549225,0.33679897743549225,0.33679897743549225,0.33679897743549225,4.519516861785775,-0.05684920191152587,2.4810756986812064,1.3367989774354927
IS,comp_pct,10,78.993,60,continuous,82,0.5853658536585366,0.0465594285978527,0.015668462999315125,0.29686337209110514,-0.13273253005863572,3.817873145023921,1.2918880592670217,-0.17560381859730612,0.07931714025281811,1.3579024366371648
OOS,comp_pct,10,78.993,60,continuous,1,1.0,0.33679897743549225,0.33679897743549225,0.33679897743549225,0.33679897743549225,0.33679897743549225,4.519516861785775,-0.05684920191152587,2.4810756986812064,1.3367989774354927
