d,lvl,tk,ema20,swing_at_tk,up_full,satcons,cont,W5_level,W5_slope,W5_ddpeak,W5_frozen,W10_level,W10_slope,W10_ddpeak,W10_frozen,is_seg,tk_min
2025-06-03,L3,09:37:00,270.51002965358094,197.0,209.0,0.7282539588357632,0.0,0.21764272454701591,0.03625275311486059,0.05228529537797119,0.26765462605636897,0.257801162782348,0.03852635922491396,0.03246119656068086,0.2805419550954918,IS,577
2025-06-04,L3,09:37:00,270.0805030199066,194.0,272.0,0.7183043493728276,1.0,0.2998366145085965,0.029591866793452437,0.048829882621246934,0.11786326266621323,0.22198488651383325,0.012912634198247758,0.048982088880387964,0.1068608484111349,IS,577
2025-06-04,L4,10:35:00,270.0805030199066,268.0,272.0,0.9922967300614319,0.0,0.34464084429243336,0.02469105710479691,0.02638488547430029,0.11786326266621323,0.284583871603665,0.013270862759341528,0.008657269207887841,0.1068608484111349,IS,635
2025-06-10,L3,09:30:00,238.53968888506972,172.0,386.0,0.7210540132919807,1.0,0.32372288700559076,-0.018670578473000687,0.026705701955934857,0.1248455280811078,0.22589458223628064,-0.015601208544264444,0.01616505381975894,0.08133341193588954,IS,570
2025-06-10,L4,09:42:00,238.53968888506972,234.0,386.0,0.9809688320367644,1.0,0.4693091571590916,0.03104345668213565,0.0,0.1248455280811078,0.30031170603785884,-0.011986437708083497,0.028405743671915284,0.08133341193588954,IS,582
2025-06-10,L5,10:16:00,238.53968888506972,297.0,386.0,1.2450758252774317,,0.45044804957247864,0.0037065623217018007,0.12788249761165194,0.1248455280811078,0.3225940534076049,0.03470378582430189,0.06608710662179729,0.08133341193588954,IS,616
2025-06-13,L3,09:38:00,231.93345492524492,171.0,246.0,0.7372804413020771,1.0,-0.07456993824650017,0.10582892233588324,0.003413869265864955,-0.2758540912098864,-0.026341947042860147,0.09556266940125853,0.0,-0.21694313940128462,IS,578
2025-06-13,L4,09:55:00,231.93345492524492,227.0,246.0,0.9787290068746872,0.0,-0.07334177218818515,0.06309592894052295,0.1412467751384322,-0.2758540912098864,-0.030760217690817108,0.06774496809706301,0.0929072113290118,-0.21694313940128462,IS,595
2025-06-16,L3,13:21:00,233.2731258847454,172.0,174.0,0.7373331126234448,0.0,-0.18757827926440454,-0.005434054745946576,0.14675943454225285,-0.1154280903399834,-0.16107669113073164,0.017195261858620886,0.14499399989636405,-0.02061116930729914,IS,801
2025-06-18,L3,09:08:00,226.5387719827508,162.0,268.0,0.7151093765632978,1.0,0.36099968481465344,0.30032452348010313,,0.24216022442008417,0.32905719007340617,0.22404829570700435,,0.2357848905114883,IS,548
