d,ema20,tk,p_entry,hold_pnl_pts,hold_pnl_pct,rem_min,W10_ddpeak,is_seg,early,ext_ok,take_A,take_B
2025-06-03,270.51002965358094,09:37:00,21191.0,-71.95566788785072,-0.3395576796180016,248,0.0324611965606808,IS,True,True,True,True
2025-06-04,270.0805030199066,09:37:00,21440.0,71.84141380329675,0.3350812210974662,248,0.0489820888803879,IS,True,False,True,True
2025-06-10,238.53968888506972,09:30:00,22010.0,63.4515572434284,0.288285130592587,255,0.0161650538197589,IS,True,True,True,True
2025-06-13,231.93345492524492,09:38:00,22060.0,61.69429901011608,0.2796659066641708,247,0.0,IS,True,True,True,True
2025-06-16,233.2731258847454,13:21:00,22037.0,-5.0,-0.022689113763216407,24,0.144993999896364,IS,False,False,False,False
2025-06-18,226.5387719827508,09:08:00,21846.0,60.25931334741108,0.2758368275538363,277,,IS,True,False,True,True
2025-06-20,225.86960699721777,11:51:00,21631.0,22.0,0.10170588507234987,114,0.0827594060347489,IS,False,False,False,False
2025-06-23,230.3582158546256,09:09:00,21391.0,-61.27528541733045,-0.2864535805587885,276,,IS,True,False,True,True
2025-06-24,234.99076672561364,09:19:00,21937.0,-62.50754394901378,-0.2849411676574453,266,0.0,IS,True,True,True,True
2025-07-01,216.7115143573886,09:02:00,22352.0,57.645262819063646,0.25789756092995547,283,,IS,True,False,True,True
2025-07-02,234.35803679954208,12:19:00,22374.0,22.0,0.09832841691248771,86,0.1687937152935781,IS,False,False,False,False
2025-07-03,230.41917615196664,11:32:00,22704.0,-61.29150085642323,-0.2699590418270931,133,0.1057173914385275,IS,False,False,False,False
2025-07-07,234.7059469180498,09:30:00,22413.0,-62.431781880201015,-0.27855165252398617,255,0.0,IS,True,True,True,True
2025-07-08,237.3053805449022,10:55:00,22291.0,-63.1232312249449,-0.28317810427950696,170,0.1054120112628075,IS,False,False,False,False
2025-07-09,239.08582049300674,09:53:00,22319.0,63.596828251138504,0.2849447925585309,232,0.1058430669319476,IS,True,False,True,True
2025-07-10,247.45859949367275,10:30:00,22593.0,18.0,0.07967069446288673,195,0.0706749749997359,IS,True,False,True,True
2025-07-11,246.46254239903726,09:32:00,22662.0,65.55903627814405,0.2892906022334483,253,0.1250312256624432,IS,True,False,True,True
2025-07-15,243.0634417370804,09:44:00,22704.0,64.65487550206308,0.2847730598223356,241,0.0,IS,True,True,True,True
2025-07-16,255.15263776212038,09:41:00,22882.0,67.87060164472496,0.2966113173880122,244,0.1432734151357616,IS,True,False,True,True
2025-07-17,259.1381008323946,13:19:00,23050.0,68.93073482141699,0.2990487410907462,26,0.1409369712781915,IS,False,False,False,False
2025-07-22,240.91526116071643,09:15:00,23385.0,-64.08345946875124,-0.27403660238935745,270,0.0,IS,True,True,True,True
2025-07-23,258.8280934311244,09:11:00,23175.0,-68.84827285267966,-0.2970799260094052,274,,IS,True,False,True,True
2025-07-28,238.7584378408468,11:32:00,23426.0,-63.50974446566397,-0.2711079333461281,133,0.1069891022687864,IS,False,False,False,False
2025-07-29,236.78144376076614,10:06:00,23186.0,-62.983864040365006,-0.27164609695663333,219,0.4718909559014762,IS,True,False,True,True
2025-07-30,245.8498776883122,09:41:00,23375.0,-65.39606746509162,-0.27976927257793205,244,0.0321188148698915,IS,True,True,True,True
2025-07-31,243.6736988608539,10:44:00,23524.0,64.81720389698603,0.2755364899548802,181,0.0165067455277127,IS,False,True,False,True
2025-08-01,245.8000132550583,09:02:00,23235.0,65.38280352584479,0.2813979062872597,283,,IS,True,False,True,True
2025-08-04,259.9142977069575,10:12:00,23232.0,28.0,0.12052341597796143,213,0.1274196524153309,IS,True,False,True,True
2025-08-07,237.15432112860614,09:00:00,23829.0,63.083049420209136,0.26473225657899674,285,,IS,True,False,True,True
2025-08-11,242.78165516423317,10:20:00,24005.0,64.57992027368527,0.2690269538583015,205,0.0423646040630657,IS,True,False,True,True
2025-08-13,246.91650229997316,12:46:00,24332.0,15.0,0.061647213545947724,59,0.1159160663897648,IS,False,False,False,False
2025-08-15,239.11759031811863,11:45:00,24355.0,-63.60527902462127,-0.2611590187830888,120,0.0964533558607267,IS,False,False,False,False
2025-08-18,235.10639124020256,09:16:00,24336.0,62.53830006989301,0.2569785505830581,269,0.0265829880915758,IS,True,True,True,True
2025-08-21,258.16140130834134,09:24:00,23868.0,68.67093274802028,0.2877112985923424,261,0.0,IS,True,True,True,True
