date,session_open,vwap_t1,vwap_t2,or_high,or_low,brk_time,day_low,max_decline,EmaHL,reach_ratio,L2,L3,L4,L5
2021-02-03,15864.0,15700.045486449933,15246.362657791919,15875.0,15833.0,09:00:00,15716.0,159.0,279.8851549461434,0.5680901512286187,1.0,0.0,0.0,0.0
2021-02-05,15809.0,15670.755098455089,15782.158069304469,15839.0,15803.0,09:00:00,15751.0,220.0,265.1939703754145,0.8295814557494015,1.0,1.0,0.0,0.0
2021-02-18,16374.0,16305.01993273978,15841.042397817417,16382.0,16341.0,08:59:00,16287.0,235.0,261.3537943435932,0.899164294094974,1.0,1.0,0.0,0.0
2021-02-22,16480.0,16241.650104482598,16381.245307863137,16509.0,16468.0,08:59:00,16336.0,228.0,253.30775455337226,0.9000908811576083,1.0,1.0,0.0,0.0
2021-02-25,16388.0,16285.650343085761,16328.600792864221,16400.0,16375.0,09:02:00,16243.0,179.0,257.32425099682325,0.695620406186317,1.0,0.0,0.0,0.0
2021-03-08,15950.0,15767.646633184966,15912.805075180393,15984.0,15942.0,09:15:00,15767.0,328.0,281.03251652025483,1.1671247301248149,1.0,1.0,1.0,0.0
2021-03-10,15977.0,15749.085387504469,15918.279673543931,15986.0,15934.0,09:00:00,15808.0,178.0,281.1717425483265,0.6330650384236466,1.0,0.0,0.0,0.0
2021-03-12,16276.0,16123.117253980683,15876.581929284655,16288.0,16243.0,09:02:00,16155.0,133.0,271.40816113366407,0.4900368487243082,0.0,0.0,0.0,0.0
2021-03-17,16304.0,16269.559460129003,16197.8421516417,16315.0,16295.0,09:04:00,16161.0,175.0,233.45973190970759,0.7495939388283143,1.0,1.0,0.0,0.0
2021-03-23,16223.0,16067.221175438335,16024.510667584309,16235.0,16206.0,08:58:00,16103.0,174.0,221.47135052886915,0.7856546663236192,1.0,1.0,0.0,0.0
2021-03-26,16095.0,15983.624107385309,15997.057448473384,16116.0,16090.0,09:13:00,16081.0,48.0,209.14523197036107,0.22950559067395954,0.0,0.0,0.0,0.0
2021-03-30,16469.0,16418.324843777897,16193.611286280217,16494.0,16465.0,09:06:00,16418.0,113.0,202.32977038843615,0.5584941839407057,1.0,0.0,0.0,0.0
2021-03-31,16540.0,16476.81215946646,16418.324843777897,16544.0,16493.0,09:03:00,16403.0,146.0,193.82217320858507,0.7532677896603687,1.0,1.0,0.0,0.0
2021-04-07,16777.0,16753.606815481653,16526.7155300061,16785.0,16751.0,09:05:00,16673.0,112.0,180.18510809174873,0.6215829997613929,1.0,0.0,0.0,0.0
2021-04-09,16952.0,16811.89042032532,16739.309134899726,16965.0,16949.0,09:02:00,16810.0,161.0,180.55062136308683,0.891716676378695,1.0,1.0,0.0,0.0
2021-04-13,16910.0,16872.71767365575,16880.215237501096,16918.0,16902.0,08:59:00,16780.0,266.0,181.19449957386473,1.4680357330138707,1.0,1.0,1.0,1.0
2021-04-16,17062.0,16941.584453727162,16768.457149040933,17072.0,17016.0,09:05:00,16990.0,88.0,204.08369210421534,0.4311956486707561,0.0,0.0,0.0,0.0
2021-04-20,17238.0,17208.519282883128,17065.73966978883,17254.0,17225.0,09:07:00,17206.0,72.0,199.32928083814454,0.36121135689273887,0.0,0.0,0.0,0.0
2021-04-27,17532.0,17430.78049028027,17162.970154972405,17535.0,17513.0,09:05:00,17460.0,116.0,200.63610791066355,0.5781611356399061,1.0,0.0,0.0,0.0
2021-05-07,17120.0,16926.68932004398,16922.128526805634,17151.0,17112.0,09:03:00,17060.0,115.0,252.3614227038139,0.455695639879835,0.0,0.0,0.0,0.0
2021-05-10,17369.0,17169.152039094362,16926.68932004398,17373.0,17323.0,08:59:00,17178.0,195.0,250.0412872082126,0.7798712051806908,1.0,1.0,0.0,0.0
2021-05-26,16616.0,16534.636824476605,16238.351453965592,16645.0,16608.0,09:08:00,16504.0,160.0,383.7409556887338,0.4169479374773377,0.0,0.0,0.0,0.0
2021-05-28,16731.0,16463.572115865158,16586.31711167022,16770.0,16728.0,09:01:00,16673.0,97.0,363.7244557905508,0.26668539455003554,0.0,0.0,0.0,0.0
2021-06-03,17253.0,17122.327477792194,17084.901958058967,17271.0,17225.0,09:00:00,17147.0,166.0,303.66776601868753,0.5466500517206178,1.0,0.0,0.0,0.0
2021-06-08,17190.0,17016.169914103724,17107.542415003696,17198.0,17161.0,08:58:00,17030.0,168.0,297.96579280014873,0.5638231101000267,1.0,0.0,0.0,0.0
2021-06-15,17322.0,17236.86075526564,17094.9802663525,17353.0,17311.0,09:01:00,17276.0,97.0,252.01044875081982,0.38490467550379476,0.0,0.0,0.0,0.0
2021-06-23,17100.0,17062.16062435047,16995.96356683053,17114.0,17088.0,09:03:00,17059.0,76.0,236.94749178043932,0.32074616797557515,0.0,0.0,0.0,0.0
2021-06-24,17298.0,17203.82820288691,17062.16062435047,17301.0,17284.0,09:02:00,17261.0,82.0,239.14296875373083,0.34289111834370306,0.0,0.0,0.0,0.0
2021-06-29,17595.0,17487.87428810411,17489.792020888464,17611.0,17575.0,09:01:00,17451.0,172.0,219.1674357717136,0.7847881205269767,1.0,1.0,0.0,0.0
2021-06-30,17610.0,17536.75265390008,17487.87428810411,17620.0,17591.0,09:03:00,17583.0,62.0,214.6752990315504,0.288808261964447,0.0,0.0,0.0,0.0
2021-07-06,17956.0,17864.213995095306,17657.95452932479,17958.0,17930.0,09:01:00,17858.0,116.0,202.50603218355872,0.5728224426166894,1.0,0.0,0.0,0.0
2021-07-26,17473.0,17465.64225663335,17441.139865316072,17479.0,17435.0,09:11:00,17197.0,282.0,196.6667419167702,1.433897756435824,1.0,1.0,1.0,1.0
2021-08-02,17313.0,17236.521569704564,17183.683954671826,17358.0,17308.0,09:00:00,17160.0,198.0,221.6290343929724,0.8933847523286342,1.0,1.0,0.0,0.0
2021-08-05,17570.0,17538.69840895566,17422.01321595159,17580.0,17556.0,09:00:00,17520.0,60.0,211.56544076248758,0.2836001937923244,0.0,0.0,0.0,0.0
2021-08-06,17555.0,17551.753704439216,17538.69840895566,17560.0,17483.0,09:00:00,17353.0,207.0,197.5115892612983,1.0480397670546258,1.0,1.0,1.0,0.0
2021-08-24,16822.0,16629.3174544569,16274.736874122336,16842.0,16800.0,09:05:00,16717.0,125.0,253.78330862148042,0.4925461831157634,0.0,0.0,0.0,0.0
2021-08-26,17103.0,16894.555067851787,16770.661978216398,17125.0,17091.0,09:00:00,16882.0,243.0,237.27840002801457,1.0241134463622052,1.0,1.0,1.0,0.0
2021-09-03,17442.0,17377.995812284942,17440.451091774157,17455.0,17413.0,09:01:00,17370.0,85.0,234.3564502303698,0.3626953724399134,0.0,0.0,0.0,0.0
2021-09-07,17522.0,17512.978599369086,17469.07024442362,17529.0,17481.0,09:10:00,17337.0,192.0,223.89723023393083,0.8575362893028906,1.0,1.0,0.0,0.0
2021-09-10,17300.0,17197.68012207855,17290.720894152753,17332.0,17299.0,08:59:00,17284.0,59.0,223.1706189584852,0.2643717182635737,0.0,0.0,0.0,0.0
2021-09-13,17434.0,17395.854857058297,17197.68012207855,17492.0,17427.0,09:07:00,17356.0,136.0,220.48770286720088,0.6168144446672947,1.0,0.0,0.0,0.0
