strategy,fraction,period,year,n_trades,wr,ev_pts,ev_pct,pf,total_pts
S001,0.8,IS,2022,28,71.42857142857143,25.25,0.16032286178027658,3.4634146341463414,707.0
S001,0.8,IS,2023,27,59.25925925925925,14.555555555555555,0.09034312549816824,2.1228571428571428,393.0
S001,0.8,IS,2024,25,68.0,44.44,0.20233538340646048,3.72972972972973,1111.0
S001,0.8,OOS,2025,26,61.53846153846154,46.23076923076923,0.2050792173579118,2.8295281582952816,1202.0
S001,0.8,OOS,2026,10,60.0,29.1,0.09082293178664044,1.7046004842615012,291.0
S001,0.85,IS,2022,28,71.42857142857143,21.75,0.14077073041914848,3.03,609.0
S001,0.85,IS,2023,27,55.55555555555556,14.777777777777779,0.09122713533051197,2.0445026178010473,399.0
S001,0.85,IS,2024,25,72.0,56.32,0.25966893051607165,5.022857142857143,1408.0
S001,0.85,OOS,2025,26,61.53846153846154,41.07692307692308,0.179746964955746,2.625570776255708,1068.0
S001,0.85,OOS,2026,10,60.0,55.6,0.1715706472748102,2.3462469733656173,556.0
S001,0.9,IS,2022,28,71.42857142857143,23.821428571428573,0.15472995164664563,3.223333333333333,667.0
S001,0.9,IS,2023,27,55.55555555555556,12.0,0.07379313430879406,1.8481675392670156,324.0
S001,0.9,IS,2024,26,73.07692307692307,61.61538461538461,0.2855403152534144,5.577142857142857,1602.0
S001,0.9,OOS,2025,26,61.53846153846154,44.5,0.19331695649687797,2.7610350076103503,1157.0
S001,0.9,OOS,2026,10,60.0,55.5,0.17122277573126676,2.343825665859564,555.0
S001,0.95,IS,2022,28,71.42857142857143,25.0,0.16098082647454473,3.3333333333333335,700.0
S001,0.95,IS,2023,27,55.55555555555556,13.333333333333334,0.08174589189211644,1.942408376963351,360.0
S001,0.95,IS,2024,26,69.23076923076923,69.34615384615384,0.32230655582316586,5.212616822429907,1803.0
S001,0.95,OOS,2025,26,61.53846153846154,49.30769230769231,0.2155890252644745,2.9512937595129376,1282.0
S001,0.95,OOS,2026,10,60.0,57.7,0.17874022501718545,2.3970944309927362,577.0
S001,1.0,IS,2022,28,71.42857142857143,25.714285714285715,0.16697705828832568,3.4,720.0
S001,1.0,IS,2023,27,55.55555555555556,13.148148148148149,0.0801701695463264,1.9293193717277486,355.0
S001,1.0,IS,2024,26,65.38461538461539,53.42307692307692,0.2529482918510183,3.539305301645338,1389.0
S001,1.0,OOS,2025,26,57.692307692307686,50.34615384615385,0.22105666789057807,2.8861671469740635,1309.0
S001,1.0,OOS,2026,10,60.0,54.2,0.16850830123119875,2.3123486682808716,542.0
S002,0.8,IS,2022,65,40.0,-1.0,-0.0061471752634147045,0.9471974004874086,-65.0
S002,0.8,IS,2023,45,55.55555555555556,6.555555555555555,0.04231931596641185,1.5483271375464684,295.0
S002,0.8,IS,2024,42,47.61904761904761,-0.9285714285714286,-0.00023865919743526807,0.9653333333333334,-39.0
S002,0.8,OOS,2025,55,45.45454545454545,2.8,0.014481641328342235,1.1125730994152048,154.0
S002,0.8,OOS,2026,3,33.33333333333333,24.666666666666668,0.06449523973998326,1.5873015873015872,74.0
S002,0.85,IS,2022,85,41.17647058823529,-0.5176470588235295,-0.0017489629137234875,0.9721342621912603,-44.0
S002,0.85,IS,2023,60,43.333333333333336,2.4833333333333334,0.019195683155890923,1.1677927927927927,149.0
S002,0.85,IS,2024,52,44.230769230769226,-5.865384615384615,-0.02296979998688335,0.7922343324250681,-305.0
S002,0.85,OOS,2025,73,46.57534246575342,11.67123287671233,0.04935205730193156,1.5017667844522968,852.0
S002,0.85,OOS,2026,5,60.0,85.2,0.2564665313451843,4.380952380952381,426.0
S002,0.9,IS,2022,97,38.144329896907216,-2.515463917525773,-0.014948264946013446,0.8645948945615982,-244.0
S002,0.9,IS,2023,82,43.90243902439025,2.3902439024390243,0.01617837093624949,1.161051766639277,196.0
S002,0.9,IS,2024,71,47.88732394366197,-3.9295774647887325,-0.01421375814991775,0.849919311457773,-279.0
S002,0.9,OOS,2025,85,47.05882352941176,9.729411764705882,0.04032843824550046,1.4077909270216962,827.0
S002,0.9,OOS,2026,8,50.0,64.125,0.1904477104416361,2.3290155440414506,513.0
S002,0.95,IS,2022,112,40.17857142857143,0.8482142857142857,0.005633909879670912,1.0476668339187154,95.0
S002,0.95,IS,2023,98,45.91836734693878,2.6530612244897958,0.016848740916726338,1.1849217638691323,260.0
S002,0.95,IS,2024,87,48.275862068965516,-1.0,-0.0018020769878204447,0.9592314901593252,-87.0
S002,0.95,OOS,2025,91,46.15384615384615,10.428571428571429,0.04461345209607327,1.438134810710988,949.0
S002,0.95,OOS,2026,12,66.66666666666666,106.75,0.31598595489195347,4.318652849740933,1281.0
S002,1.0,IS,2022,120,40.833333333333336,-0.9083333333333333,-0.0067144717814927885,0.9484389782403028,-109.0
S002,1.0,IS,2023,106,45.28301886792453,3.207547169811321,0.020979006857289633,1.2253147779986746,340.0
S002,1.0,IS,2024,98,47.95918367346938,0.6122448979591837,0.005052686579429428,1.0253057781526782,60.0
S002,1.0,OOS,2025,98,45.91836734693878,10.36734693877551,0.044931306909463266,1.43755383290267,1016.0
S002,1.0,OOS,2026,13,69.23076923076923,130.84615384615384,0.38588297199660604,5.4067357512953365,1701.0
S003,0.8,IS,2022,16,68.75,19.1875,0.11319726680514897,2.7443181818181817,307.0
S003,0.8,IS,2023,5,20.0,-10.0,-0.06513855406999172,0.4791666666666667,-50.0
S003,0.8,IS,2024,17,47.05882352941176,-13.352941176470589,-0.059674021122122355,0.6637037037037037,-227.0
