d,ema20,dn_full,s_thr_09:01,s_B_09:01,dn_09:01,s_thr_09:05,s_B_09:05,dn_09:05,s_thr_09:10,s_B_09:10,dn_09:10,s_thr_09:15,s_B_09:15,dn_09:15,s_thr_09:20,s_B_09:20,dn_09:20,s_thr_09:25,s_B_09:25,dn_09:25,s_thr_09:30,s_B_09:30,dn_09:30,comp_09:01,comp_09:05,comp_09:10,comp_09:15,comp_09:20,comp_09:25,comp_09:30,dn_exc
2025-06-02,271.72161172237895,259.0,0.05703997703611436,0.6708428246013668,67.0,0.11413081146727393,0.6648706896551724,89.0,-0.006890451044999677,0.5357142857142857,89.0,0.0491364762920137,0.6100823045267489,89.0,0.11606454806191027,0.6663316582914572,131.0,0.13248354776336568,0.6805143422354105,152.0,0.13937448604634886,0.7109144542772862,166.0,3.2328625977897407,3.310713575485036,1.608154495954965,2.151835898113636,2.679008492322272,2.6545069678072646,2.7096152810524514,0.9531814505230568
2025-06-03,270.51002965358094,266.0,-0.07176356852896304,-0.6577896138482024,43.0,-0.0704755156560831,-0.5414165666266506,45.0,-0.08877937405745433,-0.5596330275229358,54.0,-0.17636533957151423,-0.5726970033296337,54.0,-0.1534413907961099,-0.4523809523809524,59.0,-0.14040390265416552,-0.391304347826087,59.0,-0.1557919620160399,-0.38923395445134573,59.0,-2.0787797034143978,-1.5151767303253119,-1.7733024067954712,-2.475344283912973,-2.038733345756159,-1.7919441125060702,-1.9773320631931743,0.9833276804584415
2025-06-04,270.0805030199066,73.0,-0.015009436164413418,-0.7077922077922078,49.0,-0.04793211526900815,-0.7193396226415094,64.0,-0.07558070362984179,-0.7211646136618141,64.0,-0.12096175221285359,-0.7222820236813778,64.0,-0.13250068529085654,-0.6994708994708995,64.0,-0.1638771929671897,-0.6980146290491118,64.0,-0.1818787406503205,-0.6598150051387461,64.0,-1.1923247093073912,-1.7063216010467228,-2.0541425134769584,-2.427611451196776,-2.513275483685062,-2.711816681392962,-2.8297735258714054,0.2702897809495691
2025-06-05,270.26331225610596,165.0,0.041987548277284785,-0.10319410319410319,61.0,0.05279794028885391,-0.04640371229698376,61.0,0.013745202260994079,-0.2508361204013378,61.0,0.05127917480174395,-0.3271939328277356,61.0,0.01857539379939115,-0.3599574014909478,61.0,0.0653524352609257,-0.34623430962343094,61.0,0.04852491245250228,-0.3154639175257732,61.0,1.1962650090658815,0.9622580301418826,-0.13538904633571142,-0.1510577373508909,-0.592897340584591,-0.3509800941698002,-0.4715718942600712,0.610515717514937
2025-06-06,260.23823489838156,117.0,0.06746328600277221,-0.021220159151193633,73.0,0.06347698455534583,0.08628841607565012,73.0,0.02272216684882223,-0.09876543209876543,79.0,-0.01858071793565541,-0.2292576419213974,79.0,0.061622191262691195,-0.26008492569002123,79.0,0.012250070835133112,-0.28988529718456724,79.0,0.03692744275268659,-0.2553846153846154,79.0,1.833106870074296,1.3923943089531863,0.31345538304042747,-0.4356089899714578,-0.037824859865427385,-0.5525652757949632,-0.39458320379107703,0.4495880478350402
2025-06-09,246.59649824139285,162.0,-0.02860015829168426,-0.5055487053020962,40.0,0.009596753295652776,-0.3068181818181818,58.0,-0.02029848406917589,-0.1735357917570499,75.0,0.009250675140374311,-0.033862433862433865,90.0,-0.055216491696253575,0.05077720207253886,102.0,0.027513375887032683,0.12804878048780488,102.0,0.062062307667374465,0.23795180722891565,150.0,-0.9692278905491487,-0.11458464977922764,-0.2399570345744001,0.2577461462959741,-0.07898322231816213,0.5929513842248895,1.014812423612941,0.6569436352718135
2025-06-10,238.53968888506972,195.0,0.026638285748640224,-0.2743823146944083,38.0,-0.04447882285296848,-0.25471698113207547,38.0,-0.006592384487595771,-0.3303670745272525,38.0,-0.05211599801248292,-0.4079229122055675,38.0,-0.061607594237125855,-0.41244725738396626,38.0,-0.1562534938553353,-0.5239064089521872,38.0,-0.17374946280888692,-0.5040160642570282,38.0,0.5338662126569226,-0.5552296869359474,-0.5049420730141844,-1.1305877376716675,-1.290542878136554,-2.2264372583436405,-2.3834403185254516,0.8174740266973037
2025-06-11,252.5835280388726,143.0,0.015723134952504356,-0.21800947867298578,55.0,0.03803063638168621,-0.1362126245847176,96.0,0.08315211349417469,-0.12580645161290321,96.0,0.02299371087371859,-0.12896405919661733,103.0,0.058918491641779265,-0.06576200417536535,103.0,0.04495038455353513,-0.0668724279835391,103.0,0.05757829035537904,-0.06402439024390244,103.0,0.47036719994184906,0.5922633217019458,0.7682006126607251,0.12608851444734903,0.4324506506884041,0.21718619381154614,0.22249695916324436,0.5661493491293396
2025-06-12,244.24223965421805,115.0,0.11927692141091108,0.09224598930481283,82.0,0.12459891242669809,0.1873479318734793,106.0,0.05040047517703102,0.10652920962199312,106.0,0.02068518064973978,0.015469613259668509,106.0,-0.014352546422756378,-0.06673842841765339,106.0,-0.019579817636461237,-0.10912906610703044,106.0,-0.02894627009096334,-0.11351909184726522,106.0,3.0064830512125806,2.2742937924836624,1.0534884716375927,0.46604268681189576,-0.08672973824704641,-0.30518481460334995,-0.4613107696688629,0.4708440283007942
2025-06-13,231.93345492524492,205.0,0.014240077468324805,0.7238723872387238,133.0,0.04849019545202864,0.7347368421052631,133.0,-0.04485182650678424,0.6927835051546392,133.0,0.08585614771866473,0.732994923857868,133.0,0.10862962356530678,0.7364185110663984,155.0,0.02688219887386423,0.7048853439680958,155.0,0.00882985078907206,0.6832174776564052,155.0,2.599419586443406,2.791720026454174,1.6646824535589215,2.7328848519543216,2.8030681507652506,2.033956143603615,1.79667134491782,0.8838742132568762
