date,session_open,vwap,day_high,day_low,day_range,or_high,or_low,broke_down,brk_time,brk_close,max_decline,fwd_mfe,EmaHL,vwap_t1,vwap_t2,above_cost,weak_strict,L1,L1_f,L2,L2_f,L3,L3_f,L4,L4_f,L5,L5_f,reach_sw,reach_fwd,warm
2020-12-31,14678.0,14662.51442519685,14712.0,14604.0,108.0,14712.0,14668.0,True,09:08:00,14667.0,108.0,63.0,,,,False,False,,,,,,,,,,,,,False
2021-01-04,14640.0,14802.693061033002,14925.0,14635.0,290.0,14665.0,14635.0,False,,,75.0,,108.0,14662.51442519685,,False,False,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6944444444444444,,False
2021-01-05,14874.0,14900.915973377703,14980.0,14836.0,144.0,14888.0,14855.0,False,,,89.0,,125.33333333333333,14802.693061033002,14662.51442519685,True,False,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7101063829787234,,False
2021-01-06,15048.0,14980.42503885949,15140.0,14764.0,376.0,15072.0,15038.0,False,,,376.0,,127.1111111111111,14900.915973377703,14802.693061033002,True,False,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.9580419580419584,,False
2021-01-07,15050.0,15146.449840098727,15260.0,15024.0,236.0,15090.0,15041.0,False,,,83.0,,150.8148148148148,14980.42503885949,14900.915973377703,True,False,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.550343811394892,,False
2021-01-08,15376.0,15374.679944627538,15473.0,15264.0,209.0,15422.0,15371.0,True,09:00:00,15369.0,158.0,105.0,158.92768959435625,15146.449840098727,14980.42503885949,True,False,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.9941628196022728,0.6606778231534092,False
2021-01-11,15420.0,15449.116763583434,15538.0,15369.0,169.0,15428.0,15383.0,False,,,141.0,,163.6964810615604,15374.679944627538,15146.449840098727,True,False,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8613502201490509,,False
2021-01-12,15517.0,15505.611811584218,15605.0,15407.0,198.0,15548.0,15511.0,False,,,198.0,,164.20157810331656,15449.116763583434,15374.679944627538,True,False,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.205834939512075,,False
2021-01-13,15557.0,15694.186035653374,15790.0,15555.0,235.0,15585.0,15555.0,False,,,59.0,,167.42047542681024,15505.611811584218,15449.116763583434,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35240611908184744,,False
2021-01-14,15705.0,15700.70267204857,15766.0,15632.0,134.0,15706.0,15652.0,False,,,98.0,,173.8566206242569,15694.186035653374,15505.611811584218,True,False,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.563682876430688,,False
2021-01-15,15950.0,15790.008612256384,16002.0,15584.0,418.0,16002.0,15940.0,True,09:02:00,15920.0,418.0,336.0,170.06075199337528,15700.70267204857,15694.186035653374,True,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.457945146663136,1.9757645198057745,False
2021-01-18,15637.0,15527.450489368883,15679.0,15327.0,352.0,15675.0,15625.0,True,09:03:00,15615.0,352.0,288.0,193.6740137082919,15790.008612256384,15700.70267204857,False,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.817486988885229,1.4870348090879146,False
2021-01-19,15714.0,15823.543602204545,15946.0,15710.0,236.0,15746.0,15710.0,False,,,83.0,,208.75267906940695,15527.450489368883,15790.008612256384,False,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39759968767827797,,False
