date,session_open,vwap_t1,vwap_t2,or_low,brk_time,brk_close,day_low,max_decline,fwd_mfe,EmaHL,reach_sw,reach_fwd,L3,L4,L3_f,L4_f
2021-02-01,15156.0,15345.32398407394,15407.060143039693,15147.0,09:02:00,15143.0,15090.0,128.0,53.0,267.48851338296186,0.47852522106900003,0.19813934934888283,0.0,0.0,0.0,0.0
2021-02-19,16301.0,16381.245307863137,16305.01993273978,16288.0,09:00:00,16287.0,16130.0,198.0,157.0,259.1296234537272,0.7640963520921291,0.605874380194264,1.0,0.0,0.0,0.0
2021-02-23,16223.0,16437.02945513944,16241.650104482598,16195.0,09:11:00,16187.0,16182.0,113.0,5.0,250.89749221495586,0.4503831385575887,0.019928457458300384,0.0,0.0,0.0,0.0
2021-03-04,16025.0,16048.912988816703,16090.697630824594,16010.0,09:03:00,16007.0,15756.0,310.0,251.0,270.6574509291756,1.1453591945677468,0.9273714768919499,1.0,1.0,1.0,0.0
2021-03-19,16100.0,16301.906418867735,16260.986520664077,16060.0,09:11:00,16040.0,15953.0,157.0,87.0,223.42622045216424,0.7026928159204745,0.3893902865291801,0.0,0.0,0.0,0.0
2021-03-22,16018.0,16024.510667584309,16301.906418867735,15975.0,09:12:00,15967.0,15911.0,113.0,56.0,217.09991374243432,0.520497673407933,0.25794574965348893,0.0,0.0,0.0,0.0
2021-03-24,16019.0,16186.701705299005,16067.221175438335,16000.0,08:59:00,15992.0,15939.0,123.0,53.0,216.9502695261197,0.566950206001894,0.2442956172203283,0.0,0.0,0.0,0.0
2021-04-08,16715.0,16739.309134899726,16753.606815481653,16708.0,09:12:00,16703.0,16687.0,76.0,16.0,173.97700255920125,0.4368393459022756,0.0919661780846896,0.0,0.0,0.0,0.0
2021-05-03,17501.0,17615.73216698055,17527.637361559366,17476.0,09:05:00,17461.0,17226.0,308.0,235.0,181.50967111102918,1.6968792798461791,1.2946968531293899,1.0,1.0,1.0,1.0
2021-05-04,17271.0,17345.183960291728,17615.73216698055,17266.0,09:09:00,17235.0,16668.0,641.0,567.0,193.556369100455,3.311696757792163,2.929379191369979,1.0,1.0,1.0,1.0
