date,entry,exit,reason,pnl_pts,pnl_pct
2021-02-01,15143.0,15218.0,SL,-77.0,-0.5084857690021792
2021-02-19,16287.0,16313.0,SL,-28.0,-0.17191625222570148
2021-02-23,16187.0,16248.0,SL,-63.0,-0.3892012108482115
2021-03-04,16007.0,16054.0,SL,-49.0,-0.30611607421752984
2021-03-19,16040.0,16012.0,TIME,26.0,0.1620947630922693
2021-03-22,15967.0,16022.0,SL,-57.0,-0.35698628421118556
2021-03-24,15992.0,16035.0,SL,-45.0,-0.2813906953476738
2021-04-08,16703.0,16724.0,SL,-23.0,-0.13769981440459797
2021-05-03,17461.0,17331.94662384006,TP,127.05337615993994,0.7276408920447852
2021-05-04,17235.0,17097.381421569575,TP,135.61857843042526,0.7868789000894997
2021-05-11,16864.0,16969.0,SL,-107.0,-0.6344876660341556
2021-05-12,16358.0,16516.0,SL,-160.0,-0.9781146839466928
2021-05-13,15511.0,15664.0,SL,-155.0,-0.9992908258655148
2021-07-09,17625.0,17698.0,SL,-75.0,-0.425531914893617
2021-07-16,17780.0,17835.0,SL,-57.0,-0.3205849268841395
2021-07-20,17660.0,17707.0,SL,-49.0,-0.27746319365798416
2021-07-27,17270.0,17330.0,SL,-62.0,-0.3590040532715692
2021-07-28,17038.0,16893.054840556644,TP,142.9451594433558,0.8389785153383953
2021-08-09,17268.0,17438.0,SL,-172.0,-0.996062080148251
2021-08-11,17206.0,17256.0,SL,-52.0,-0.30222015575961875
2021-08-20,16273.0,16193.0,TIME,78.0,0.4793215756160511
2021-09-08,17374.0,17216.96896746523,TP,155.03103253477093,0.8923162917852591
2021-09-09,17107.0,17178.0,SL,-73.0,-0.42672590167767577
2021-09-15,17396.0,17382.0,TIME,12.0,0.06898137502874224
2021-09-17,17222.0,17262.0,SL,-42.0,-0.24387411450470328
2021-09-28,17085.0,17170.0,TIME,-87.0,-0.5092186128182616
2021-09-29,16885.0,16823.0,TIME,60.0,0.3553449807521469
2021-10-01,16738.0,16606.813674075773,TP,129.18632592422728,0.7718145891039986
2021-10-05,16161.0,16262.0,SL,-103.0,-0.6373367984654414
2021-10-12,16336.0,16418.0,TIME,-84.0,-0.514201762977473
2021-10-22,16835.0,16885.0,SL,-52.0,-0.3088803088803089
2021-11-11,17413.0,17458.0,SL,-47.0,-0.2699132831792339
2021-11-23,17723.0,17659.0,TIME,62.0,0.3498279072391807
2021-12-06,17553.0,17624.0,SL,-73.0,-0.4158833247877856
2021-12-10,17786.0,17841.0,SL,-57.0,-0.3204767794894861
2021-12-14,17666.0,17605.0,TIME,59.0,0.3339748669761123
2022-01-06,18330.0,18374.0,SL,-46.0,-0.2509547190398254
2022-01-19,18236.0,18284.0,SL,-50.0,-0.2741829348541347
2022-01-20,18123.0,18216.0,SL,-95.0,-0.524195773326712
2022-01-21,18002.0,17874.756401352766,TP,125.24359864723374,0.6957204679881888
2022-01-25,17704.0,17678.0,TIME,24.0,0.13556258472661548
2022-02-14,18050.0,17977.0,TIME,71.0,0.3933518005540166
