trade_date,up_count,down_count,unchanged_count,up_limit_count,down_limit_count,total_value,lu_value,ld_value,tx_open,tx_close,tx_high,tx_low,up_ratio,lu_value_ratio,ld_value_ratio,tx_ret,daily_close_ret,fwd_ret_1d,fwd_min_1d,fwd_ret_5d,fwd_min_5d,fwd_ret_10d,fwd_min_10d,fwd_ret_20d,fwd_min_20d,fwd_worst_daily_5d,fwd_worst_daily_10d,fwd_worst_daily_20d,lu_cnt_ma7,lu_ratio_ma7
2024-01-02,793.0,793.0,209.0,17.0,0.0,332656197794.0,4827630823.0,0.0,17838.0,17798.0,17920.0,17751.0,0.44178272980501393,0.014512372999554178,0.0,-0.002242403856934634,,-0.014158894257781718,-0.016350151702438476,-0.014215080346106301,-0.017249129115630923,-0.02612653107090679,-0.026800764130801236,0.015900662995842252,-0.03590291043937521,,,,,
2024-01-03,385.0,1243.0,161.0,17.0,1.0,338661819246.0,2440817208.0,1551634062.0,17658.0,17546.0,17667.0,17507.0,0.21520402459474566,0.007207240584233143,0.004581662218240525,-0.006342734171480349,-0.014158894257781718,0.0,-0.0011968539838139725,-0.005015388122649012,-0.006098256012766479,-0.021600364755499868,-0.02205630913028611,0.021315399521258493,-0.02205630913028611,,,,,
2024-01-04,512.0,1050.0,223.0,16.0,4.0,318259077626.0,4459372904.0,3882991036.0,17525.0,17546.0,17583.0,17525.0,0.2868347338935574,0.014011769710589062,0.01220072358961296,0.0011982881597717547,0.0,-0.0015388122649037106,-0.003134617576655674,0.001652798358600327,-0.006098256012766479,-0.015160150461643651,-0.02205630913028611,0.02507694061324517,-0.02205630913028611,,,,,
2024-01-05,885.0,646.0,263.0,12.0,2.0,300761506862.0,6483143433.0,1055900095.0,17577.0,17519.0,17626.0,17491.0,0.49331103678929766,0.021555761907971472,0.003510755435483585,-0.0032997667406269556,-0.0015388122649037106,0.004338147154517857,0.00279696329699175,-0.0017124265083623413,-0.004566470688966318,0.009075860494320409,-0.020549118100348207,0.03225069924082424,-0.020549118100348207,,,,,
2024-01-08,634.0,954.0,205.0,14.0,3.0,290462715843.0,2048089327.0,727431259.0,17572.0,17595.0,17706.0,17568.0,0.3535973229224763,0.007051126410685449,0.0025043877211187024,0.0013089005235602095,0.004338147154517857,-0.0028417163967036085,-0.0039215686274509665,-0.002046035805626567,-0.008866155157715272,0.01261722080136396,-0.024779766979255435,0.02790565501562936,-0.024779766979255435,-0.014158894257781718,,,,
2024-01-09,347.0,1308.0,139.0,14.0,3.0,337471199857.0,11082276228.0,1217857747.0,17770.0,17545.0,17782.0,17526.0,0.19342251950947603,0.0328391762991805,0.003608775348877341,-0.012661789532920653,-0.0028417163967036085,-0.0049586776859503745,-0.00604160729552583,-0.01208321459105155,-0.012767170133941241,0.018523795953263145,-0.02200056996295241,0.06394984326018816,-0.02200056996295241,-0.0049586776859503745,,,,
2024-01-10,502.0,1132.0,153.0,20.0,3.0,297503473814.0,10053795091.0,715205466.0,17509.0,17458.0,17521.0,17439.0,0.28091773922775604,0.03379387461299246,0.0024040239155229104,-0.002912787709178137,-0.0049586776859503745,0.006701798602359865,0.0013174475884980552,-0.016668576010997804,-0.017126818650475384,0.025489746820941628,-0.017126818650475384,0.06736166800320764,-0.017126818650475384,-0.0049586776859503745,,,15.714285714285714,0.018710188932172325
2024-01-11,1068.0,550.0,177.0,28.0,1.0,358359339124.0,13536848128.0,361075680.0,17490.0,17575.0,17606.0,17481.0,0.5949860724233983,0.03777450913122697,0.0010075799360570316,0.004859919954259577,0.006701798602359865,-0.00489331436699858,-0.007283072546230396,-0.01678520625889046,-0.023669985775248925,0.0238975817923186,-0.023669985775248925,0.062361308677098215,-0.023669985775248925,-0.0049586776859503745,,,17.285714285714285,0.022033351236697005
2024-01-12,534.0,1058.0,202.0,10.0,1.0,326373095494.0,1437313143.0,2409695086.0,17466.0,17489.0,17570.0,17447.0,0.2976588628762542,0.00440389591802742,0.0073832528454977975,0.0013168441543570364,-0.00489331436699858,0.0040025158671164185,0.0021727943278633255,0.010806792841214552,-0.01886900337354913,0.029161187031848668,-0.01886900337354913,0.07227400080050317,-0.01886900337354913,-0.0049586776859503745,,,16.285714285714285,0.021632873427239047
2024-01-15,1071.0,516.0,210.0,33.0,2.0,325760515704.0,15395558272.0,16974072.0,17580.0,17559.0,17655.0,17527.0,0.5959933222036727,0.047260357010206436,5.21059833274066e-05,-0.0011945392491467576,0.0040025158671164185,-0.012870892419841629,-0.013554302636824445,0.014693319665129101,-0.02278034056609146,0.032234181901019454,-0.02278034056609146,0.06452531465345412,-0.02278034056609146,-0.012870892419841629,-0.014158894257781718,,18.714285714285715,0.026382671612898673
2024-01-16,354.0,1326.0,112.0,18.0,2.0,353390019078.0,8218644681.0,4395404724.0,17480.0,17333.0,17499.0,17321.0,0.19754464285714285,0.023256584049664363,0.012437829272789533,-0.008409610983981693,-0.012870892419841629,-0.009577107252062511,-0.010038654589511364,0.030981365026250485,-0.010038654589511364,0.043154676051462504,-0.010038654589511364,0.08977095713379102,-0.010038654589511364,-0.012870892419841629,-0.012870892419841629,,19.571428571428573,0.026625646204569087
2024-01-17,268.0,1447.0,87.0,5.0,0.0,433109236055.0,1576093254.0,0.0,17313.0,17167.0,17344.0,17159.0,0.14872364039955605,0.0036390201888926096,0.0,-0.008432969444925779,-0.009577107252062511,0.006582396458321149,0.002796062212384154,0.04287295392322488,0.002796062212384154,0.043863225956777496,0.002796062212384154,0.1017067629754762,0.002796062212384154,-0.012870892419841629,-0.012870892419841629,,18.285714285714285,0.026138202458598683
2024-01-18,725.0,839.0,228.0,11.0,1.0,324018862906.0,3154938581.0,864190090.0,17240.0,17280.0,17326.0,17215.0,0.40457589285714285,0.009736897885217468,0.0026670980888254866,0.002320185614849188,0.006582396458321149,0.023032407407407307,0.012962962962963065,0.04137731481481488,0.012962962962963065,0.04085648148148158,0.012962962962963065,0.09739583333333335,0.012962962962963065,-0.012870892419841629,-0.012870892419841629,,17.857142857142858,0.022837876970889678
2024-01-19,1087.0,491.0,215.0,25.0,1.0,481059726458.0,31293956805.0,1372194.0,17541.0,17678.0,17684.0,17504.0,0.6062465142219744,0.06505212364255604,2.852439987240966e-06,0.007810273074511145,0.023032407407407307,0.00786288041633676,0.0039031564656635265,0.0181581626880869,0.0039031564656635265,0.022966398913904396,0.0039031564656635265,0.06725873967643392,0.0039031564656635265,-0.012870892419841629,-0.012870892419841629,,18.571428571428573,0.027303341117970188
