trade_date,limitup_count_ma,limitup_ratio_ma,shrink_flag,shrink_event,tx_fwd_ret_5d,tx_fwd_ret_20d,tx_fwd_min_20d
2024-01-02,,,False,False,-0.014215080346106301,0.015900662995842252,-0.03590291043937521
2024-01-03,,,False,False,-0.005015388122649012,0.021315399521258493,-0.02205630913028611
2024-01-04,,,False,False,0.001652798358600327,0.02507694061324517,-0.02205630913028611
2024-01-05,,,False,False,-0.0017124265083623413,0.03225069924082424,-0.020549118100348207
2024-01-08,,,False,False,-0.002046035805626567,0.02790565501562936,-0.024779766979255435
2024-01-09,,,False,False,-0.01208321459105155,0.06394984326018816,-0.02200056996295241
2024-01-10,15.714285714285714,0.018710188932172325,True,False,-0.016668576010997804,0.06736166800320764,-0.017126818650475384
2024-01-11,17.285714285714285,0.022033351236697005,True,False,-0.01678520625889046,0.062361308677098215,-0.023669985775248925
2024-01-12,16.285714285714285,0.021632873427239047,True,False,0.010806792841214552,0.07227400080050317,-0.01886900337354913
2024-01-15,18.714285714285715,0.026382671612898673,True,False,0.014693319665129101,0.06452531465345412,-0.02278034056609146
2024-01-16,19.571428571428573,0.026625646204569087,False,False,0.030981365026250485,0.08977095713379102,-0.010038654589511364
2024-01-17,18.285714285714285,0.026138202458598683,True,False,0.04287295392322488,0.1017067629754762,0.002796062212384154
2024-01-18,17.857142857142858,0.022837876970889678,True,False,0.04137731481481488,0.09739583333333335,0.012962962962963065
2024-01-19,18.571428571428573,0.027303341117970188,True,False,0.0181581626880869,0.06725873967643392,0.0039031564656635265
2024-01-22,17.857142857142858,0.037139439253852914,False,False,0.01728686086322062,0.06448897120727404,-0.0015154066341135364
2024-01-23,18.571428571428573,0.038974829528512646,False,False,0.011807498601007271,0.06105204252937879,0.0003357582540570725
2024-01-24,17.142857142857142,0.03495431249048027,False,False,0.0009495615260011192,0.078813606658102,-0.0011729877674132583
2024-01-25,16.714285714285715,0.03326205167466353,False,False,-0.0005001389274799095,0.07746596276743545,-0.006279522089469247
2024-01-26,17.857142857142858,0.03306111731161403,False,False,0.004722484582476705,0.08389354964164686,-0.006500361131173915
2024-01-29,19.714285714285715,0.038592514862959705,False,False,-0.002151724137931077,0.08739310344827578,-0.013406896551724112
2024-01-30,19.0,0.03854971167128842,False,False,0.032409711852220635,0.09457441513190634,-0.01100602842763121
2024-01-31,20.428571428571427,0.02999135065744132,False,False,0.039843749999999956,0.10016741071428581,-0.0021205357142857206
2024-02-01,21.428571428571427,0.036513412378380794,False,False,0.03808517736016892,0.10947403536083611,-0.0015567663738462745
2024-02-02,22.0,0.04139215735714647,False,False,0.03699402786994033,0.10191329351913292,-0.006967485069674817
2024-02-05,22.0,0.043967951242693405,False,False,0.03350657967488657,0.1024549375207342,0.024604666592944913
2024-02-15,27.428571428571427,0.06040057245684049,False,False,0.01189264477420049,0.056945411689077075,-0.0038035035088659352
2024-02-16,31.571428571428573,0.06479198700197994,False,False,0.014972630675110121,0.06895996565418061,-0.002039283031018524
2024-02-19,35.57142857142857,0.059513142311549354,False,False,0.015639226608108903,0.06405655829896628,-0.004016924642493702
2024-02-20,37.0,0.05774959230203386,False,False,0.006079027355623046,0.05300485255692422,-0.003946035301018558
2024-02-21,40.285714285714285,0.059883676295557006,False,False,0.014658677509094886,0.08410014979670444,0.0031029317355018016
2024-02-22,40.857142857142854,0.05919064010766057,False,False,0.003811742283868824,0.07162899041770343,-0.007358780242469165
2024-02-23,43.142857142857146,0.05910021146332318,False,False,0.021202347591603665,0.0696875165230264,-0.008618410617035943
2024-02-26,41.857142857142854,0.04899107741029374,False,False,0.022464799873437746,0.06454674893213097,-0.011232399936718873
2024-02-27,36.142857142857146,0.04028748079925894,False,False,0.03402766735570051,0.07388562039539948,-0.003286161021890055
2024-02-29,35.0,0.052698977814415564,False,False,0.039175366445217685,0.06522197616787939,-0.0022144890857324073
