pct,consec,skip_n,split,logic,ma,n_events,n_avoided,base_total,def_total,delta_total,base_dd,def_dd,base_sharpe,def_sharpe,avoided_total,avoided_avg,recall_full,caught_full,recall_oos,caught_oos
0.1,5,60,Full,RATIO,7,49,354,-4277.0,-1604.0,2673.0,-9522.0,-6849.0,-0.5,-0.28,-2673.0,-0.054,0.3888888888888889,7/18,,
0.1,5,60,IS,RATIO,7,49,292,-5926.0,-2706.0,3220.0,-6992.0,-3772.0,-1.07,-0.79,-3220.0,-0.074,,,,
0.1,5,60,OOS,RATIO,7,49,62,1649.0,1102.0,-547.0,-5333.0,-5333.0,0.14,0.05,547.0,0.043,,,0.0,0/9
0.15,3,10,Full,RATIO,7,127,314,-4277.0,1598.0,5875.0,-9522.0,-4518.0,-0.5,0.02,-5875.0,-0.106,0.5555555555555556,10/18,,
0.15,3,10,IS,RATIO,7,127,212,-5926.0,-3276.0,2650.0,-6992.0,-4518.0,-1.07,-0.8,-2650.0,-0.083,,,,
0.15,3,10,OOS,RATIO,7,127,102,1649.0,4874.0,3225.0,-5333.0,-2387.0,0.14,0.9,-3225.0,-0.154,,,0.5555555555555556,5/9
0.15,3,20,Full,RATIO,7,127,503,-4277.0,918.0,5195.0,-9522.0,-4904.0,-0.5,-0.09,-5195.0,-0.058,0.5555555555555556,10/18,,
0.15,3,20,IS,RATIO,7,127,327,-5926.0,-3816.0,2110.0,-6992.0,-4904.0,-1.07,-1.17,-2110.0,-0.044,,,,
0.15,3,20,OOS,RATIO,7,127,176,1649.0,4734.0,3085.0,-5333.0,-2345.0,0.14,0.99,-3085.0,-0.084,,,0.5555555555555556,5/9
0.15,3,30,Full,RATIO,7,127,646,-4277.0,532.0,4809.0,-9522.0,-3921.0,-0.5,-0.11,-4809.0,-0.044,0.5555555555555556,10/18,,
0.15,3,30,IS,RATIO,7,127,411,-5926.0,-2816.0,3110.0,-6992.0,-3921.0,-1.07,-1.02,-3110.0,-0.05,,,,
0.15,3,30,OOS,RATIO,7,127,235,1649.0,3348.0,1699.0,-5333.0,-2814.0,0.14,0.75,-1699.0,-0.035,,,0.5555555555555556,5/9
0.15,3,40,Full,RATIO,7,127,749,-4277.0,2230.0,6507.0,-9522.0,-2501.0,-0.5,0.22,-6507.0,-0.051,0.5555555555555556,10/18,,
0.15,3,40,IS,RATIO,7,127,476,-5926.0,-1365.0,4561.0,-6992.0,-2501.0,-1.07,-0.56,-4561.0,-0.062,,,,
0.15,3,40,OOS,RATIO,7,127,273,1649.0,3595.0,1946.0,-5333.0,-2345.0,0.14,0.9,-1946.0,-0.033,,,0.5555555555555556,5/9
0.15,3,50,Full,RATIO,7,127,829,-4277.0,2514.0,6791.0,-9522.0,-2345.0,-0.5,0.34,-6791.0,-0.048,0.6666666666666666,12/18,,
0.15,3,50,IS,RATIO,7,127,526,-5926.0,-951.0,4975.0,-6992.0,-2101.0,-1.07,-0.53,-4975.0,-0.06,,,,
0.15,3,50,OOS,RATIO,7,127,303,1649.0,3465.0,1816.0,-5333.0,-2345.0,0.14,0.94,-1816.0,-0.028,,,0.5555555555555556,5/9
0.15,3,60,Full,RATIO,7,127,902,-4277.0,2657.0,6934.0,-9522.0,-2345.0,-0.5,0.41,-6934.0,-0.045,0.6666666666666666,12/18,,
0.15,3,60,IS,RATIO,7,127,569,-5926.0,-656.0,5270.0,-6992.0,-1838.0,-1.07,-0.45,-5270.0,-0.058,,,,
0.15,3,60,OOS,RATIO,7,127,333,1649.0,3313.0,1664.0,-5333.0,-2345.0,0.14,0.95,-1664.0,-0.022,,,0.5555555555555556,5/9
0.15,5,10,Full,RATIO,7,86,208,-4277.0,-246.0,4031.0,-9522.0,-5215.0,-0.5,-0.15,-4031.0,-0.117,0.2777777777777778,5/18,,
0.15,5,10,IS,RATIO,7,86,157,-5926.0,-3693.0,2233.0,-6992.0,-4801.0,-1.07,-0.79,-2233.0,-0.101,,,,
0.15,5,10,OOS,RATIO,7,86,51,1649.0,3447.0,1798.0,-5333.0,-3596.0,0.14,0.44,-1798.0,-0.165,,,0.1111111111111111,1/9
0.15,5,20,Full,RATIO,7,86,337,-4277.0,-648.0,3629.0,-9522.0,-5459.0,-0.5,-0.21,-3629.0,-0.066,0.4444444444444444,8/18,,
0.15,5,20,IS,RATIO,7,86,246,-5926.0,-3999.0,1927.0,-6992.0,-5065.0,-1.07,-1.01,-1927.0,-0.058,,,,
0.15,5,20,OOS,RATIO,7,86,91,1649.0,3351.0,1702.0,-5333.0,-3481.0,0.14,0.49,-1702.0,-0.089,,,0.3333333333333333,3/9
0.15,5,30,Full,RATIO,7,86,449,-4277.0,-1034.0,3243.0,-9522.0,-5190.0,-0.5,-0.24,-3243.0,-0.05,0.4444444444444444,8/18,,
0.15,5,30,IS,RATIO,7,86,318,-5926.0,-2875.0,3051.0,-6992.0,-3890.0,-1.07,-0.82,-3051.0,-0.065,,,,
0.15,5,30,OOS,RATIO,7,86,131,1649.0,1841.0,192.0,-5333.0,-4094.0,0.14,0.24,-192.0,-0.011,,,0.3333333333333333,3/9
0.15,5,40,Full,RATIO,7,86,540,-4277.0,-1142.0,3135.0,-9522.0,-5250.0,-0.5,-0.26,-3135.0,-0.041,0.4444444444444444,8/18,,
0.15,5,40,IS,RATIO,7,86,378,-5926.0,-2146.0,3780.0,-6992.0,-3161.0,-1.07,-0.69,-3780.0,-0.066,,,,
0.15,5,40,OOS,RATIO,7,86,162,1649.0,1004.0,-645.0,-5333.0,-4500.0,0.14,0.07,645.0,0.017,,,0.3333333333333333,3/9
0.15,5,50,Full,RATIO,7,86,621,-4277.0,-177.0,4100.0,-9522.0,-4372.0,-0.5,-0.13,-4100.0,-0.045,0.5555555555555556,10/18,,
0.15,5,50,IS,RATIO,7,86,429,-5926.0,-1205.0,4721.0,-6992.0,-2220.0,-1.07,-0.48,-4721.0,-0.071,,,,
0.15,5,50,OOS,RATIO,7,86,192,1649.0,1028.0,-621.0,-5333.0,-4372.0,0.14,0.08,621.0,0.013,,,0.3333333333333333,3/9
0.15,5,60,Full,RATIO,7,86,696,-4277.0,-186.0,4091.0,-9522.0,-4294.0,-0.5,-0.15,-4091.0,-0.04,0.5555555555555556,10/18,,
0.15,5,60,IS,RATIO,7,86,479,-5926.0,-1142.0,4784.0,-6992.0,-2182.0,-1.07,-0.51,-4784.0,-0.065,,,,
0.15,5,60,OOS,RATIO,7,86,217,1649.0,956.0,-693.0,-5333.0,-3924.0,0.14,0.06,693.0,0.014,,,0.3333333333333333,3/9
0.2,3,10,Full,RATIO,7,172,420,-4277.0,2142.0,6419.0,-9522.0,-3695.0,-0.5,0.11,-6419.0,-0.088,0.5555555555555556,10/18,,
0.2,3,10,IS,RATIO,7,172,306,-5926.0,-2576.0,3350.0,-6992.0,-3695.0,-1.07,-0.71,-3350.0,-0.072,,,,
0.2,3,10,OOS,RATIO,7,172,114,1649.0,4718.0,3069.0,-5333.0,-2345.0,0.14,0.88,-3069.0,-0.131,,,0.5555555555555556,5/9
0.2,3,20,Full,RATIO,7,172,630,-4277.0,1072.0,5349.0,-9522.0,-3362.0,-0.5,-0.0,-5349.0,-0.051,0.5555555555555556,10/18,,
0.2,3,20,IS,RATIO,7,172,442,-5926.0,-2461.0,3465.0,-6992.0,-3362.0,-1.07,-0.93,-3465.0,-0.052,,,,
0.2,3,20,OOS,RATIO,7,172,188,1649.0,3533.0,1884.0,-5333.0,-2745.0,0.14,0.73,-1884.0,-0.05,,,0.5555555555555556,5/9
0.2,3,30,Full,RATIO,7,172,754,-4277.0,1520.0,5797.0,-9522.0,-3198.0,-0.5,0.05,-5797.0,-0.045,0.5555555555555556,10/18,,
0.2,3,30,IS,RATIO,7,172,515,-5926.0,-2363.0,3563.0,-6992.0,-3198.0,-1.07,-1.12,-3563.0,-0.045,,,,
0.2,3,30,OOS,RATIO,7,172,239,1649.0,3883.0,2234.0,-5333.0,-2492.0,0.14,0.91,-2234.0,-0.044,,,0.5555555555555556,5/9
0.2,3,40,Full,RATIO,7,172,832,-4277.0,2072.0,6349.0,-9522.0,-2429.0,-0.5,0.21,-6349.0,-0.045,0.5555555555555556,10/18,,
0.2,3,40,IS,RATIO,7,172,555,-5926.0,-1591.0,4335.0,-6992.0,-2426.0,-1.07,-0.85,-4335.0,-0.051,,,,
0.2,3,40,OOS,RATIO,7,172,277,1649.0,3663.0,2014.0,-5333.0,-2345.0,0.14,0.93,-2014.0,-0.034,,,0.5555555555555556,5/9
0.2,3,50,Full,RATIO,7,172,892,-4277.0,2653.0,6930.0,-9522.0,-2345.0,-0.5,0.39,-6930.0,-0.045,0.6666666666666666,12/18,,
0.2,3,50,IS,RATIO,7,172,585,-5926.0,-1148.0,4778.0,-6992.0,-1983.0,-1.07,-0.85,-4778.0,-0.052,,,,
0.2,3,50,OOS,RATIO,7,172,307,1649.0,3801.0,2152.0,-5333.0,-2345.0,0.14,1.06,-2152.0,-0.033,,,0.5555555555555556,5/9
0.2,3,60,Full,RATIO,7,172,952,-4277.0,2093.0,6370.0,-9522.0,-2396.0,-0.5,0.3,-6370.0,-0.04,0.6666666666666666,12/18,,
0.2,3,60,IS,RATIO,7,172,615,-5926.0,-1086.0,4840.0,-6992.0,-1921.0,-1.07,-0.98,-4840.0,-0.05,,,,
0.2,3,60,OOS,RATIO,7,172,337,1649.0,3179.0,1530.0,-5333.0,-2345.0,0.14,0.93,-1530.0,-0.021,,,0.5555555555555556,5/9
0.2,5,10,Full,RATIO,7,116,266,-4277.0,-1103.0,3174.0,-9522.0,-5364.0,-0.5,-0.23,-3174.0,-0.076,0.2777777777777778,5/18,,
0.2,5,10,IS,RATIO,7,116,190,-5926.0,-3570.0,2356.0,-6992.0,-4720.0,-1.07,-0.82,-2356.0,-0.085,,,,
0.2,5,10,OOS,RATIO,7,116,76,1649.0,2467.0,818.0,-5333.0,-3826.0,0.14,0.3,-818.0,-0.052,,,0.1111111111111111,1/9
0.2,5,20,Full,RATIO,7,116,425,-4277.0,-1953.0,2324.0,-9522.0,-6061.0,-0.5,-0.36,-2324.0,-0.039,0.4444444444444444,8/18,,
0.2,5,20,IS,RATIO,7,116,289,-5926.0,-3762.0,2164.0,-6992.0,-4852.0,-1.07,-1.04,-2164.0,-0.053,,,,
0.2,5,20,OOS,RATIO,7,116,136,1649.0,1809.0,160.0,-5333.0,-4320.0,0.14,0.24,-160.0,-0.01,,,0.3333333333333333,3/9
0.2,5,30,Full,RATIO,7,116,556,-4277.0,-557.0,3720.0,-9522.0,-4665.0,-0.5,-0.22,-3720.0,-0.044,0.4444444444444444,8/18,,
0.2,5,30,IS,RATIO,7,116,369,-5926.0,-2661.0,3265.0,-6992.0,-3768.0,-1.07,-0.86,-3265.0,-0.059,,,,
0.2,5,30,OOS,RATIO,7,116,187,1649.0,2104.0,455.0,-5333.0,-3783.0,0.14,0.32,-455.0,-0.013,,,0.3333333333333333,3/9
0.2,5,40,Full,RATIO,7,116,658,-4277.0,-780.0,3497.0,-9522.0,-4888.0,-0.5,-0.24,-3497.0,-0.037,0.4444444444444444,8/18,,
0.2,5,40,IS,RATIO,7,116,431,-5926.0,-1455.0,4471.0,-6992.0,-2593.0,-1.07,-0.53,-4471.0,-0.067,,,,
0.2,5,40,OOS,RATIO,7,116,227,1649.0,675.0,-974.0,-5333.0,-4829.0,0.14,-0.01,974.0,0.02,,,0.3333333333333333,3/9
0.2,5,50,Full,RATIO,7,116,748,-4277.0,329.0,4606.0,-9522.0,-3880.0,-0.5,-0.1,-4606.0,-0.04,0.5555555555555556,10/18,,
0.2,5,50,IS,RATIO,7,116,481,-5926.0,-1191.0,4735.0,-6992.0,-2273.0,-1.07,-0.59,-4735.0,-0.063,,,,
0.2,5,50,OOS,RATIO,7,116,267,1649.0,1520.0,-129.0,-5333.0,-3880.0,0.14,0.21,129.0,0.002,,,0.3333333333333333,3/9
0.2,5,60,Full,RATIO,7,116,833,-4277.0,-302.0,3975.0,-9522.0,-4410.0,-0.5,-0.25,-3975.0,-0.031,0.5555555555555556,10/18,,
0.2,5,60,IS,RATIO,7,116,531,-5926.0,-1430.0,4496.0,-6992.0,-2614.0,-1.07,-0.86,-4496.0,-0.054,,,,
0.2,5,60,OOS,RATIO,7,116,302,1649.0,1128.0,-521.0,-5333.0,-3752.0,0.14,0.1,521.0,0.008,,,0.3333333333333333,3/9
