trade_date,exit_date,is_lc_hv,entry_adj,exit_adj,pnl_pts,ret_pct
2024-01-02,2024-01-16,False,18319.0,17854.0,-471.0,-2.5711010426333316
2024-01-16,2024-01-30,False,17854.0,18511.0,651.0,3.646241738545984
2024-01-30,2024-02-22,True,18511.0,19317.0,800.0,4.321754632380746
2024-02-22,2024-03-08,False,19317.0,20219.0,896.0,4.638401408086142
2024-03-08,2024-03-22,False,20219.0,20375.0,150.0,0.7418764528413868
2024-03-22,2024-04-09,False,20375.0,21007.0,626.0,3.07239263803681
2024-04-09,2024-04-23,False,21007.0,19815.0,-1198.0,-5.702860951111535
2024-04-23,2024-05-08,False,19815.0,20863.0,1042.0,5.258642442593994
2024-05-08,2024-05-22,False,20863.0,21403.0,534.0,2.559555193404592
2024-05-22,2024-06-05,False,21403.0,21283.0,-126.0,-0.5887025183385507
2024-06-05,2024-06-20,False,21283.0,23271.0,1982.0,9.312596908330592
2024-06-20,2024-07-04,False,23271.0,23517.0,240.0,1.0313265437669201
2024-07-04,2024-07-18,False,23517.0,23636.0,113.0,0.4805034655780924
2024-07-18,2024-08-05,False,23636.0,19627.0,-4015.0,-16.986799796919954
2024-08-05,2024-08-19,False,19627.0,22614.0,2981.0,15.188261068935649
2024-08-19,2024-09-02,False,22614.0,22408.0,-212.0,-0.9374723622534713
2024-09-02,2024-09-16,False,22408.0,21994.0,-420.0,-1.8743305962156374
2024-09-16,2024-10-01,False,21994.0,22410.0,410.0,1.8641447667545694
2024-10-01,2024-10-18,False,22410.0,23673.0,1257.0,5.609103078982597
2024-10-18,2024-11-04,False,23673.0,23057.0,-622.0,-2.6274658894098764
2024-11-04,2024-11-18,False,23057.0,22590.0,-473.0,-2.051437741249946
2024-11-18,2024-12-02,False,22590.0,22846.0,250.0,1.1066843736166445
2024-12-02,2024-12-16,False,22846.0,22980.0,128.0,0.5602731331524118
2024-12-16,2024-12-31,False,22980.0,23407.0,421.0,1.8320278503046128
2024-12-31,2025-01-15,False,23407.0,22882.0,-531.0,-2.268552142521468
2025-01-15,2025-02-07,False,22882.0,23801.0,913.0,3.990035836028319
2025-02-07,2025-02-21,False,23801.0,24117.0,310.0,1.3024662829292888
2025-02-21,2025-03-10,True,24117.0,22818.0,-1305.0,-5.411120786167434
2025-03-10,2025-03-24,False,22818.0,22539.0,-285.0,-1.2490139363660269
2025-03-24,2025-04-09,True,22539.0,17583.0,-4962.0,-22.01517369892187
2025-04-09,2025-04-23,False,17583.0,19933.0,2344.0,13.331058408690213
2025-04-23,2025-05-08,False,19933.0,20954.0,1015.0,5.092058395625345
2025-05-08,2025-05-22,False,20954.0,21882.0,922.0,4.40011453660399
2025-05-22,2025-06-06,True,21882.0,21957.0,69.0,0.31532766657526734
2025-06-06,2025-06-20,False,21957.0,22027.0,64.0,0.2914787994716947
2025-06-20,2025-07-04,False,22027.0,22809.0,776.0,3.5229491079130155
2025-07-04,2025-07-18,False,22809.0,23632.0,817.0,3.581919417773686
2025-07-18,2025-08-01,False,23632.0,23714.0,76.0,0.3215978334461747
2025-08-01,2025-08-15,False,23714.0,24682.0,962.0,4.056675381631104
2025-08-15,2025-08-29,False,24682.0,24636.0,-52.0,-0.21067984766226397
2025-08-29,2025-09-12,False,24636.0,25828.0,1186.0,4.814093196947557
2025-09-12,2025-09-26,False,25828.0,26040.0,206.0,0.7975840173455164
2025-09-26,2025-10-15,False,26040.0,27653.0,1607.0,6.171274961597542
2025-10-15,2025-10-30,False,27653.0,28763.0,1104.0,3.9923335623621306
2025-10-30,2025-11-13,False,28763.0,28345.0,-424.0,-1.474116051872197
2025-11-13,2025-11-27,False,28345.0,27940.0,-411.0,-1.4499911801023109
2025-11-27,2025-12-11,False,27940.0,28467.0,521.0,1.8647100930565497
2025-12-11,2025-12-26,False,28467.0,29027.0,554.0,1.9461130431727967
2025-12-26,2026-01-12,False,29027.0,31055.0,2022.0,6.965928273676232
2026-01-12,2026-01-26,False,31055.0,32491.0,1430.0,4.604733537272581
2026-01-26,2026-02-09,False,32491.0,32998.0,501.0,1.5419654673601921
2026-02-09,2026-03-05,False,32998.0,33640.0,636.0,1.9273895387599247
2026-03-05,2026-03-19,False,33640.0,33551.0,-95.0,-0.28240190249702735
2026-03-19,2026-04-02,False,33551.0,32485.0,-1072.0,-3.1951357634645765
2026-04-02,2026-04-20,False,32485.0,37254.0,4763.0,14.662151762351854
