trade_date,exit_date,is_lc_hv,entry_adj,exit_adj,pnl_pts,ret_pct
2024-01-02,2024-02-22,False,18319.0,19317.0,992.0,5.415142747966592
2024-02-22,2024-04-09,False,19317.0,21007.0,1684.0,8.717709789304758
2024-04-09,2024-05-22,False,21007.0,21403.0,390.0,1.8565240158042557
2024-05-22,2024-07-04,False,21403.0,23517.0,2108.0,9.849086576648133
2024-07-04,2024-08-19,False,23517.0,22614.0,-909.0,-3.8652889399158057
2024-08-19,2024-10-01,False,22614.0,22410.0,-210.0,-0.9286282833642877
2024-10-01,2024-11-18,False,22410.0,22590.0,174.0,0.7764390896921017
2024-11-18,2024-12-31,False,22590.0,23407.0,811.0,3.590084108012395
2024-12-31,2025-02-21,False,23407.0,24117.0,704.0,3.0076472850002136
2025-02-25,2025-04-11,False,23671.0,19903.0,-3774.0,-15.943559629926915
2025-04-11,2025-05-26,False,19903.0,21764.0,1855.0,9.320202984474703
2025-05-26,2025-07-08,False,21764.0,22625.0,855.0,3.928505789376953
2025-07-08,2025-08-19,False,22625.0,24712.0,2081.0,9.197790055248618
2025-08-19,2025-10-01,False,24712.0,26416.0,1698.0,6.871155713823243
2025-10-07,2025-11-20,False,27693.0,27839.0,140.0,0.505542916982631
2025-11-21,2026-01-06,False,26843.0,30971.0,4122.0,15.355958722944528
2026-01-06,2026-02-26,False,30971.0,35605.0,4628.0,14.943011204029577
2026-02-26,2026-04-14,False,35605.0,36379.0,768.0,2.157000421289145
