trade_date,exit_date,is_lc_hv,entry_adj,exit_adj,pnl_pts,ret_pct
2024-01-02,2024-02-22,False,18319.0,19317.0,992.0,5.415142747966592
2024-01-03,2024-02-23,False,18067.0,19341.0,1268.0,7.018320695190125
2024-01-04,2024-02-26,False,18067.0,19391.0,1318.0,7.295068356672386
2024-01-05,2024-02-27,False,18040.0,19295.0,1249.0,6.92350332594235
2024-01-08,2024-02-29,False,18116.0,19394.0,1272.0,7.0214175314639
2024-01-09,2024-03-01,False,18066.0,19389.0,1317.0,7.289936898040518
2024-01-10,2024-03-04,False,17979.0,19742.0,1757.0,9.772512375549251
2024-01-11,2024-03-05,False,18096.0,19817.0,1715.0,9.477232537577365
2024-01-12,2024-03-06,False,18010.0,19937.0,1921.0,10.666296501943364
2024-01-15,2024-03-07,False,18080.0,20137.0,2051.0,11.344026548672566
2024-01-16,2024-03-08,False,17854.0,20219.0,2359.0,13.212725439677383
2024-01-17,2024-03-11,False,17688.0,20143.0,2449.0,13.845545002261419
2024-01-18,2024-03-12,False,17710.0,20383.0,2667.0,15.059288537549406
2024-01-19,2024-03-13,False,18108.0,20355.0,2241.0,12.375745526838966
2024-01-22,2024-03-14,True,18247.0,20367.0,2114.0,11.5854661040171
2024-01-23,2024-03-15,False,18300.0,20158.0,1852.0,10.120218579234972
2024-01-24,2024-03-18,False,18333.0,20347.0,2008.0,10.952926416843942
2024-01-25,2024-03-19,False,18425.0,20295.0,1864.0,10.116689280868385
2024-01-26,2024-03-20,False,18429.0,20175.0,1740.0,9.441640892072277
2024-01-29,2024-03-21,True,18555.0,20397.0,1836.0,9.894907033144705
2024-01-30,2024-03-22,True,18511.0,20375.0,1858.0,10.037275133704284
2024-01-31,2024-03-25,False,18350.0,20364.0,2008.0,10.942779291553133
2024-02-01,2024-03-26,True,18416.0,20320.0,1898.0,10.306255430060816
2024-02-02,2024-03-27,False,18514.0,20394.0,1874.0,10.122069785027547
2024-02-05,2024-03-28,False,18516.0,20336.0,1814.0,9.796932382804062
2024-02-15,2024-03-29,False,19097.0,20413.0,1310.0,6.8597161857883435
2024-02-16,2024-04-01,False,19064.0,20421.0,1351.0,7.086655476290391
2024-02-19,2024-04-02,False,19101.0,20656.0,1549.0,8.10952306161981
2024-02-20,2024-04-03,False,19183.0,20482.0,1293.0,6.740343012041912
2024-02-21,2024-04-08,False,19120.0,20583.0,1457.0,7.620292887029288
2024-02-22,2024-04-09,False,19317.0,21007.0,1684.0,8.717709789304758
2024-02-23,2024-04-10,False,19341.0,20984.0,1637.0,8.463885011116282
2024-02-26,2024-04-11,False,19391.0,20886.0,1489.0,7.678820071167037
2024-02-27,2024-04-12,False,19295.0,20888.0,1587.0,8.22492873801503
2024-02-29,2024-04-15,False,19394.0,20641.0,1241.0,6.398886253480458
2024-03-01,2024-04-16,False,19389.0,20086.0,691.0,3.563876424776936
2024-03-04,2024-04-17,False,19742.0,20323.0,575.0,2.912572181136663
2024-03-05,2024-04-18,False,19817.0,20496.0,673.0,3.3960740778119796
2024-03-06,2024-04-19,False,19937.0,19684.0,-259.0,-1.2990921402417617
