date,ev_k,first_of_day,pre_range,comp_ratio,entry_idx,entry_min,entry_price,climax_idx,climax_min,climax_high,climax_vol,climax_vr,leg_low,leg_drop,fwd15_pt,fwd15_pct,fwd15_null_mean_pt,fwd15_excess_pt,fwd15_pctile,fwd30_pt,fwd30_pct,fwd30_null_mean_pt,fwd30_excess_pt,fwd30_pctile,fwd60_pt,fwd60_pct,fwd60_null_mean_pt,fwd60_excess_pt,fwd60_pctile,fwd_close_pt,fwd_close_pct
2020-12-31,0,True,56.0,0.5185185185185185,46,09:31,14666.0,40,09:25,14657.0,5888.0,3.0457911005678957,14623.0,89.0,17.0,0.1159143597436247,-0.9545454545454546,17.954545454545453,89.5104895104895,16.0,0.10909586799399973,-1.3173431734317342,17.317343173431734,79.70479704797047,8.0,0.054547933996999864,-2.3651452282157677,10.365145228215768,63.48547717842323,12.0,0.0818219009954998
2020-12-31,1,False,82.0,0.7592592592592593,102,10:27,14661.0,99,10:24,14660.0,1068.0,2.94236195082628,14648.0,39.0,-28.0,-0.19098287974899392,-0.9545454545454546,-27.045454545454547,6.643356643356643,-34.0,-0.23190778255234978,-1.3173431734317342,-32.68265682656826,9.22509225092251,-10.0,-0.06820817133892641,-2.3651452282157677,-7.634854771784232,33.60995850622407,17.0,0.11595389127617489
2020-12-31,2,False,27.0,0.25,228,12:33,14656.0,215,12:20,14655.0,932.0,2.720277984611566,14637.0,38.0,16.0,0.10917030567685589,-0.9545454545454546,16.954545454545453,85.66433566433567,8.0,0.05458515283842794,-1.3173431734317342,9.317343173431734,61.62361623616236,18.0,0.12281659388646289,-2.3651452282157677,20.365145228215766,77.59336099585063,22.0,0.15010917030567686
2021-01-05,0,True,63.0,0.4375,146,11:11,14917.0,136,11:01,14914.0,1058.0,2.576499388004896,14897.0,44.0,14.0,0.09385265133740028,5.06993006993007,8.93006993006993,62.58741258741259,8.0,0.05363008647851445,7.937269372693727,0.06273062730627288,43.542435424354245,-13.0,-0.08714889052758597,12.995850622406639,-25.99585062240664,17.012448132780083,60.0,0.4022256485888584
2021-01-06,0,True,,,28,09:13,15078.0,15,09:00,15075.0,4040.0,3.284996133023975,15041.0,35.0,21.0,0.1392757660167131,-6.86013986013986,27.86013986013986,70.62937062937063,-55.0,-0.3647698633771057,-15.435424354243542,-39.564575645756456,30.996309963099634,-20.0,-0.13264358668258389,-33.344398340248965,13.344398340248965,49.79253112033195,-167.0,-1.1075739487995757
2021-01-06,1,False,163.0,0.43351063829787234,217,12:22,14923.0,187,11:52,14915.0,5458.0,3.315303132747352,14764.0,208.0,24.0,0.16082557126583127,-6.86013986013986,30.86013986013986,74.47552447552448,26.0,0.17422770220465053,-15.435424354243542,41.435424354243544,67.15867158671587,-37.0,-0.24793942236815653,-33.344398340248965,-3.655601659751035,36.51452282157676,-12.0,-0.08041278563291564
2021-01-07,0,True,94.0,0.3983050847457627,192,11:57,15198.0,191,11:56,15194.0,1538.0,2.5941971904949455,15178.0,66.0,4.0,0.02631925253322806,7.458041958041958,-3.4580419580419584,39.16083916083916,20.0,0.13159626266614027,16.870848708487085,3.1291512915129154,51.291512915129154,22.0,0.14475588893275432,38.6597510373444,-16.6597510373444,33.19502074688796,32.0,0.21055402026582448
2021-01-08,0,True,94.0,0.44976076555023925,85,10:10,15327.0,70,09:55,15326.0,4268.0,2.640176600441501,15264.0,130.0,34.0,0.22183075618190123,2.6223776223776225,31.377622377622377,78.32167832167832,31.0,0.2022574541658511,8.896678966789668,22.10332103321033,60.88560885608856,3.0,0.019573302016050106,18.937759336099585,-15.937759336099585,32.365145228215766,127.0,0.8286031186794546
2021-01-08,1,False,103.0,0.49282296650717705,235,12:40,15410.0,223,12:28,15408.0,3354.0,2.907829274679236,15365.0,98.0,18.0,0.11680726800778714,2.6223776223776225,15.377622377622377,62.58741258741259,25.0,0.16223231667748217,8.896678966789668,16.10332103321033,55.35055350553506,41.0,0.26606099935107075,18.937759336099585,22.062240663900415,72.19917012448133,44.0,0.2855288773523686
2021-01-11,0,True,35.0,0.20710059171597633,168,11:33,15445.0,162,11:27,15440.0,1440.0,3.397216518366416,15423.0,49.0,-14.0,-0.09064422143088378,6.244755244755245,-20.244755244755247,22.02797202797203,1.0,0.006474587245063127,11.173431734317344,-10.173431734317344,46.86346863468634,-36.0,-0.23308514082227258,9.651452282157676,-45.65145228215768,12.863070539419086,89.0,0.5762382648106184
2021-01-11,1,False,50.0,0.2958579881656805,187,11:52,15439.0,183,11:48,15432.0,1064.0,2.6133333333333333,15418.0,44.0,5.0,0.03238551719670963,6.244755244755245,-1.244755244755245,47.2027972027972,-12.0,-0.07772524127210312,11.173431734317344,-23.173431734317344,32.47232472324723,-28.0,-0.18135889630157392,9.651452282157676,-37.65145228215768,17.842323651452283,95.0,0.615324826737483
2021-01-11,2,False,40.0,0.23668639053254437,234,12:39,15426.0,222,12:27,15424.0,1524.0,2.5118413262285375,15389.0,65.0,-12.0,-0.07779074290159471,6.244755244755245,-18.244755244755247,24.125874125874127,48.0,0.31116297160637885,11.173431734317344,36.82656826568265,74.53874538745387,105.0,0.6806690003889537,9.651452282157676,95.34854771784232,91.70124481327801,108.0,0.7001166861143524
2021-01-12,0,True,78.0,0.3939393939393939,262,13:07,15441.0,259,13:04,15432.0,4230.0,2.5461972378914606,15407.0,69.0,29.0,0.18781167022861214,-2.5454545454545454,31.545454545454547,84.61538461538461,45.0,0.29143190207888087,-7.059040590405904,52.05904059040591,91.5129151291513,,,,,,52.0,0.33676575351337346
2021-01-13,0,True,70.0,0.2978723404255319,189,11:54,15737.0,188,11:53,15730.0,2132.0,3.1071692535107167,15720.0,43.0,3.0,0.019063353879392515,9.692307692307692,-6.692307692307692,38.46153846153847,7.0,0.04448115905191587,20.498154981549817,-13.498154981549817,32.47232472324723,33.0,0.20969689267331765,39.18672199170125,-6.186721991701248,53.52697095435685,27.0,0.17157018491453263
2021-01-14,0,True,78.0,0.582089552238806,60,09:45,15681.0,51,09:36,15673.0,6300.0,2.588091670828478,15632.0,98.0,-4.0,-0.025508577259103375,2.604895104895105,-6.604895104895105,37.41258741258741,8.0,0.05101715451820675,3.933579335793358,4.0664206642066425,52.398523985239855,11.0,0.07014858746253429,11.307053941908714,-0.3070539419087144,41.078838174273855,48.0,0.3061029271092405
