strategy,method,hi_N,hi_PF,hi_WR,hi_total,hi_sharpe,lo_N,lo_PF,diff_pct
EstHL,SMA + 0.85,120,2.0732504905166778,0.5833333333333334,3282.0,4.76939546987263,101,1.647347302719572,25.85387957317749
EstHL,SMA + exp_med,104,2.3304912708079577,0.6057692307692307,3277.0,5.29580210906047,117,1.5133897110641297,53.99148373813699
EstHL,EMA + exp_med,97,2.678622668579627,0.6288659793814433,3510.0,6.2511920756863155,124,1.3813084112149532,93.91923243438438
EstHL,EMA + 0.85,121,2.303792981212336,0.6033057851239669,3678.0,5.46874072662062,100,1.4258064516129032,61.578240763761116
Reversal,SMA + 0.85,287,1.3471430771600186,0.44947735191637633,2254.0,1.1206108861052568,190,1.076852418860992,25.10006511244301
Reversal,SMA + exp_med,252,1.3901060070671378,0.4603174603174603,2208.0,1.3832033297268858,225,1.0724566967553062,29.618847201278385
Reversal,EMA + exp_med,244,1.566992524439333,0.47950819672131145,2958.0,2.0270944159284006,233,0.9002642007926024,74.05918429942407
Reversal,EMA + 0.85,292,1.426486915146709,0.4554794520547945,2689.0,1.5001028432687293,185,0.9467284308048639,50.67540687818756
