strategy,method,period,pass_N,pass_rate,N,WR,PF,avg,total,sharpe
EstHL,SMA + 0.85,2026Q1+,8,0.5333333333333333,8,0.75,3.5714285714285716,72.0,576.0,7.5537066135319675
EstHL,SMA + exp_med,2026Q1+,8,0.5333333333333333,8,0.75,3.5714285714285716,72.0,576.0,7.5537066135319675
EstHL,EMA + exp_med,2026Q1+,5,0.3333333333333333,5,0.8,5.346153846153846,90.4,452.0,8.600868732274805
EstHL,EMA + 0.85,2026Q1+,8,0.5333333333333333,8,0.75,3.5714285714285716,72.0,576.0,7.5537066135319675
Reversal,SMA + 0.85,2026Q1+,12,0.7058823529411765,12,0.6666666666666666,3.792233009708738,119.83333333333333,1438.0,8.658190719916508
Reversal,SMA + exp_med,2026Q1+,10,0.5882352941176471,10,0.6,3.566990291262136,132.2,1322.0,8.66440626644921
Reversal,EMA + exp_med,2026Q1+,11,0.6470588235294118,11,0.6363636363636364,3.6388349514563108,123.54545454545455,1359.0,8.479789378618992
Reversal,EMA + 0.85,2026Q1+,11,0.6470588235294118,11,0.6363636363636364,3.6388349514563108,123.54545454545455,1359.0,8.479789378618992
