Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,EmaHL,sl_dist,is_sl_hit,bbpct,bucket,year,pool
1,324,346,14891.0,14857.0,,,-34.0,0.0,-0.0022832583439661436,2021-01-05 09:08:00,2021-01-05 09:30:00,0 days 00:22:00,,125.33333333333333,31.333333333333332,True,0.6300365687122411,2,2021,A
1,617,653,15074.0,15019.0,,,-55.0,0.0,-0.003648666578214166,2021-01-06 09:00:00,2021-01-06 09:36:00,0 days 00:36:00,,127.1111111111111,31.777777777777775,True,1.1918963229593305,3,2021,A
1,1521,1544,15434.0,15480.0,,,46.0,0.0,0.0029804328106777245,2021-01-11 09:01:00,2021-01-11 09:24:00,0 days 00:23:00,,163.6964810615604,40.9241202653901,False,0.7562667277310685,2,2021,A
1,1828,1842,15555.0,15512.0,,,-43.0,0.0,-0.0027643844423015373,2021-01-12 09:07:00,2021-01-12 09:21:00,0 days 00:14:00,,164.20157810331656,41.05039452582914,True,0.9267317750428221,2,2021,A
1,2122,2175,15587.0,15689.0,,,102.0,0.0,0.006543914800795525,2021-01-13 09:00:00,2021-01-13 09:53:00,0 days 00:53:00,,167.42047542681024,41.85511885670256,False,0.8480709537972791,2,2021,A
1,3626,3656,15913.0,15860.0,,,-53.0,0.0,-0.0033306101929240217,2021-01-20 08:59:00,2021-01-20 09:29:00,0 days 00:30:00,,211.34766201517772,52.83691550379443,True,0.7745467303041005,2,2021,A
1,6335,6410,15510.0,15746.0,,,236.0,0.0,0.015215989684074893,2021-02-02 08:59:00,2021-02-02 10:14:00,0 days 01:15:00,,271.34675020363215,67.83668755090804,False,0.9442703856030714,2,2021,A
1,8458,8470,16543.0,16477.0,,,-66.0,0.0,-0.003989602853170515,2021-02-22 09:15:00,2021-02-22 09:27:00,0 days 00:12:00,,253.30775455337226,63.326938638343066,True,0.9681864678564365,2,2021,A
1,11152,11167,16006.0,15934.0,,,-72.0,0.0,-0.004498313132575316,2021-03-08 09:00:00,2021-03-08 09:15:00,0 days 00:15:00,,281.03251652025483,70.25812913006371,True,0.8210139523428097,2,2021,A
1,12965,13031,16258.0,16220.0,,,-38.0,0.0,-0.002337310862344677,2021-03-16 09:07:00,2021-03-16 10:13:00,0 days 01:06:00,,243.8239142159926,60.95597855399815,False,1.0242323144513752,3,2021,A
1,14468,14523,16252.0,16196.0,,,-56.0,0.0,-0.003445729756337723,2021-03-23 09:05:00,2021-03-23 10:00:00,0 days 00:55:00,,221.47135052886915,55.36783763221729,True,1.0174556513257433,3,2021,A
1,15665,15746,16383.0,16430.0,,,47.0,0.0,0.0028688274430812566,2021-03-29 08:58:00,2021-03-29 10:19:00,0 days 01:21:00,,209.41711463985047,52.35427865996262,False,0.9497011668896678,2,2021,A
1,18378,18474,16920.0,17021.0,,,101.0,0.0,0.0059692671394799834,2021-04-13 09:02:00,2021-04-13 10:38:00,0 days 01:36:00,,181.19449957386473,45.29862489346618,False,0.8046899880052741,2,2021,A
1,19578,19737,17142.0,17240.0,,,98.0,0.0,0.005716952514292384,2021-04-19 08:58:00,2021-04-19 11:37:00,0 days 02:39:00,,200.83762618952818,50.209406547382045,False,0.7947375602282557,2,2021,A
1,19883,19962,17258.0,17234.0,,,-24.0,0.0,-0.001390659404334249,2021-04-20 09:02:00,2021-04-20 10:21:00,0 days 01:19:00,,199.32928083814454,49.832320209536135,False,0.7021839773034817,2,2021,A
1,21084,21280,17359.0,17488.0,,,129.0,0.0,0.007431303646523446,2021-04-26 08:59:00,2021-04-26 12:15:00,0 days 03:16:00,,199.33464558547024,49.83366139636756,False,0.9719147327458185,2,2021,A
1,21387,21465,17539.0,17532.0,,,-7.0,0.0,-0.0003991105536234052,2021-04-27 09:01:00,2021-04-27 10:19:00,0 days 01:18:00,,200.63610791066355,50.15902697766589,False,0.8298755746990942,2,2021,A
1,25906,25935,16154.0,16032.0,,,-122.0,0.0,-0.007552309025628312,2021-05-19 09:05:00,2021-05-19 09:34:00,0 days 00:29:00,,455.5060427185315,113.87651067963287,True,0.7763813939422116,2,2021,A
1,27118,27178,16493.0,16513.0,,,20.0,0.0,0.0012126356636148472,2021-05-25 09:13:00,2021-05-25 10:13:00,0 days 01:00:00,,403.2926352349163,100.82315880872908,False,1.1159813776888305,3,2021,A
1,31326,31381,17356.0,17282.0,,,-74.0,0.0,-0.0042636552200967515,2021-06-15 09:07:00,2021-06-15 10:02:00,0 days 00:55:00,,252.01044875081982,63.002612187704955,True,0.9626250976418917,2,2021,A
1,34639,34733,17624.0,17732.0,,,108.0,0.0,0.006128007262823365,2021-06-30 09:09:00,2021-06-30 10:43:00,0 days 01:34:00,,214.6752990315504,53.6688247578876,False,1.0059993653742554,3,2021,A
1,35533,35630,17801.0,17881.0,,,80.0,0.0,0.004494129543284098,2021-07-05 09:00:00,2021-07-05 10:37:00,0 days 01:37:00,,205.08561451867016,51.27140362966754,False,1.0489828511649286,3,2021,A
1,37038,37099,17884.0,17849.0,,,-35.0,0.0,-0.0019570565868932688,2021-07-12 09:00:00,2021-07-12 10:01:00,0 days 01:01:00,,192.83488166038615,48.208720415096536,False,0.874298557956766,2,2021,A
1,37337,37369,17994.0,17945.0,,,-49.0,0.0,-0.002723129932199586,2021-07-13 08:58:00,2021-07-13 09:30:00,0 days 00:32:00,,192.56489293082558,48.141223232706395,True,0.8596650075809797,2,2021,A
1,41856,41909,17450.0,17392.0,,,-58.0,0.0,-0.0033237822349569957,2021-08-03 09:02:00,2021-08-03 09:55:00,0 days 00:53:00,,230.04531683173693,57.51132920793423,True,0.888706752053704,2,2021,A
1,42153,42279,17512.0,17540.0,,,28.0,0.0,0.0015989036089538722,2021-08-04 08:58:00,2021-08-04 11:04:00,0 days 02:06:00,,220.99338189538102,55.248345473845255,False,0.8083689410067989,2,2021,A
1,46068,46149,16461.0,16677.0,,,216.0,0.0,0.013121924548933794,2021-08-23 09:00:00,2021-08-23 10:21:00,0 days 01:21:00,,245.12892005532046,61.282230013830116,False,0.8864887363830982,2,2021,A
1,46668,46754,16827.0,16853.0,,,26.0,0.0,0.0015451357936648868,2021-08-25 08:58:00,2021-08-25 10:24:00,0 days 01:26:00,,241.51823160991086,60.379557902477714,False,0.8191655341505675,2,2021,A
1,48178,48272,17417.0,17412.0,,,-5.0,0.0,-0.00028707584543841147,2021-09-01 09:03:00,2021-09-01 10:37:00,0 days 01:34:00,,243.83156385482846,60.957890963707115,False,0.9313925719609338,2,2021,A
1,49078,49087,17511.0,17453.0,,,-58.0,0.0,-0.003312203757638077,2021-09-06 09:00:00,2021-09-06 09:09:00,0 days 00:09:00,,229.46535973223934,57.366339933059834,True,0.5447123331742062,2,2021,A
1,55098,55121,16487.0,16422.0,,,-65.0,0.0,-0.003942500151634665,2021-10-06 09:00:00,2021-10-06 09:23:00,0 days 00:23:00,,224.47827983239392,56.11956995809848,True,0.8764323252251733,2,2021,A
