trade_date,breadth_adv_dec,breadth_adv_dec_cum,new_highs_52w,new_lows_52w,new_high_low_diff,value_concentration_top20,value_per_stock
2010-01-04,0.7560137457044673,-71.0,0.0,0.0,0.0,0.2381978798204293,163725083.9362029
2010-01-05,0.3544973544973545,-315.0,0.0,0.0,0.0,0.22602180060407154,183762956.2219662
2010-01-06,0.9196787148594378,-335.0,0.0,0.0,0.0,0.2671480648509048,168835467.2893323
2010-01-07,0.19069767441860466,-683.0,0.0,0.0,0.0,0.24851979253026943,182094645.8055342
2010-01-08,1.2053571428571428,-637.0,0.0,0.0,0.0,0.2514156723582378,144987040.91167435
2010-01-11,1.5561224489795917,-528.0,0.0,0.0,0.0,0.23845267618237775,139023929.9348659
2010-01-12,1.648936170212766,-406.0,0.0,0.0,0.0,0.23859783025955822,135502798.7638037
2010-01-13,0.8086642599277978,-459.0,0.0,0.0,0.0,0.24533956045685057,129345294.75153375
2010-01-14,5.3924050632911396,-112.0,0.0,0.0,0.0,0.22593195385346682,139316296.7559478
2010-01-15,1.7413793103448276,17.0,0.0,0.0,0.0,0.2298028837256984,159846521.41275942
2010-01-18,1.4038461538461537,101.0,0.0,0.0,0.0,0.19077044370681914,133230657.101227
2010-01-19,0.6491803278688525,-6.0,0.0,0.0,0.0,0.20777651427465307,149453108.23248652
2010-01-20,0.6769759450171822,-100.0,0.0,0.0,0.0,0.20260343060068323,136015145.99153847
2010-01-21,0.2136150234741784,-435.0,0.0,0.0,0.0,0.23887808940358965,122491964.26100387
2010-01-22,0.20512820512820512,-776.0,0.0,0.0,0.0,0.2853402933647038,135526501.08803087
2010-01-25,0.3551912568306011,-1012.0,0.0,0.0,0.0,0.2611524105166591,104353356.18469861
2010-01-26,0.055226824457593686,-1491.0,0.0,0.0,0.0,0.2491381199831229,148458995.28835773
2010-01-27,0.2795969773299748,-1777.0,0.0,0.0,0.0,0.29467020749857326,110702492.98762567
2010-01-28,13.297297297297296,-1322.0,0.0,0.0,0.0,0.3050320652230596,111158350.2542373
2010-01-29,0.3879781420765027,-1546.0,0.0,0.0,0.0,0.3364367610159652,107923604.37142856
2010-02-01,0.6418918918918919,-1652.0,0.0,0.0,0.0,0.3294769070133471,82804064.50385208
2010-02-02,0.220873786407767,-1973.0,0.0,0.0,0.0,0.3058132133049797,100996281.26789838
2010-02-03,2.5925925925925926,-1758.0,0.0,0.0,0.0,0.28674088326980807,85657876.07275541
2010-02-04,1.9440993788819876,-1606.0,0.0,0.0,0.0,0.2989054565821803,75772922.23552124
2010-02-05,0.05108055009823183,-2089.0,0.0,0.0,0.0,0.2884758388829225,110066261.2078522
2010-02-08,1.6721311475409837,-1966.0,0.0,0.0,0.0,0.33579478628333165,74444820.03166023
2010-02-09,9.36734693877551,-1556.0,0.0,0.0,0.0,0.31612264527577955,90183076.6509288
2010-02-10,4.988095238095238,-1221.0,0.0,0.0,0.0,0.2655870640871512,97314299.17488444
2010-02-22,2.4714285714285715,-1015.0,0.0,0.0,0.0,0.32402298089815046,84784911.43120676
2010-02-23,1.4111675126903553,-934.0,0.0,0.0,0.0,0.3427152713867992,81510454.4309946
2010-02-24,0.9838709677419355,-938.0,0.0,0.0,0.0,0.2972057041248103,77658950.81930502
2010-02-25,0.5947712418300654,-1062.0,0.0,0.0,0.0,0.32416316099095766,92321069.05007704
2010-02-26,0.7173144876325088,-1142.0,0.0,0.0,0.0,0.3260184891911413,75373130.53739399
2010-03-01,5.423076923076923,-797.0,0.0,0.0,0.0,0.3054319966178417,93363794.52968389
2010-03-02,1.201834862385321,-753.0,0.0,0.0,0.0,0.272788862486878,90234971.4969278
2010-03-03,1.5392670157068062,-650.0,0.0,0.0,0.0,0.2500804928880559,79520920.63335896
2010-03-04,0.6782006920415224,-743.0,0.0,0.0,0.0,0.24787483346825656,88496841.47876447
2010-03-05,3.236842105263158,-488.0,0.0,0.0,0.0,0.2845193152310802,85959937.74096848
2010-03-08,3.5688073394495414,-208.0,0.0,0.0,0.0,0.2841410203252427,99222156.58288358
2010-03-09,1.0723404255319149,-191.0,0.0,0.0,0.0,0.23149891078253113,86087804.4371118
2010-03-10,1.3300492610837438,-124.0,0.0,0.0,0.0,0.21592953031962378,84878996.11860465
2010-03-11,0.7634408602150538,-190.0,0.0,0.0,0.0,0.265182293871587,88515871.85681294
