d,th_09:05,th_09:10,th_09:15,th_09:20,th_09:25,th_09:30,dir_full,up_full,dn_full
2025-06-02,-0.10150202553282058,0.03907761562127997,-0.0061355654605930714,-0.06701681983447308,-0.09280164174135556,-0.06558249104518621,-1,103.0,259.0
2025-06-03,0.10364503511335478,0.11835544660640758,0.25446262389286184,0.21871689790896515,0.19712061338539738,0.20369828389983577,-1,209.0,266.0
2025-06-04,0.011515899459897158,0.0426929482165274,0.10000980091006044,0.11121846366208586,0.16043453805742788,0.2020665010997088,1,272.0,73.0
2025-06-05,-0.1096488820121098,-0.10132997983776416,-0.14493828449030555,-0.13357135769123718,-0.18608425854536595,-0.17480310447486097,-1,126.0,165.0
2025-06-06,-0.05407017307496538,-0.04880096477443631,0.010745421292485312,-0.08130065550933069,-0.0019549172363461176,-0.040609170903995226,-1,103.0,117.0
2025-06-09,-0.00378786240257578,0.06031275762982999,0.0016155899310412816,0.08195967876933326,-0.04762936082962564,-0.07227836106871223,-1,130.0,162.0
2025-06-10,0.0690302288403728,0.00915187700291072,0.07084205132214594,0.08714070130341775,0.21807976422727673,0.22544386919823442,1,386.0,195.0
2025-06-11,-0.09291348172682898,-0.16267596157646796,-0.09301604818393161,-0.14635919814242415,-0.11382077049034679,-0.12929917725581808,1,165.0,143.0
2025-06-12,-0.15630167236815615,-0.09576748523751635,-0.04954236848084751,-0.03220256856624236,-0.04344973936308845,-0.037411057254154424,-1,102.0,115.0
2025-06-13,-0.070538596188798,0.030409827743845725,-0.1257199139277638,-0.13754297703665652,-0.044336295223894436,-0.033119417125134144,1,246.0,205.0
2025-06-16,-0.06999551567116373,-0.10311931357183007,0.03799757327494138,0.044955573195823606,-0.021789175176151816,-0.0008096194076528593,-1,174.0,193.0
2025-06-17,0.13448865377319477,0.009527309656573179,-0.01865311080937052,-0.048317140161018256,-0.04188439269021786,-0.0612010278078993,-1,130.0,199.0
2025-06-18,0.10040163039290173,0.2842738541157364,0.21590888889123863,0.17315309238333038,0.17176830118206604,0.13515571205429291,1,268.0,115.0
2025-06-19,-0.011419728989917156,-0.008804666882740715,0.057320937153275645,0.0748683234929617,0.02159199347442466,-0.11024745908755633,-1,80.0,182.0
2025-06-20,0.20277096656406388,-0.03141079875681619,-0.0983992926943538,-0.09512837269946676,-0.1727645745214622,-0.19494318728921425,-1,194.0,273.0
2025-06-23,0.12644231496822894,0.25096356181377394,0.19514645676921494,0.051707981383965165,0.02709036820351892,-0.01569829436757789,1,279.0,193.0
2025-06-24,-0.013070768037592074,0.14270988505740656,0.10123346161276885,0.14516209898199112,0.12971973760130243,-0.001559782542039447,1,202.0,145.0
2025-06-25,0.05279653520405148,0.05841361607836331,0.030258118875214134,0.013449479155631059,0.10845800449744702,0.026123517623605333,1,151.0,132.0
2025-06-26,-0.05304721833939677,-0.14751649666267763,-0.1241950581294212,-0.047060386734936045,-0.08587288698855763,-0.17198000045639872,-1,124.0,185.0
2025-06-27,-0.08279629225078934,-0.07138060834137604,-0.06668229594798351,-0.1017621781454355,-0.13754343219171594,-0.20539370742612847,-1,139.0,232.0
2025-06-30,-0.13160023057815287,-0.07976459538251737,-0.0743208255183747,-0.07637640414111047,-0.07486168034987663,-0.07143248455535837,-1,103.0,171.0
2025-07-01,0.36537225744245666,0.3964462575580912,0.2905930801382788,0.32030785814694224,0.2677365616632649,0.24346816551611386,1,402.0,307.0
2025-07-02,0.05676417966933365,0.02748659624172892,-0.09406937441040722,-0.046449710978109,0.04833044338770073,0.10293036975528544,1,193.0,91.0
2025-07-03,-0.11983782973614772,-0.11316281685330466,-0.26489081633260003,-0.18411704788090902,-0.26393844118492693,-0.17833526872462105,1,169.0,79.0
2025-07-04,0.0120347994653403,0.0068157100005237685,0.0121338534984472,0.01911630677065678,-0.07334373387967287,-0.1503268701548637,-1,50.0,331.0
2025-07-07,-0.18106113196307122,-0.27750980082429005,-0.3506935582660724,-0.31299809647098364,-0.25917298022840407,-0.12623411436474696,-1,180.0,262.0
2025-07-08,-0.1148647411285146,-0.0525695280579491,0.046649589861266695,0.027002311567436092,0.024037953887458934,0.022424679320337572,-1,174.0,256.0
2025-07-09,0.222288948381707,0.2429411202326712,0.2552349438171196,0.20765441723833233,0.2065282150286511,0.19953121277748626,1,327.0,109.0
2025-07-10,0.035003857448938344,0.04905136352986753,-0.03859401869430726,-0.007567858531255761,0.0996949451556129,0.05026989673172346,1,237.0,106.0
2025-07-11,-0.030302120348569,-0.029759641815455998,-0.07468011133561386,-0.14642507008520692,-0.16565049779897326,-0.15522055896299483,1,286.0,87.0
2025-07-14,-0.14740172208501687,-0.26896404367156507,-0.33461005791674153,-0.21072447806027098,-0.32858094944590177,-0.29465932346428053,-1,89.0,175.0
2025-07-15,0.0272222719040557,0.13524563812419105,0.15770447158194192,0.013862700275867137,0.08891964402736655,0.10708877870339062,1,370.0,169.0
2025-07-16,0.0985500468333099,0.11788671803692954,0.21182147460766193,0.1970849344922322,0.18522512995336765,0.10154749433743214,1,297.0,126.0
2025-07-17,0.17766241526944002,0.12399167496842957,0.10820518782708642,0.039384199349075305,-0.023516382235989657,-0.11437094779663023,1,284.0,163.0
2025-07-18,-0.03784018732678973,0.02482051941710512,0.06065913965626334,0.06623812207553924,0.016263964529123334,0.015991825264765183,-1,80.0,169.0
2025-07-21,-0.05335146598579783,-0.12874932377619386,-0.25221599681739887,-0.1222627897863537,-0.11086669145931004,-0.14490943128351294,-1,108.0,129.0
2025-07-22,0.044500976247712924,0.046013156113318486,0.3244604919280279,0.34030856649519414,0.18197849035949162,0.15411747924519842,-1,201.0,429.0
2025-07-23,-0.043714592019299274,0.18524186502670378,0.05489740205610134,-0.031528275489550915,-0.18260089556054027,-0.22059483507993163,1,258.0,122.0
2025-07-24,-0.054537121136378576,-0.012902266645642452,-0.08214556975325735,-0.07827442029865427,-0.11760166310737251,-0.016081149955487962,-1,103.0,179.0
2025-07-25,0.03212696241759294,0.04895710539530717,-0.2256551498758353,-0.16633968671786156,-0.19889281163434433,-0.2136114181658643,-1,109.0,121.0
2025-07-28,-0.035643075433956964,-0.2025478095121783,-0.17523156827674607,-0.09022864469104298,-0.06957041052461643,-0.12859547560903564,-1,193.0,218.0
2025-07-29,0.022608367928772116,-0.05738460121863601,-0.008368779280637001,-0.0509357898194553,-0.060799737975364136,-0.09336077027140292,-1,188.0,332.0
2025-07-30,0.01010538837428968,-0.03640989947616677,-0.1213912851551636,-0.18490143624994293,-0.2527817593068172,-0.2398978825381915,1,223.0,148.0
