strategy,weekday,wd_idx,is_PF_NVF,is_PF_base,is_delta,oos_PF_NVF,oos_PF_base,oos_delta,is_N,oos_N
EstHL,Mon,0,4.168269230769231,1.7852459016393443,2.3830233291298866,3.6218487394957983,3.735632183908046,-0.11378344441224764,13,9
EstHL,Tue,1,2.2240802675585285,1.5483383685800605,0.675741898978468,0.9011406844106464,2.1430722891566263,-1.2419316047459799,18,12
Reversal,Wed,2,1.0262237762237763,0.8178256611165524,0.20839811510722384,1.7837037037037038,1.9085714285714286,-0.1248677248677248,30,26
Exhaustion,Thu,3,0.65,0.40176600441501104,0.248233995584989,0.4023809523809524,1.2,-0.7976190476190476,10,9
