Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,trade_date,weekday,year,night_norm
1,9950,9979,16099.0,16020.0,,,-79.0,0.0,-0.004907137089260161,2021-02-26 09:02:00,2021-02-26 09:31:00,0 days 00:29:00,,2021-02-26,4,2021,1.8198417528910529
1,11157,11198,15654.0,15753.0,,,99.0,0.0,0.006324262169413508,2021-03-05 09:05:00,2021-03-05 09:46:00,0 days 00:41:00,,2021-03-05,4,2021,2.008281573498965
1,14166,14173,16106.0,16040.0,,,-66.0,0.0,-0.004097851732273727,2021-03-19 09:04:00,2021-03-19 09:11:00,0 days 00:07:00,,2021-03-19,4,2021,1.1656275413391164
-1,14830,14879,16187.0,16165.0,,,22.0,0.0,0.001359115339469974,2021-03-23 10:06:00,2021-03-23 10:55:00,0 days 00:49:00,,2021-03-23,1,2021,0.803595030399154
-1,17206,17215,16723.0,16770.0,,,-47.0,0.0,-0.00281050050828191,2021-04-06 09:34:00,2021-04-06 09:43:00,0 days 00:09:00,,2021-04-06,1,2021,0.8737244897959183
1,21085,21091,17118.0,17057.0,,,-61.0,0.0,-0.003563500408926279,2021-04-23 09:00:00,2021-04-23 09:06:00,0 days 00:06:00,,2021-04-23,4,2021,1.5898400752587019
-1,28310,28361,16711.0,16811.0,,,-100.0,0.0,-0.005984082340972918,2021-05-28 09:01:00,2021-05-28 09:52:00,0 days 00:51:00,,2021-05-28,4,2021,0.8735213830755232
-1,29513,29592,17224.0,17283.0,,,-59.0,0.0,-0.0034254528564794384,2021-06-03 09:00:00,2021-06-03 10:19:00,0 days 01:19:00,,2021-06-03,3,2021,0.6864347420032687
1,36460,36481,17842.0,17862.0,,,20.0,0.0,0.0011209505660800811,2021-07-07 09:24:00,2021-07-07 09:45:00,0 days 00:21:00,,2021-07-07,2,2021,1.6241496598639455
1,40953,40964,17114.0,17054.0,,,-60.0,0.0,-0.0035059016010283717,2021-07-28 09:02:00,2021-07-28 09:13:00,0 days 00:11:00,,2021-07-28,2,2021,1.5540069686411149
1,44002,44070,17257.0,17244.0,,,-13.0,0.0,-0.0007533174943501475,2021-08-11 09:41:00,2021-08-11 10:49:00,0 days 01:08:00,,2021-08-11,2,2021,0.907563025210084
1,44865,44926,16864.0,16830.0,,,-34.0,0.0,-0.0020161290322581182,2021-08-16 09:01:00,2021-08-16 10:02:00,0 days 01:01:00,,2021-08-16,0,2021,0.6689895470383276
1,45468,45506,16478.0,16409.0,,,-69.0,0.0,-0.004187401383663025,2021-08-18 09:02:00,2021-08-18 09:40:00,0 days 00:38:00,,2021-08-18,2,2021,1.89413035649982
-1,51192,51280,17496.0,17442.0,,,54.0,0.0,0.0030864197530864335,2021-09-14 09:07:00,2021-09-14 10:35:00,0 days 01:28:00,,2021-09-14,1,2021,0.5003790750568612
1,55145,55181,16267.0,16246.0,,,-21.0,0.0,-0.001290957152517369,2021-10-05 09:47:00,2021-10-05 10:23:00,0 days 00:36:00,,2021-10-05,1,2021,1.9927272727272727
-1,68688,68720,17930.0,17937.0,,,-7.0,0.0,-0.0003904071388733943,2021-12-08 09:45:00,2021-12-08 10:17:00,0 days 00:32:00,,2021-12-08,2,2021,1.1786928598413298
-1,76168,76210,18393.0,18463.0,,,-70.0,0.0,-0.003805795683140323,2022-01-13 09:00:00,2022-01-13 09:42:00,0 days 00:42:00,,2022-01-13,3,2022,0.7665805340223946
-1,76469,76516,18461.0,18290.0,,,171.0,0.0,0.009262770164129797,2022-01-14 09:00:00,2022-01-14 09:47:00,0 days 00:47:00,,2022-01-14,4,2022,1.452560873215785
