Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,trade_date,weekday,year,night_norm
1,6636,6711,15510.0,15746.0,,,236.0,0.0,0.015215989684074893,2021-02-02 08:59:00,2021-02-02 10:14:00,0 days 01:15:00,,2021-02-02,1,2021,0.9259259259259259
1,8759,8771,16543.0,16477.0,,,-66.0,0.0,-0.003989602853170515,2021-02-22 09:15:00,2021-02-22 09:27:00,0 days 00:12:00,,2021-02-22,0,2021,0.9352978859705318
1,11453,11468,16006.0,15934.0,,,-72.0,0.0,-0.004498313132575316,2021-03-08 09:00:00,2021-03-08 09:15:00,0 days 00:15:00,,2021-03-08,0,2021,1.169888097660224
1,12355,12449,15980.0,16168.0,,,188.0,0.0,0.0117647058823529,2021-03-11 08:59:00,2021-03-11 10:33:00,0 days 01:34:00,,2021-03-11,3,2021,0.7513227513227513
1,13266,13332,16258.0,16220.0,,,-38.0,0.0,-0.002337310862344677,2021-03-16 09:07:00,2021-03-16 10:13:00,0 days 01:06:00,,2021-03-16,1,2021,0.6469449820293061
1,14769,14824,16252.0,16196.0,,,-56.0,0.0,-0.003445729756337723,2021-03-23 09:05:00,2021-03-23 10:00:00,0 days 00:55:00,,2021-03-23,1,2021,0.803595030399154
1,15678,15815,16121.0,16244.0,,,123.0,0.0,0.0076297996402208135,2021-03-26 09:11:00,2021-03-26 11:28:00,0 days 02:17:00,,2021-03-26,4,2021,0.5606967882416984
1,15966,16047,16383.0,16430.0,,,47.0,0.0,0.0028688274430812566,2021-03-29 08:58:00,2021-03-29 10:19:00,0 days 01:21:00,,2021-03-29,0,2021,1.0092744135297327
1,16871,16903,16567.0,16514.0,,,-53.0,0.0,-0.0031991308021971365,2021-04-01 09:00:00,2021-04-01 09:32:00,0 days 00:32:00,,2021-04-01,3,2021,0.7990165949600492
1,18679,18775,16920.0,17021.0,,,101.0,0.0,0.0059692671394799834,2021-04-13 09:02:00,2021-04-13 10:38:00,0 days 01:36:00,,2021-04-13,1,2021,0.835820895522388
1,19879,20038,17142.0,17240.0,,,98.0,0.0,0.005716952514292384,2021-04-19 08:58:00,2021-04-19 11:37:00,0 days 02:39:00,,2021-04-19,0,2021,0.4378283712784588
1,20184,20263,17258.0,17234.0,,,-24.0,0.0,-0.001390659404334249,2021-04-20 09:02:00,2021-04-20 10:21:00,0 days 01:19:00,,2021-04-20,1,2021,0.9132841328413284
1,21385,21581,17359.0,17488.0,,,129.0,0.0,0.007431303646523446,2021-04-26 08:59:00,2021-04-26 12:15:00,0 days 03:16:00,,2021-04-26,0,2021,0.9591642924976258
1,21688,21766,17539.0,17532.0,,,-7.0,0.0,-0.0003991105536234052,2021-04-27 09:01:00,2021-04-27 10:19:00,0 days 01:18:00,,2021-04-27,1,2021,0.7988017973040439
1,26207,26236,16154.0,16032.0,,,-122.0,0.0,-0.007552309025628312,2021-05-19 09:05:00,2021-05-19 09:34:00,0 days 00:29:00,,2021-05-19,2,2021,0.9339347306977979
1,26807,26854,16311.0,16186.0,,,-125.0,0.0,-0.007663539942370234,2021-05-21 09:03:00,2021-05-21 09:50:00,0 days 00:47:00,,2021-05-21,4,2021,1.3563627127254254
1,27419,27479,16493.0,16513.0,,,20.0,0.0,0.0012126356636148472,2021-05-25 09:13:00,2021-05-25 10:13:00,0 days 01:00:00,,2021-05-25,1,2021,1.007919366450684
1,31318,31415,17240.0,17227.0,,,-13.0,0.0,-0.0007540603248259448,2021-06-11 08:59:00,2021-06-11 10:36:00,0 days 01:37:00,,2021-06-11,4,2021,0.5933587370713119
1,31627,31682,17356.0,17282.0,,,-74.0,0.0,-0.0042636552200967515,2021-06-15 09:07:00,2021-06-15 10:02:00,0 days 00:55:00,,2021-06-15,1,2021,0.4601877081441114
1,34026,34124,17445.0,17533.0,,,88.0,0.0,0.00504442533677274,2021-06-25 08:58:00,2021-06-25 10:36:00,0 days 01:38:00,,2021-06-25,4,2021,0.661345496009122
1,34940,35034,17624.0,17732.0,,,108.0,0.0,0.006128007262823365,2021-06-30 09:09:00,2021-06-30 10:43:00,0 days 01:34:00,,2021-06-30,2,2021,0.7104940792160065
1,35834,35931,17801.0,17881.0,,,80.0,0.0,0.004494129543284098,2021-07-05 09:00:00,2021-07-05 10:37:00,0 days 01:37:00,,2021-07-05,0,2021,0.8559670781893004
1,37339,37400,17884.0,17849.0,,,-35.0,0.0,-0.0019570565868932688,2021-07-12 09:00:00,2021-07-12 10:01:00,0 days 01:01:00,,2021-07-12,0,2021,1.069747539580659
1,37638,37670,17994.0,17945.0,,,-49.0,0.0,-0.002723129932199586,2021-07-13 08:58:00,2021-07-13 09:30:00,0 days 00:32:00,,2021-07-13,1,2021,1.1106401017380245
1,42157,42210,17450.0,17392.0,,,-58.0,0.0,-0.0033237822349569957,2021-08-03 09:02:00,2021-08-03 09:55:00,0 days 00:53:00,,2021-08-03,1,2021,0.9463512162612462
1,42454,42580,17512.0,17540.0,,,28.0,0.0,0.0015989036089538722,2021-08-04 08:58:00,2021-08-04 11:04:00,0 days 02:06:00,,2021-08-04,2,2021,0.7385426969996702
1,46369,46450,16461.0,16677.0,,,216.0,0.0,0.013121924548933794,2021-08-23 09:00:00,2021-08-23 10:21:00,0 days 01:21:00,,2021-08-23,0,2021,1.291834002677376
1,46969,47055,16827.0,16853.0,,,26.0,0.0,0.0015451357936648868,2021-08-25 08:58:00,2021-08-25 10:24:00,0 days 01:26:00,,2021-08-25,2,2021,0.6355645706558485
1,48479,48573,17417.0,17412.0,,,-5.0,0.0,-0.00028707584543841147,2021-09-01 09:03:00,2021-09-01 10:37:00,0 days 01:34:00,,2021-09-01,2,2021,0.7774607703281028
1,49379,49388,17511.0,17453.0,,,-58.0,0.0,-0.003312203757638077,2021-09-06 09:00:00,2021-09-06 09:09:00,0 days 00:09:00,,2021-09-06,0,2021,0.562187139006546
1,50587,50676,17337.0,17445.0,,,108.0,0.0,0.006229451462190783,2021-09-10 09:04:00,2021-09-10 10:33:00,0 days 01:29:00,,2021-09-10,4,2021,0.8721804511278195
