,entry,hit,t_hit,mfe,mae,heat,mfe_n,mae_n,heat_n,clear_n
0,15411.0,0.0,,113.0,106.0,106.0,0.455033044047691,0.42684515636332077,0.42684515636332077,1.1361828172657045
1,16037.0,0.0,,81.0,185.0,185.0,0.3241753159287593,0.7404004129237095,0.7404004129237095,0.9951395496990244
2,15601.0,1.0,189.0,313.0,31.0,31.0,1.1406524283515067,0.11297196574727383,0.11297196574727383,1.1362978152614678
3,15538.0,1.0,138.0,453.0,190.0,190.0,1.1597816084729182,0.48644261724029686,0.48644261724029686,1.0216356639153752
4,15183.0,1.0,53.0,552.0,87.0,87.0,1.3457217018919228,0.21209744214600956,0.21209744214600956,1.2931911760307202
5,17070.0,0.0,,222.0,31.0,31.0,0.8812555216942383,0.12305820347982606,0.12305820347982606,1.040531101846658
6,16829.0,0.0,,107.0,79.0,79.0,0.5407379926906749,0.3992364618931151,0.3992364618931151,1.01138845410316
7,16440.0,1.0,223.0,356.0,51.0,51.0,1.7248923078618572,0.24710535871054698,0.24710535871054698,1.5016489200548293
8,16835.0,0.0,,105.0,84.0,84.0,0.5223611498235279,0.41788891985882226,0.41788891985882226,2.1319060043147893
9,16926.0,0.0,,11.0,166.0,166.0,0.062399104488958655,0.9416592131970124,0.9416592131970124,1.0851957514621973
10,17243.0,1.0,144.0,173.0,59.0,59.0,1.2234689543971287,0.41725241797358725,0.41725241797358725,1.214087186153304
11,18075.0,0.0,,171.0,53.0,53.0,1.0707310571042465,0.33186401185102377,0.33186401185102377,1.0805380346126414
12,18261.0,0.0,,84.0,51.0,51.0,0.4604644645094862,0.2795677105950452,0.2795677105950452,1.1949576321381232
13,17736.0,1.0,260.0,237.0,33.0,33.0,1.3000476548293072,0.18101929371040984,0.18101929371040984,1.1057609322027468
14,18001.0,1.0,51.0,241.0,31.0,31.0,1.3697043276129783,0.1761860338423333,0.1761860338423333,0.9777183737617235
15,17608.0,0.0,,180.0,86.0,86.0,0.9451632687388529,0.4515780061752297,0.4515780061752297,1.104390698173329
16,17362.0,0.0,,43.0,301.0,301.0,0.21756821352433633,1.5229774946703543,1.5229774946703543,1.6985581144570794
17,16840.0,0.0,,218.0,127.0,127.0,1.0257342954066215,0.5975608051222061,0.5975608051222061,1.5909620617857314
18,17466.0,0.0,,101.0,52.0,52.0,0.5975393275367631,0.3076440102169474,0.3076440102169474,1.4090875468903796
19,16862.0,0.0,,137.0,39.0,39.0,0.8124668566780959,0.23128618547770616,0.23128618547770616,0.98796794244118
20,16686.0,0.0,,48.0,178.0,178.0,0.2834786773004984,1.0512334283226816,1.0512334283226816,1.3824739526804384
21,16221.0,0.0,,123.0,61.0,61.0,0.7215631778676005,0.35784840528393197,0.35784840528393197,2.192852910715147
22,16310.0,0.0,,70.0,44.0,44.0,0.4424528403033893,0.2781132139049876,0.2781132139049876,1.4137065744860182
23,16156.0,0.0,,38.0,141.0,141.0,0.24675552962067876,0.9155928862240975,0.9155928862240975,1.0488864697028026
24,15809.0,0.0,,236.0,79.0,79.0,1.5091476408690356,0.5051807780875162,0.5051807780875162,1.791516695162401
25,15871.0,0.0,,94.0,51.0,51.0,0.5617462945162931,0.30477724489713776,0.30477724489713776,1.010011893800536
26,16380.0,0.0,,106.0,30.0,30.0,0.657756467787541,0.18615749088326633,0.18615749088326633,1.2060436550378837
27,16115.0,0.0,,5.0,122.0,122.0,0.031494423711117006,0.7684639385512549,0.7684639385512549,1.9785866390575764
28,15751.0,0.0,,54.0,368.0,368.0,0.3434388561204601,2.340472204672765,2.340472204672765,1.2579441807999894
29,15196.0,0.0,,104.0,59.0,59.0,0.5697245652411503,0.3232091283579603,0.3232091283579603,2.235471906233883
30,15250.0,0.0,,75.0,26.0,26.0,0.5090063980267507,0.17645555131594023,0.17645555131594023,1.1408979544268607
31,15059.0,0.0,,50.0,37.0,37.0,0.3643155783548745,0.26959352798260716,0.26959352798260716,1.0339964826431411
32,14832.0,0.0,,66.0,70.0,70.0,0.5220044137502258,0.5536410448866032,0.5536410448866032,2.676108871917047
33,14445.0,0.0,,10.0,114.0,114.0,0.06343215923492056,0.7231266152780943,0.7231266152780943,1.1931987591165931
34,14458.0,0.0,,183.0,15.0,15.0,1.264452143562311,0.10364361832477959,0.10364361832477959,2.2724435279118316
35,14225.0,0.0,,25.0,137.0,137.0,0.17897600222617663,0.980788492199448,0.980788492199448,1.715903371826105
36,13916.0,0.0,,37.0,176.0,176.0,0.2555610617144405,1.2156418070740953,1.2156418070740953,1.6085725152217705
37,13356.0,0.0,,102.0,58.0,58.0,0.5920410056148729,0.3366507678986532,0.3366507678986532,1.248277268291664
38,13251.0,0.0,,46.0,165.0,165.0,0.2785645125546166,0.999198795032864,0.999198795032864,3.0154995627026895
39,12815.0,0.0,,100.0,153.0,153.0,0.5459994245321971,0.8353791195342615,0.8353791195342615,1.442727429761523
40,14550.0,0.0,,38.0,117.0,117.0,0.23920631386165497,0.736503650574043,0.736503650574043,1.00719935944705
41,14603.0,0.0,,177.0,9.0,9.0,1.0214227238768219,0.05193674867170281,0.05193674867170281,1.1291811299934913
42,14440.0,0.0,,110.0,29.0,29.0,0.6549675053443158,0.17267325140895598,0.17267325140895598,1.410262936279304
43,13960.0,0.0,,112.0,22.0,22.0,0.7764226516332432,0.15251159228510136,0.15251159228510136,1.186594531413344
44,15353.0,0.0,,62.0,47.0,47.0,0.49750349916803593,0.37713974936931755,0.37713974936931755,1.0921203789176364
45,15381.0,0.0,,174.0,48.0,48.0,1.2883149879127922,0.3553972380449082,0.3553972380449082,1.3727238078554749
46,15618.0,0.0,,6.0,166.0,166.0,0.04441147787396144,1.2287175545129332,1.2287175545129332,1.1383102408327068
47,15194.0,0.0,,111.0,44.0,44.0,0.7752720804343034,0.30731505891089506,0.30731505891089506,1.2425339352143956
48,15545.0,0.0,,110.0,3.0,3.0,0.8906599617028219,0.02429072622825878,0.02429072622825878,1.1503827845961885
49,15450.0,0.0,,109.0,30.0,30.0,0.8873516966635425,0.24422523761381906,0.24422523761381906,1.1117456179870306
50,16966.0,0.0,,85.0,10.0,10.0,0.6895747743399335,0.08112644403999218,0.08112644403999218,1.7309801056455911
51,16851.0,0.0,,64.0,29.0,29.0,0.5308008599969196,0.2405191396861042,0.2405191396861042,1.180957294260646
52,16869.0,0.0,,29.0,196.0,196.0,0.2198012111633322,1.4855530133797625,1.4855530133797625,1.3029366674729763
53,16566.0,0.0,,142.0,30.0,30.0,1.0085191211435982,0.21306741995991513,0.21306741995991513,1.6179669975550086
54,16860.0,0.0,,124.0,44.0,44.0,0.7814580218245085,0.2772915561312772,0.2772915561312772,1.511134623000331
55,16720.0,0.0,,143.0,5.0,5.0,0.765794936276781,0.02677604672296437,0.02677604672296437,1.3031257084653796
56,16200.0,1.0,202.0,155.0,12.0,12.0,1.0878472436954585,0.08422043176997099,0.08422043176997099,1.0413033138764147
57,16285.0,0.0,,1.0,121.0,121.0,0.007248153597478361,0.8770265852948818,0.8770265852948818,1.5331937104750757
58,16365.0,0.0,,122.0,8.0,8.0,0.8816015912584522,0.0578099404103903,0.0578099404103903,1.1237528882563497
59,17442.0,0.0,,102.0,28.0,28.0,0.9162189660158341,0.251511088710229,0.251511088710229,1.0629300066935032
60,17658.0,0.0,,9.0,151.0,151.0,0.08467659682811658,1.4206851245606227,1.4206851245606227,1.492057119287624
61,20544.0,0.0,,61.0,84.0,84.0,0.3587031636967219,0.49395189754958424,0.49395189754958424,0.990401665605088
62,20278.0,0.0,,8.0,480.0,480.0,0.04771258142257854,2.8627548853547125,2.8627548853547125,1.536962454672974
63,19840.0,0.0,,84.0,575.0,575.0,0.38396980611515635,2.6283647442406535,2.6283647442406535,1.4029223621590294
64,21512.0,0.0,,41.0,144.0,144.0,0.19521130478075086,0.685620192400686,0.685620192400686,1.4116685288069206
65,23294.0,0.0,,125.0,140.0,140.0,0.41577725732337756,0.46567052820218285,0.46567052820218285,1.8417687622746832
66,22028.0,0.0,,128.0,110.0,110.0,0.3780469987234584,0.32488413952797207,0.32488413952797207,1.2581597075352853
67,20712.0,0.0,,30.0,1306.0,1306.0,0.08256953953220973,3.5945272876355303,3.5945272876355303,3.044541445207108
68,21246.0,0.0,,101.0,418.0,418.0,0.3176051912578287,1.3144452469878456,1.3144452469878456,2.9095070960436904
69,20734.0,0.0,,388.0,118.0,118.0,1.1070783641231632,0.3366887808415806,0.3366887808415806,1.5348629482534792
70,22699.0,0.0,,56.0,383.0,383.0,0.2002540294416787,1.369594522788624,1.369594522788624,1.0104390788958613
71,22246.0,0.0,,217.0,18.0,18.0,0.7360385993055625,0.061053893029954495,0.061053893029954495,1.0294886620686334
72,22397.0,0.0,,425.0,165.0,165.0,1.421823816446847,0.552002187561717,0.552002187561717,1.6297392990255126
73,23013.0,0.0,,229.0,104.0,104.0,0.657518716458424,0.2986111201383236,0.2986111201383236,1.278968070145105
74,22887.0,0.0,,168.0,63.0,63.0,0.6367338493410851,0.2387751935029069,0.2387751935029069,0.98119866215263
75,22747.0,0.0,,159.0,29.0,29.0,0.6215068336153047,0.11335659229461531,0.11335659229461531,1.0784963325693258
76,22998.0,0.0,,112.0,43.0,43.0,0.5030286729192094,0.1931270797814822,0.1931270797814822,1.0987352941373216
77,23258.0,0.0,,152.0,175.0,175.0,0.6352471207823567,0.7313700403744239,0.7313700403744239,1.1594672792397405
78,22680.0,0.0,,137.0,141.0,141.0,0.5374350035417859,0.5531265364919109,0.5531265364919109,2.5450277056024233
79,23231.0,0.0,,114.0,93.0,93.0,0.5339161259367295,0.4355631553694373,0.4355631553694373,1.3032438140585787
80,22650.0,0.0,,147.0,39.0,39.0,0.6368357875048958,0.16895643341966624,0.16895643341966624,2.5855835074525353
81,22242.0,0.0,,426.0,48.0,48.0,1.8803021478561115,0.2118650307443506,0.2118650307443506,2.0194437037035424
82,22499.0,0.0,,186.0,19.0,19.0,0.7166273386720563,0.07320386792886598,0.07320386792886598,1.2009361149261952
83,21868.0,0.0,,217.0,207.0,207.0,0.8603428721335589,0.8206957351688787,0.8206957351688787,2.268190437023392
84,22031.0,0.0,,21.0,140.0,140.0,0.08206490543258453,0.5470993695505636,0.5470993695505636,1.1233597497392762
85,20856.0,0.0,,209.0,132.0,132.0,0.8265084629781086,0.5220053450388055,0.5220053450388055,3.03750366731612
86,19167.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,7.365253435878101
87,18596.0,0.0,,158.0,592.0,592.0,0.6633613561729654,2.4855058408506046,2.4855058408506046,2.3973375593339443
88,17846.0,0.0,,440.0,707.0,707.0,1.533498741945013,2.464053660352555,2.464053660352555,1.7329818408544024
89,20976.0,0.0,,73.0,186.0,186.0,0.26865732003159515,0.6845241304914617,0.6845241304914617,1.2595376638142917
90,21954.0,0.0,,185.0,61.0,61.0,0.7976425826952297,0.2630064732130217,0.2630064732130217,1.3248535328458615
91,21714.0,1.0,124.0,248.0,20.0,20.0,1.0947353418993695,0.08828510821769109,0.08828510821769109,1.0862526869414837
92,21350.0,0.0,,130.0,145.0,145.0,0.5643384565977033,0.6294544323589768,0.6294544323589768,1.090291168773554
93,23064.0,1.0,28.0,378.0,16.0,16.0,1.537835555801058,0.06509356849951568,0.06509356849951568,1.1075783102132684
94,24100.0,0.0,,40.0,487.0,487.0,0.1740169986259649,2.1186569582711225,2.1186569582711225,1.1496462138408254
95,26450.0,0.0,,485.0,60.0,60.0,1.8348851799628563,0.22699610473767293,0.22699610473767293,2.1674817634463763
96,27710.0,0.0,,140.0,295.0,295.0,0.42848360919395667,0.9028761765158373,0.9028761765158373,1.9169218068288565
97,27510.0,0.0,,86.0,144.0,144.0,0.2762586702599886,0.46257265717951584,0.46257265717951584,1.3536373355700524
98,27142.0,0.0,,156.0,370.0,370.0,0.5268890512760356,1.2496727498213664,1.2496727498213664,1.1114035560846338
99,27834.0,0.0,,150.0,79.0,79.0,0.5491472058727067,0.2892175284262922,0.2892175284262922,1.5714753027772097
100,31888.0,0.0,,76.0,496.0,496.0,0.21910411075698927,1.4299426175719299,1.4299426175719299,1.1715907193858814
101,31458.0,0.0,,425.0,238.0,238.0,1.1175748597995747,0.6258419214877619,0.6258419214877619,1.3623066596532312
102,34744.0,1.0,47.0,751.0,22.0,22.0,1.5192755797052748,0.04450607557059394,0.04450607557059394,1.3679565178913322
103,33461.0,0.0,,205.0,755.0,755.0,0.3615136474184821,1.3314283112241656,1.3314283112241656,2.2489174517258337
104,31730.0,0.0,,294.0,606.0,606.0,0.4659008784653937,0.9603263005103012,0.9603263005103012,2.9502575889283924
