d,lvl,tk,ema20,swing_at_tk,up_full,satcons,cont,W5_level,W5_slope,W5_ddpeak,W5_frozen,W10_level,W10_slope,W10_ddpeak,W10_frozen,is_seg,tk_min,tk_t,tod,vol_ratio
2025-06-03,L3,09:37:00,270.51002965358094,197.0,209.0,0.7282539588357632,0.0,0.2176427245470159,0.0362527531148605,0.0522852953779711,0.2676546260563689,0.257801162782348,0.0385263592249139,0.0324611965606808,0.2805419550954918,IS,577,09:37:00,577,0.9575237368419853
2025-06-04,L3,09:37:00,270.0805030199066,194.0,272.0,0.7183043493728276,1.0,0.2998366145085965,0.0295918667934524,0.0488298826212469,0.1178632626662132,0.2219848865138332,0.0129126341982477,0.0489820888803879,0.1068608484111349,IS,577,09:37:00,577,1.167685165671414
2025-06-10,L3,09:30:00,238.53968888506972,172.0,386.0,0.7210540132919807,1.0,0.3237228870055907,-0.0186705784730006,0.0267057019559348,0.1248455280811078,0.2258945822362806,-0.0156012085442644,0.0161650538197589,0.0813334119358895,IS,570,09:30:00,570,0.8936669384958211
2025-06-13,L3,09:38:00,231.93345492524492,171.0,246.0,0.7372804413020771,1.0,-0.0745699382465001,0.1058289223358832,0.0034138692658649,-0.2758540912098864,-0.0263419470428601,0.0955626694012585,0.0,-0.2169431394012846,IS,578,09:38:00,578,1.6364697567010607
2025-06-16,L3,13:21:00,233.2731258847454,172.0,174.0,0.7373331126234448,0.0,-0.1875782792644045,-0.0054340547459465,0.1467594345422528,-0.1154280903399834,-0.1610766911307316,0.0171952618586208,0.144993999896364,-0.0206111693072991,IS,801,13:21:00,801,0.94734464772595
2025-06-18,L3,09:08:00,226.5387719827508,162.0,268.0,0.7151093765632978,1.0,0.3609996848146534,0.3003245234801031,,0.2421602244200841,0.3290571900734061,0.2240482957070043,,0.2357848905114883,IS,548,09:08:00,548,0.38314983744000697
2025-06-20,L3,11:51:00,225.86960699721777,165.0,194.0,0.7305099707462299,0.0,-0.0744420751742253,0.1238928453410599,0.1090327574362724,-0.088309405713565,-0.156278636163651,0.0921225934091971,0.0827594060347489,-0.1104430382999854,IS,711,11:51:00,711,1.2341568189654974
2025-06-23,L3,09:09:00,230.3582158546256,166.0,279.0,0.7206167984247596,1.0,0.1598076952862404,0.1137029480782133,,0.0821609088206972,0.1891500972571222,0.1324947310299478,,0.109771757372568,IS,549,09:09:00,549,1.3430093366237819
2025-06-24,L3,09:19:00,234.99076672561364,191.0,202.0,0.8127978927062298,0.0,0.1905005291598182,0.2084506215629444,0.0,0.0026126185047279,0.2163836977851151,0.1653734575785466,0.0,0.0611784592446157,IS,559,09:19:00,559,1.3958149986908226
2025-07-01,L3,09:02:00,216.7115143573886,165.0,402.0,0.7613808638146063,1.0,0.1639278612303393,,,0.3657328558563798,0.1569479461302439,,,0.2825172875154508,IS,542,09:02:00,542,0.9476553027045929
2025-07-02,L3,12:19:00,234.35803679954208,167.0,193.0,0.7125849076080258,0.0,0.0589964921023717,-0.0131260680368842,0.2063848697699836,-0.2442349179177895,0.0524728988759032,-0.0264805259466375,0.1687937152935781,-0.1171761014834336,IS,739,12:19:00,739,0.7663612221062056
2025-07-03,L3,11:32:00,230.41917615196664,169.0,169.0,0.7334458998696388,0.0,-0.4227806394525712,-0.1250093799239279,0.1926126282288158,-0.457841101990021,-0.2288821304946512,-0.0889738208238537,0.1057173914385275,-0.3285357829013735,IS,692,11:32:00,692,0.8891044032310607
2025-07-07,L3,09:30:00,234.7059469180498,180.0,180.0,0.7669170822622957,0.0,-0.1742090862102663,0.1688200987614521,0.0,-0.4165382901362418,-0.2079541925879279,0.1435522784435887,0.0,-0.4114816327146234,IS,570,09:30:00,570,1.4966588323575518
2025-07-08,L3,10:55:00,237.3053805449022,170.0,174.0,0.7163765086558294,0.0,-0.0943336403976767,0.0318970783440572,0.084452576485235,-0.0191783567914649,-0.0415526940755479,0.0328477717119257,0.1054120112628075,0.0171097161774423,IS,655,10:55:00,655,1.0206695199262494
2025-07-09,L3,09:53:00,239.0858204930067,176.0,327.0,0.7361373402951263,1.0,0.2043521294550944,-0.1301947928816731,0.1472595412117408,0.3316740569146809,0.1550755349984897,-0.0751268212428686,0.1058430669319476,0.2609186019304373,IS,593,09:53:00,593,0.847649591208168
2025-07-10,L3,10:30:00,247.45859949367275,186.0,237.0,0.7516408820731074,0.0,0.1846981910175929,0.0174175597088424,0.0739025242265525,-0.0746652706799506,0.1186580020370185,0.0006882355842273,0.0706749749997359,-0.0567536443528846,IS,630,10:30:00,630,0.970250260611615
2025-07-11,L3,09:32:00,246.4625423990373,178.0,286.0,0.722219280331076,1.0,-0.1334091961872492,-0.1628602807526394,0.1814115867486709,-0.1009996238526699,-0.1791078735932886,-0.0693810736207651,0.1250312256624432,-0.1290744899649417,IS,572,09:32:00,572,0.9060635967974501
2025-07-15,L3,09:44:00,243.0634417370804,194.0,370.0,0.7981455319383163,1.0,0.1171616194803623,0.2086474425004389,0.0,0.0647571963313317,0.1632860625047933,0.1766900273153173,0.0,0.1216362759681401,IS,584,09:44:00,584,0.7047079995283075
2025-07-16,L3,09:41:00,255.1526377621204,184.0,297.0,0.7211369696735951,1.0,0.1844629327270544,-0.1375749682124986,0.1894777731201371,0.337422702208154,0.2007095622910201,-0.0785264675572626,0.1432734151357616,0.3132231729363268,IS,581,09:41:00,581,0.4562337328559714
2025-07-17,L3,13:19:00,259.1381008323946,186.0,284.0,0.7177640007491647,1.0,0.0173779512928404,0.1716355101351554,0.2355761570475645,0.227119342626925,-0.0245261587451951,0.1201689966122924,0.1409369712781915,0.0949801126365015,IS,799,13:19:00,799,0.9246849937886688
2025-07-22,L3,09:15:00,240.91526116071643,181.0,201.0,0.7513015121082491,0.0,0.4717796507591933,0.452609878226289,0.0,0.4717796507591933,0.3783239585698216,0.3525981310964763,0.0,0.3783239585698216,IS,555,09:15:00,555,0.9757116827227489
2025-07-23,L3,09:11:00,258.8280934311244,187.0,258.0,0.722487259868341,1.0,0.0770722414406998,0.1454205551778727,,0.0394353486806544,0.056124436080489,0.1055435108756063,,0.0333120511623105,IS,551,09:11:00,551,1.5416710886184177
2025-07-28,L3,11:32:00,238.7584378408468,171.0,193.0,0.7162050545580564,0.0,-0.4456273171826803,0.0072695870171278,0.160739291031725,-0.4115080706492324,-0.2190664550680588,-0.0017156618314499,0.1069891022687864,-0.2610229311947816,IS,692,11:32:00,692,1.0189953650527728
2025-07-29,L3,10:06:00,236.78144376076617,171.0,188.0,0.7221849705958001,0.0,-0.6018167487055474,0.1138432723592304,0.5482605772953799,-0.0732422055052172,-0.435777614271583,0.147465785884772,0.4718909559014762,0.0210506991869733,IS,606,10:06:00,606,1.1889873862261782
2025-07-30,L3,09:41:00,245.8498776883122,177.0,223.0,0.7199515479295869,0.0,0.1984372523618583,0.0249988297009572,0.0277136139483741,-0.121022417799827,0.0742423192599038,0.0304107385067103,0.0321188148698915,-0.1307503044736625,IS,581,09:41:00,581,1.3707317523190523
2025-07-31,L3,10:44:00,243.6736988608539,174.0,266.0,0.7140696793024018,1.0,0.0840000397992243,0.0059672758654121,0.0432490058699542,-0.0599222901337451,0.0962428164407081,0.0206690519288008,0.0165067455277127,-0.081954189745492,IS,644,10:44:00,644,1.1065241695616677
2025-08-01,L3,09:02:00,245.8000132550583,188.0,394.0,0.7648494298693093,1.0,0.1842357953190443,,,0.4729851507472203,0.2192653964552093,,,0.4997919339044124,IS,542,09:02:00,542,1.9078546878812708
2025-08-04,L3,10:12:00,259.9142977069575,200.0,268.0,0.7694844099168859,1.0,-0.2500279333101615,0.0147962561730239,0.2316645562130363,-0.1791813053984913,-0.1219103095435137,0.0249924544422906,0.1274196524153309,-0.1574289842607965,IS,612,10:12:00,612,0.9465631798046013
2025-08-07,L3,09:00:00,237.15432112860617,183.0,401.0,0.7716494438267526,1.0,0.3647067133417452,,,0.1607439853314221,0.3101361018080082,,,0.1033141769919095,IS,540,09:00:00,540,1.8966198156578227
2025-08-11,L3,10:20:00,242.78165516423317,182.0,390.0,0.749644778049163,1.0,0.3214140201730225,-0.0159034900547453,0.0524205214115686,0.0016122344533194,0.2541424244567744,-0.0112786003257092,0.0423646040630657,-0.0665036075363093,IS,620,10:20:00,620,0.8088578093884198
2025-08-13,L3,12:46:00,246.91650229997316,180.0,194.0,0.7289913728865403,0.0,0.2126732612762357,0.18108049273408,0.0673965053005357,-0.0201102848155409,0.1451385604951561,0.149028945579501,0.1159160663897648,-0.0319236897181773,IS,766,12:46:00,766,1.3117162730164167
2025-08-15,L3,11:45:00,239.11759031811863,179.0,197.0,0.7485856634882484,0.0,0.1781308890200817,-0.0186765732833231,0.1474241841546815,-0.0601652907892191,0.2034447374071483,-0.0071880751126859,0.0964533558607267,-0.0714623394683198,IS,705,11:45:00,705,0.8531278202541618
2025-08-18,L3,09:16:00,235.10639124020256,168.0,286.0,0.7145701106370963,1.0,0.1005149219961933,0.1366292932233661,0.0179316570755714,0.1184465790717648,0.0667931412955033,0.1096170665524945,0.0265829880915758,0.0933761293870792,IS,556,09:16:00,556,0.9743913905975417
2025-08-21,L3,09:24:00,258.16140130834134,184.0,252.0,0.7127324188182381,0.0,0.5268664255279416,0.1541817359537685,0.0,0.3259195596942584,0.3688553947730295,0.0959720496206248,0.0,0.2126709508953521,IS,564,09:24:00,564,1.4661109489113127
2025-08-25,L3,10:13:00,256.85321059481004,184.0,244.0,0.7163624685628823,0.0,0.1927092690459168,0.152897041340976,0.0013887575098609,-0.1313095976733345,0.138737023927828,0.1045164187314059,0.0096321901003211,-0.068474434395633,IS,613,10:13:00,613,1.1298047296089897
2025-08-26,L3,12:54:00,255.6290953000662,187.0,191.0,0.7315286226729902,0.0,0.3108694421331557,-0.0801791417292077,0.080470206175257,-0.0452328336214916,0.1237233405687063,-0.0554462578802327,0.0575856990828587,-0.0966437995603258,IS,774,12:54:00,774,0.9338694393567418
2025-09-01,L3,09:33:00,236.04489553529612,176.0,176.0,0.7456208684406076,0.0,0.3524204091874788,0.2350524439575698,0.0,0.184207879208725,0.2503072834984461,0.1684931252090305,0.0,0.1215796823278279,IS,573,09:33:00,573,0.9758316544607728
2025-09-02,L3,12:45:00,251.4691911986013,184.0,184.0,0.7316999713681962,0.0,-0.3321431328621961,-0.0024244073394278,0.3921070747737114,0.052518523425749,-0.3601366043106132,-0.0021708821734526,0.4070240150292624,0.0411936510673207,IS,765,12:45:00,765,1.3886750809623312
2025-09-03,L3,09:53:00,262.7578396558773,191.0,195.0,0.7269050478194847,0.0,0.1035927266461207,0.0690800731406172,0.0957114711894818,-0.0947762591379051,0.1260077141213448,0.0822231146440122,0.0576327911190907,-0.0455101247191229,IS,593,09:53:00,593,1.1683359120138765
2025-09-09,L3,10:10:00,236.6530633933062,178.0,178.0,0.752155908939883,0.0,0.31531188889587,0.0221380871348616,0.0,0.091096813880444,0.2365701473695463,0.0155044379500221,0.0,0.0602996285541748,IS,610,10:10:00,610,0.8453605351062322
2025-09-10,L3,10:10:00,231.06705735584848,171.0,283.0,0.7400449114503421,1.0,-0.0111268759582272,0.0299500478311097,0.138483466753428,-0.1725584792114726,-0.0110449667083489,0.0314376254214083,0.1536830965236287,-0.0655328281878215,IS,610,10:10:00,610,1.0862096363623155
2025-09-16,L3,09:10:00,224.48542521722703,174.0,253.0,0.7751060000070206,1.0,0.2456975975059651,0.0941630222418898,,0.1182120384838228,0.1909978255741017,0.0743329796648338,,0.1271105230587028,IS,550,09:10:00,550,0.8760533332703604
2025-09-18,L3,10:58:00,220.324803862628,162.0,257.0,0.7352780856258319,1.0,0.0856147899193092,0.0354422820301018,0.0030751102617714,-0.1145590086002504,0.0432593819141012,0.0238640704119929,0.0047150291495352,-0.0872602241914081,IS,658,10:58:00,658,0.9414746890387822
2025-09-22,L3,10:54:00,223.16837685806965,171.0,252.0,0.7662375933699261,1.0,0.5761052062401262,0.0362465817709733,0.0,0.1374791388996623,0.3489334967212403,0.0369407782395869,0.0,0.0872274165222711,IS,654,10:54:00,654,0.932762294323827
2025-09-23,L3,10:05:00,225.9142457287297,164.0,305.0,0.7259391698429046,1.0,0.224765960763927,0.1107501697798517,0.0211785426616123,-0.1061778118232869,0.0785643890123828,0.0663326455789273,0.0291322827733723,-0.1027513632264681,IS,605,10:05:00,605,1.1854986203826425
2025-09-24,L3,10:32:00,233.44622232599357,177.0,188.0,0.7582046016269657,0.0,-0.2275954048451433,0.197613263922063,0.0,-0.2698965079403064,-0.2314276761029676,0.155146741507968,0.0,-0.299937908663205,IS,632,10:32:00,632,1.3370920799590973
2025-09-26,L3,10:36:00,237.42423188136888,185.0,194.0,0.7791959503629642,0.0,-0.4829689897014778,0.0347682640184188,0.078488287131634,-0.4044807025698437,-0.4318353696147103,0.0266665369014129,0.0752961909677231,-0.3565391786469872,IS,636,10:36:00,636,1.8614964001596603
2025-09-30,L3,09:21:00,261.5743050355242,187.0,249.0,0.7149020236318842,0.0,0.0752858738210044,-0.0392613081954979,0.0742890113040166,0.1217567270904825,0.0791505045199585,-0.0182689734936797,0.0438113856445924,0.0931304202983049,IS,561,09:21:00,561,1.0300860391031317
2025-10-01,L3,09:22:00,260.3767521749981,201.0,314.0,0.7719583193237957,1.0,0.3714770111002329,0.1061566959440996,0.0,0.2487655260703748,0.37378479438607,0.0915022662841685,0.0,0.2369073873050036,IS,562,09:22:00,562,0.9620394276795967
2025-10-03,L3,09:48:00,259.36056130425015,186.0,376.0,0.7171483554194175,1.0,0.503037252028271,0.1750886334256574,0.0140007604748124,0.3366848413558594,0.3589198134117074,0.1416880011131961,0.0111043308456327,0.2128539787211698,IS,588,09:48:00,588,0.8301079810520656
2025-10-07,L3,08:45:00,270.46907927527394,222.0,361.0,0.8207962277789846,1.0,,,,0.3013610108239697,,,,0.150201295381248,IS,525,08:45:00,525,
2025-10-08,L3,12:29:00,279.09107172524784,201.0,215.0,0.720195020060961,0.0,0.1371227277105643,-0.0720145419387544,0.0956037555107734,-0.1905783268372828,0.0605710623864418,-0.0395305483336087,0.0650992079014759,-0.2300697881086573,IS,749,12:29:00,749,0.9531432315100928
2025-10-13,L3,08:45:00,264.32171631023687,240.0,555.0,0.9079844189506916,1.0,,,,0.565394414382097,,,,0.6073621625832356,IS,525,08:45:00,525,
2025-10-15,L3,09:59:00,334.1000897686973,239.0,479.0,0.7153544920190337,1.0,0.035947367764678,0.0479901325647312,0.0,-0.1956286394945758,0.0665514490518398,0.0572111233231313,0.0,-0.1528797198244406,IS,599,09:59:00,599,0.5144750290252114
