date,side,ordinal,day_side_total,group,entry_min,entry,anchor,depth_frac,risk_pts,ema20,mfe_pts,mfe_L,mae_close_pts,mae_close_L,reach_L3,reach_L4,reach_L5,mae_before_L3,vwap_flip_before,dci_side,dci_regime
2022-01-18,long,1,1,A_1st_single,591,18567.0,18472.0,0.193,73,176.8,16.0,0.091,220.0,1.244,0,0,0,,1,-0.059,mid
2022-01-18,short,1,1,A_1st_single,709,18494.0,18583.0,0.205,69,176.8,147.0,0.832,20.0,0.113,1,1,1,20.0,1,-0.048,mid
2022-01-19,long,1,1,A_1st_single,555,18315.0,18230.0,0.188,66,182.4,30.0,0.164,105.0,0.576,0,0,0,,1,-0.132,weak
2022-01-19,short,1,1,A_1st_single,680,18267.0,18345.0,0.375,63,182.4,57.0,0.312,3.0,0.016,1,0,0,3.0,1,-0.165,mid
2022-01-20,long,1,1,A_1st_single,577,18165.0,18081.0,0.509,70,177.9,105.0,0.59,53.0,0.298,1,1,0,53.0,1,0.178,mid
2022-01-21,short,1,2,B_1st_multi,548,17998.0,18050.0,0.854,48,179.0,162.0,0.905,17.0,0.095,1,1,0,0.0,1,-0.477,strong
2022-01-21,long,1,1,A_1st_single,639,17942.0,17896.0,0.933,37,179.0,7.0,0.039,106.0,0.592,0,0,0,,1,-0.394,weak
2022-01-21,short,2,2,C_2nd+,649,17908.0,18015.0,0.337,84,179.0,72.0,0.402,35.0,0.196,1,1,0,35.0,1,-0.477,strong
2022-01-24,short,1,1,A_1st_single,571,17735.0,17814.0,0.563,64,182.3,11.0,0.06,238.0,1.306,0,0,0,,1,0.174,weak
2022-01-25,short,1,3,B_1st_multi,548,17702.0,17799.0,0.454,79,190.7,124.0,0.65,63.0,0.33,1,1,0,63.0,1,-0.386,strong
2022-01-25,long,1,3,B_1st_multi,573,17739.0,17666.0,0.549,61,190.7,12.0,0.063,161.0,0.844,0,0,0,,1,-0.29,weak
2022-01-25,short,2,3,C_2nd+,585,17647.0,17765.0,0.38,94,190.7,69.0,0.362,93.0,0.488,1,1,0,93.0,1,-0.386,strong
2022-01-25,long,2,3,C_2nd+,598,17697.0,17631.0,0.707,56,190.7,13.0,0.068,119.0,0.624,0,0,0,,1,-0.29,weak
2022-01-25,short,3,3,C_2nd+,629,17633.0,17740.0,0.433,87,190.7,55.0,0.288,50.0,0.262,1,0,0,50.0,1,-0.386,strong
2022-01-25,long,3,3,C_2nd+,812,17665.0,17578.0,0.306,70,190.7,15.0,0.079,24.0,0.126,0,0,0,,1,-0.29,weak
2022-01-26,long,1,1,A_1st_single,556,17678.0,17607.0,0.686,59,193.5,79.0,0.408,63.0,0.326,1,0,0,44.0,1,0.4,strong
2022-01-26,short,1,1,A_1st_single,764,17662.0,17757.0,0.166,72,193.5,47.0,0.243,32.0,0.165,1,0,0,32.0,1,0.352,weak
2022-02-07,long,1,2,B_1st_multi,579,17798.0,17723.0,0.616,59,189.4,102.0,0.539,105.0,0.554,1,0,0,105.0,1,0.377,strong
2022-02-07,short,1,1,A_1st_single,591,17751.0,17846.0,0.489,74,189.4,58.0,0.306,149.0,0.787,1,0,0,25.0,1,0.441,weak
2022-02-07,long,2,2,C_2nd+,714,17794.0,17693.0,0.181,78,189.4,106.0,0.56,7.0,0.037,1,1,0,7.0,1,0.377,strong
2022-02-08,long,1,1,A_1st_single,558,18016.0,17936.0,0.305,63,191.1,31.0,0.162,94.0,0.492,0,0,0,,1,0.423,strong
2022-02-08,short,1,1,A_1st_single,815,17953.0,18047.0,0.242,74,191.1,31.0,0.162,1.0,0.005,0,0,0,,1,0.453,weak
2022-02-09,long,1,1,A_1st_single,794,18160.0,18050.0,0.24,86,184.8,9.0,0.049,13.0,0.07,0,0,0,,1,0.443,strong
2022-02-10,short,1,1,A_1st_single,579,18160.0,18240.0,0.349,64,178.5,27.0,0.151,180.0,1.008,0,0,0,,1,-0.039,mid
2022-02-10,long,1,1,A_1st_single,683,18227.0,18133.0,0.293,72,178.5,113.0,0.633,21.0,0.118,1,1,0,21.0,1,-0.023,mid
2022-02-11,long,1,1,A_1st_single,627,18268.0,18182.0,0.289,67,181.2,22.0,0.121,33.0,0.182,0,0,0,,1,0.238,strong
2022-02-14,long,1,1,A_1st_single,729,17997.0,17934.0,0.473,50,174.3,35.0,0.201,40.0,0.23,0,0,0,,1,-0.471,weak
2022-02-15,long,1,1,A_1st_single,543,17994.0,17883.0,0.422,89,176.5,99.0,0.561,81.0,0.459,1,1,0,12.0,0,-0.232,weak
2022-02-15,short,1,1,A_1st_single,762,17998.0,18093.0,0.285,74,176.5,85.0,0.482,15.0,0.085,1,1,0,15.0,1,-0.177,mid
2022-02-16,long,1,1,A_1st_single,659,18228.0,18151.0,0.246,58,179.7,17.0,0.095,88.0,0.49,0,0,0,,1,0.233,strong
2022-02-16,short,1,1,A_1st_single,762,18154.0,18248.0,0.258,73,179.7,9.0,0.05,54.0,0.3,0,0,0,,1,0.302,weak
2022-02-18,long,1,1,A_1st_single,570,18122.0,18039.0,0.187,65,171.8,132.0,0.768,1.0,0.006,1,1,1,1.0,1,0.45,strong
2022-02-22,long,1,1,A_1st_single,760,17854.0,17773.0,0.283,63,185.1,99.0,0.535,4.0,0.022,1,0,0,4.0,0,-0.663,weak
2022-02-23,long,1,1,A_1st_single,799,18050.0,17936.0,0.195,88,195.6,5.0,0.026,28.0,0.143,0,0,0,,1,0.583,strong
2022-02-24,short,1,3,B_1st_multi,552,17809.0,17840.0,0.917,28,188.7,303.0,1.605,41.0,0.217,1,1,1,41.0,1,-0.858,strong
2022-02-24,short,2,3,C_2nd+,658,17746.0,17850.0,0.224,83,188.7,240.0,1.272,18.0,0.095,1,1,1,18.0,1,-0.858,strong
2022-02-24,long,1,1,A_1st_single,775,17638.0,17544.0,0.33,74,188.7,6.0,0.032,132.0,0.699,0,0,0,,1,-0.87,weak
2022-02-24,short,3,3,C_2nd+,803,17617.0,17655.0,0.97,31,188.7,111.0,0.588,7.0,0.037,1,0,0,7.0,1,-0.858,strong
2022-02-25,short,1,2,B_1st_multi,584,17572.0,17702.0,0.455,106,203.5,59.0,0.29,70.0,0.344,1,0,0,6.0,1,0.046,mid
2022-02-25,long,1,2,B_1st_multi,628,17584.0,17513.0,0.732,57,203.5,53.0,0.26,49.0,0.241,0,0,0,,1,-0.028,mid
2022-02-25,short,2,2,C_2nd+,650,17560.0,17642.0,0.366,64,203.5,23.0,0.113,77.0,0.378,0,0,0,,1,0.046,mid
2022-02-25,long,2,2,C_2nd+,779,17620.0,17535.0,0.247,66,203.5,12.0,0.059,62.0,0.305,0,0,0,,1,-0.028,mid
2022-03-01,long,1,1,A_1st_single,550,17787.0,17692.0,0.279,75,202.2,155.0,0.767,20.0,0.099,1,1,1,20.0,1,0.448,strong
