date,entry_min,outcome,pnl,pct,R,mae,win
2021-04-06,601,trail_exit,-24.447311813630222,-0.14603256563903125,-0.24694254357202244,25.0,False
2021-04-22,678,loss,-97.0,-0.5602402679912211,-1.0319148936170213,96.0,False
2021-05-04,589,trail_exit,186.19071078478737,1.088198192780756,2.4498777734840442,27.0,True
2021-05-12,596,trail_exit,202.80992377662187,1.238685175451181,1.283607112510265,2.0,True
2021-05-12,630,loss,-120.0,-0.741335639710879,-1.0256410256410255,129.0,False
2021-05-12,671,trail_exit,604.8099237766219,3.844456672874535,5.40008860514841,41.0,True
2021-05-13,622,trail_exit,98.14497865503836,0.6231031595139251,0.6172640166983544,36.0,True
2021-08-09,589,trail_exit,25.463451707342756,0.14677186989073004,0.22336361146791892,13.0,True
2021-08-11,682,trail_exit,61.50468654218275,0.35731532296626245,0.7235845475550912,0.0,True
2021-08-18,620,open,251.0,1.5184513006654567,1.7801418439716312,16.0,True
2021-09-22,601,trail_exit,18.541012085006514,0.11007487583119518,0.19313554255215118,34.0,True
2021-10-04,678,trail_exit,-11.55066416724003,-0.07052979280234493,-0.10695059414111138,31.0,False
2021-10-12,580,trail_exit,-48.4933689204081,-0.29717715970344466,-0.39107555580974274,47.0,False
2021-11-23,648,open,3.0,0.016982734220209454,0.0379746835443038,55.0,True
2022-01-21,649,trail_exit,5.3780095740658,0.03003132440286911,0.05026177172024112,35.0,True
2022-01-25,585,trail_exit,-1.7770320850322605,-0.01006988204812297,-0.01505959394095136,93.0,False
2022-01-25,598,loss,-69.0,-0.38989659264282084,-1.0454545454545454,77.0,False
2022-01-25,629,trail_exit,-15.77703208503226,-0.08947446313748234,-0.1474488979909557,50.0,False
2022-02-24,658,trail_exit,62.899781367312244,0.3544448403432449,0.60480559007031,18.0,True
2022-02-25,650,open,-49.0,-0.27904328018223234,-0.5975609756097561,77.0,False
2022-03-08,592,trail_exit,179.4454568491492,1.0550650096963146,3.5889091369829837,24.0,True
2022-04-27,649,trail_exit,30.400478030654995,0.18707986480403074,0.33778308922949996,11.0,True
2022-05-10,588,trail_exit,95.40704633176028,0.6019751803379411,1.1093842596716312,4.0,True
2022-06-17,587,loss,-86.0,-0.5630114566284778,-1.036144578313253,87.0,False
2022-06-17,627,trail_exit,-10.89447071270115,-0.07170245302554397,-0.10277802559152029,46.0,False
2022-06-23,588,trail_exit,43.174065916464315,0.2884809963681967,0.3628072766089438,23.0,True
2022-07-04,671,loss,-106.0,-0.7481648785996612,-1.029126213592233,121.0,False
2022-08-30,676,trail_exit,45.72843365829249,0.30690223931739924,0.72584815330623,5.0,True
2022-09-01,663,trail_exit,4.888514554313588,0.03317846175046551,0.09052804730210348,16.0,True
2022-09-05,628,loss,-55.0,-0.3756830601092896,-1.0576923076923077,65.0,False
2022-09-05,639,open,-34.0,-0.23319615912208505,-0.4,83.0,False
2022-09-07,681,open,-22.0,-0.15341701534170152,-0.25882352941176473,31.0,False
2022-09-26,663,trail_exit,30.53086236048148,0.22083806409028192,0.4625888236436588,13.0,True
2022-09-30,675,trail_exit,9.752611785994304,0.07286769116851691,0.1912276820783197,31.0,True
2022-10-11,634,loss,-54.0,-0.4092459264873058,-1.0588235294117647,55.0,False
2022-11-11,620,open,81.0,0.579647917561185,1.0384615384615385,8.0,True
2022-11-22,619,loss,-35.0,-0.24241584707023137,-1.09375,41.0,False
2022-11-22,664,open,37.0,0.25578983753888695,0.43023255813953487,5.0,True
2023-02-22,601,loss,-29.0,-0.18893739005798424,-1.1153846153846154,28.0,False
2023-02-22,649,open,12.0,0.07811991406809453,0.21818181818181817,4.0,True
2023-03-13,595,open,124.0,0.8055609692717468,2.5833333333333335,28.0,True
2023-03-16,611,trail_exit,31.10119947547355,0.2041430881225701,0.44430284964962213,56.0,True
2023-04-14,651,trail_exit,43.190878793426236,0.2715212094890692,0.8468799763416909,3.0,True
2023-05-02,597,open,-21.0,-0.13446023818670766,-0.3888888888888889,47.0,False
2023-05-26,587,trail_exit,4.82391155132791,0.02940333750657022,0.08614127770228411,5.0,True
2023-06-06,617,trail_exit,-23.04751371322709,-0.13749859034260284,-0.2810672404052084,22.0,False
2023-06-26,570,trail_exit,-30.86347303567527,-0.18262410080281224,-0.39568555173942654,28.0,False
2023-06-27,653,trail_exit,42.07005685582044,0.25053630809802546,0.6677786802511181,5.0,True
2023-07-07,630,trail_exit,57.9454670353407,0.3491321747022998,0.9499256891039459,2.0,True
2023-07-18,597,trail_exit,-0.1919230528983462,-0.0011139535254416752,-0.002492507180498003,47.0,False
2023-12-05,681,loss,-40.0,-0.2315216762169358,-1.0810810810810811,39.0,False
2023-12-14,658,open,-37.0,-0.20984573502722323,-0.6271186440677966,34.0,False
2024-01-16,588,loss,-41.0,-0.2362840018441678,-1.0789473684210527,40.0,False
2024-01-16,628,trail_exit,-4.527802132910438,-0.02603382091139856,-0.07074690832672559,33.0,False
2024-01-22,647,open,-43.0,-0.2418855824942341,-0.6515151515151515,41.0,False
2024-01-25,651,loss,-54.0,-0.30080213903743314,-1.0588235294117647,54.0,False
2024-02-27,663,open,52.0,0.2764193068254306,0.8387096774193549,2.0,True
2024-03-07,663,trail_exit,37.78894475861307,0.19205603150342077,0.41074939955014206,12.0,True
2024-03-08,604,trail_exit,197.5591470714353,0.9898248763537015,3.951182941428706,36.0,True
2024-03-08,673,trail_exit,30.55914707143529,0.1549181135122949,0.4774866729911764,3.0,True
2024-03-20,677,loss,-86.0,-0.4319654427645789,-1.036144578313253,99.0,False
2024-04-11,684,open,-45.0,-0.2172758437545266,-0.8490566037735849,46.0,False
2024-04-22,590,trail_exit,93.32307847548509,0.4753136318400993,1.9855974143720232,39.0,True
2024-04-22,643,trail_exit,-15.67692152451491,-0.08029153149559493,-0.10592514543591156,53.0,False
2024-06-12,671,open,103.0,0.4694621695533273,1.0842105263157895,8.0,True
2024-06-28,679,open,-2.0,-0.008701705534284721,-0.015037593984962405,80.0,False
2024-07-02,646,trail_exit,-4.787905561093794,-0.020966480824548057,-0.030496213764928625,48.0,False
2024-07-15,605,open,-72.0,-0.3009781790820165,-0.5179856115107914,103.0,False
2024-07-26,627,open,-33.0,-0.14915254237288136,-0.20245398773006135,69.0,False
2024-07-30,680,open,271.0,1.2333879482978336,1.6625766871165644,47.0,True
2024-08-05,649,trail_exit,70.83624432096258,0.35177158623907523,0.5133061182678448,75.0,True
2024-08-06,587,trail_exit,217.8209310570346,1.1001057124092657,1.0323266874740977,0.0,True
2024-08-06,600,trail_exit,-65.17906894296539,-0.3233730350415032,-0.24595875072817128,72.0,False
2024-08-08,606,trail_exit,-25.84105781272956,-0.12360593998244312,-0.0913111583488677,42.0,False
2024-09-04,683,open,203.0,0.9596747506263887,1.0972972972972972,82.0,True
2024-10-04,643,loss,-152.0,-0.6773920406435224,-1.0201342281879195,153.0,False
2024-10-18,641,trail_exit,122.73938612349957,0.516775656281839,1.8882982480538395,17.0,True
2024-10-24,645,loss,-77.0,-0.32990574121679517,-1.0405405405405406,81.0,False
2024-11-04,679,open,105.0,0.4578554920856408,0.7046979865771812,46.0,True
2024-11-06,597,loss,-114.0,-0.4930369345212352,-1.027027027027027,164.0,False
2025-01-03,646,trail_exit,9.09732058370355,0.039526071357766555,0.08195784309642837,13.0,True
2025-03-03,689,loss,-123.0,-0.5434302376955024,-1.025,131.0,False
2025-03-31,583,trail_exit,112.1042407398345,0.5356406934867146,0.8242958877929007,68.0,True
2025-03-31,689,open,-68.0,-0.3263895555342229,-0.6181818181818182,98.0,False
2025-04-08,615,trail_exit,54.32634803720066,0.2944996369989736,0.6036260893022296,5.0,True
2025-04-11,668,loss,-134.0,-0.6983895345807057,-1.0229007633587786,149.0,False
2025-04-11,686,open,229.0,1.1870205266431682,1.4223602484472049,72.0,True
2025-09-04,663,open,64.0,0.264473738584239,0.3855421686746988,24.0,True
2025-10-16,664,open,193.0,0.6986172446246289,1.0965909090909092,81.0,True
2025-10-30,615,loss,-181.0,-0.6357569371268001,-1.0168539325842696,190.0,False
2025-11-17,668,loss,-146.0,-0.5284111473036555,-1.020979020979021,147.0,False
2025-11-19,608,trail_exit,163.95969238927137,0.6109008993974119,2.049496154865892,25.0,True
2025-11-20,666,open,117.0,0.42760032161391714,0.7267080745341615,10.0,True
2025-12-18,652,loss,-91.0,-0.3294356152481628,-1.0340909090909092,97.0,False
2026-01-05,617,trail_exit,-1.9796477796990075,-0.006535216491809744,-0.012771921159348436,1.0,False
2026-01-08,675,open,-106.0,-0.34684728902850037,-0.7464788732394366,110.0,False
2026-01-29,644,trail_exit,-41.70843228782542,-0.1276853889111447,-0.2590585856386672,49.0,False
2026-01-29,671,open,20.0,0.06106124442816145,0.11976047904191617,63.0,True
2026-01-30,627,loss,-159.0,-0.49472603379072155,-1.0192307692307692,187.0,False
2026-02-05,638,loss,-161.0,-0.5023244204549,-1.018987341772152,162.0,False
2026-02-05,665,trail_exit,-4.652129475387483,-0.014568863445407374,-0.026432553837428877,25.0,False
2026-03-02,613,loss,-218.0,-0.6154714850367025,-1.013953488372093,228.0,False
2026-03-03,621,loss,-111.0,-0.32061465584471854,-1.0277777777777777,120.0,False
2026-03-04,605,trail_exit,90.41015291508666,0.2712901425766268,0.3720582424489163,34.0,True
2026-03-04,657,loss,-193.0,-0.5809578278799554,-1.0157894736842106,205.0,False
2026-03-05,643,trail_exit,7.192207595799118,0.02134059579787288,0.023200669663868124,12.0,True
2026-03-09,622,trail_exit,185.66661869069503,0.5883159120716596,1.2056273940954223,78.0,True
2026-03-09,630,loss,-260.0,-0.8240626287597858,-1.0116731517509727,299.0,False
2026-03-09,660,trail_exit,-25.33338130930497,-0.07973994746397535,-0.08765875885572653,89.0,False
2026-04-23,665,trail_exit,38.61109624797973,0.10258813467592988,0.1520121899526761,15.0,True
2026-04-24,653,open,595.0,1.5404131931859368,2.5869565217391304,13.0,True
2026-04-27,615,loss,-338.0,-0.8388553843099297,-1.008955223880597,339.0,False
2026-04-27,665,open,200.0,0.4988650819385897,0.6825938566552902,228.0,True
2026-04-30,638,trail_exit,45.016308518599544,0.11382126047686358,0.14906062423377334,85.0,True
2026-05-06,616,open,121.0,0.2924188598081152,0.3548387096774194,333.0,True
2026-05-18,596,open,146.0,0.35909292144227456,0.35096153846153844,152.0,True
2026-05-28,626,trail_exit,1166.6686891605204,2.5983133764515722,2.6099970674732003,87.0,True
2026-06-08,579,trail_exit,497.7477548092429,1.162527454244308,2.5790039109287197,78.0,True
2026-06-10,682,loss,-412.0,-0.9356831395348837,-1.0073349633251834,529.0,False
2026-06-11,645,open,701.0,1.64797705526953,1.4394250513347022,89.0,True
