d,ema20,up_full,W20_09:01,W50_09:01,H20_09:01,upsw_09:01,W20_09:05,W50_09:05,H20_09:05,upsw_09:05,W20_09:10,W50_09:10,H20_09:10,upsw_09:10,W20_09:15,W50_09:15,H20_09:15,upsw_09:15,W20_09:20,W50_09:20,H20_09:20,upsw_09:20,W20_09:25,W50_09:25,H20_09:25,upsw_09:25,W20_09:30,W50_09:30,H20_09:30,upsw_09:30,exc
2025-06-02,271.72161172237895,103.0,-0.04437743085403994,-0.047344860087441744,-0.03453566004034434,92.0,-0.10150202553282058,-0.11574496516378936,-0.0986579495287761,92.0,0.03907761562127997,0.018406480172814516,0.059319465334222686,94.0,-0.0061355654605930714,-0.02720785441443217,0.016680242205698498,94.0,-0.06701681983447308,-0.09079127047272406,-0.054766955527173235,94.0,-0.09280164174135556,-0.10888841207946327,-0.08736272292749721,94.0,-0.06558249104518621,-0.09684036605059762,-0.055971848162249954,94.0,0.37906443785279864
2025-06-03,270.51002965358094,209.0,0.06757096785227089,0.06893887325535517,0.06101495709406942,87.0,0.10364503511335478,0.07870638497946378,0.0896464106112891,101.0,0.11835544660640758,0.09072095626659726,0.11690586839559226,126.0,0.25446262389286184,0.1969416845523414,0.2422692587796047,133.0,0.21871689790896515,0.17628378196973385,0.20985030160443896,133.0,0.19712061338539738,0.16591615896897188,0.19892379981686992,133.0,0.20369828389983577,0.174450223511065,0.20908344489975636,154.0,0.7726146060744898
2025-06-04,270.0805030199066,272.0,-0.021705400996330077,0.009092062516717188,-0.0348050286118942,58.0,0.011515899459897158,0.04392692841804776,0.004912553971011839,73.0,0.0426929482165274,0.07507602659845632,0.035381795954045905,93.0,0.10000980091006044,0.12403913075715625,0.07418595372698697,127.0,0.11121846366208586,0.12675601275774037,0.11472081719993558,141.0,0.16043453805742788,0.1716700932666204,0.1489789770336047,178.0,0.2020665010997088,0.19628331959288559,0.16261625191447487,191.0,1.0071071290175728
2025-06-05,270.26331225610596,126.0,-0.10769553233965498,-0.05928513947421042,-0.04362142100740576,41.0,-0.1096488820121098,-0.08074383276353318,-0.004628360901216914,49.0,-0.10132997983776416,-0.05167573123967173,-0.007701157022337864,74.0,-0.14493828449030555,-0.09395088220076196,-0.012247542072876143,74.0,-0.13357135769123718,-0.06424204717995569,0.01494555940548715,87.0,-0.18608425854536595,-0.10799118618847876,-0.029487163140968352,87.0,-0.17480310447486097,-0.09088457638170096,-0.01878035399831767,87.0,0.4662120024659519
2025-06-06,260.23823489838156,103.0,-0.07413135832737415,-0.07739412921961414,-0.07338529879896498,56.0,-0.05407017307496538,-0.0664683132732649,-0.015450357102097101,56.0,-0.04880096477443631,-0.03471471224942477,-0.018216232054955775,56.0,0.010745421292485312,0.011707405408494381,0.02337975295847976,98.0,-0.08130065550933069,-0.07559367292954249,-0.10325071191722505,103.0,-0.0019549172363461176,-0.01846668426834329,-0.003962687516274122,103.0,-0.040609170903995226,-0.052760452638504506,-0.011779243324594303,103.0,0.39579118741033453
2025-06-09,246.59649824139285,130.0,0.04342462265957828,0.031572619404567626,0.08528846433625663,130.0,-0.00378786240257578,-0.0039792091469003634,0.05973621802011552,130.0,0.06031275762982999,0.03796419926632672,0.09858405232679492,130.0,0.0016155899310412816,0.007225725501118185,0.09483229589224416,130.0,0.08195967876933326,0.07353654749894094,0.11843598045952065,130.0,-0.04762936082962564,-0.027462911514480683,0.040674711321031495,130.0,-0.07227836106871223,-0.05773325557281386,0.024355317338345506,130.0,0.5271769912675047
2025-06-10,238.53968888506972,386.0,-0.04119634636352942,-0.03767490324375423,-0.06270195837934882,46.0,0.0690302288403728,0.05408135719541217,0.030103746600687754,70.0,0.00915187700291072,0.0034657518213646477,-0.026720668940279572,81.0,0.07084205132214594,0.05900563616283319,0.019271944646980985,81.0,0.08714070130341775,0.07157805799150459,0.03148711728361512,85.0,0.21807976422727673,0.178425420924376,0.15348166926960236,130.0,0.22544386919823442,0.1897886770228895,0.14406627424285742,172.0,1.6181793554110728
2025-06-11,252.5835280388726,165.0,-0.0652204821775844,-0.030376497990244226,-0.10984898231697714,68.0,-0.09291348172682898,-0.05116967579107137,-0.1424119266596099,68.0,-0.16267596157646796,-0.10835881658862444,-0.24875781540911804,68.0,-0.09301604818393161,-0.044901074202332976,-0.14091658087861125,68.0,-0.14635919814242415,-0.09103794705704384,-0.24878504191485756,68.0,-0.11382077049034679,-0.06649246506274478,-0.1897202974388189,68.0,-0.12929917725581808,-0.08018433331433833,-0.22765289728144164,68.0,0.6532492489953917
2025-06-12,244.24223965421805,102.0,-0.1820495568383047,-0.13849144482191628,-0.1636318314030108,41.0,-0.15630167236815615,-0.13864661697558853,-0.16663167113093574,41.0,-0.09576748523751635,-0.06482414830485399,-0.08514447897611899,47.0,-0.04954236848084751,-0.02480224889169797,-0.06651909800517936,47.0,-0.03220256856624236,0.007311587535563052,-0.036220083348334535,59.0,-0.04344973936308845,0.007951325936442,-0.015662072956192714,59.0,-0.037411057254154424,0.017759010126735617,-0.017648892208956202,59.0,0.4176181816233131
2025-06-13,231.93345492524492,246.0,-0.04092679339535894,-0.019432286377575474,-0.03713698717886542,142.0,-0.070538596188798,-0.04925041749621295,-0.09425199482408865,142.0,0.030409827743845725,0.045931648807574894,-0.002659701152303923,142.0,-0.1257199139277638,-0.08776253858444279,-0.17228480293900544,142.0,-0.13754297703665652,-0.10692629512616371,-0.1980083079936585,142.0,-0.044336295223894436,-0.020984163431354008,-0.08791416656023332,142.0,-0.033119417125134144,-0.0037422723530327858,-0.06676691866741676,142.0,1.0606490559082513
