date,dci_long,dci_short,mfe,reL3,reL4,pnl_fixed,pnl_trail,pnl_mod,pnl_rev
2025-06-04,0.1000098009100604,-2.9672366998988187,203.0,1,1,123.02723764715483,99.0,99.0,123.02723764715483
2025-06-05,-0.1449382844903055,-0.4972841624699955,59.0,0,0,0.0,0.0,0.0,0.0
2025-06-10,0.0708420513221459,-2.5095312994594243,317.0,1,1,100.60171879728296,132.0,132.0,100.60171879728296
2025-06-11,-0.0930160481839316,0.22000659756863583,34.0,0,0,-63.14588200971775,-63.14588200971775,-63.14588200971775,-63.14588200971775
2025-06-17,-0.0186531108093705,-1.006144491880365,41.0,0,0,0.0,13.0,13.0,0.0
2025-06-24,0.1012334616127688,-2.561131124334178,131.0,1,0,96.07843514190972,62.0,62.0,96.07843514190972
2025-07-01,0.2905930801382788,-3.2687320263810387,355.0,1,1,107.08188670810341,212.0,212.0,107.08188670810341
2025-07-03,-0.2648908163326,-1.002887836352288,79.0,1,0,0.0,0.0,0.0,0.0
2025-07-17,0.1082051878270864,-1.182350468998827,158.0,1,0,0.0,0.0,0.0,0.0
2025-08-05,-0.0208626087485645,-0.8750636097603006,66.0,0,0,0.0,0.0,0.0,0.0
2025-08-07,0.0792639378292853,-2.0278173480043873,225.0,1,1,-7.383277677559818,0.0,0.0,-7.383277677559818
2025-08-19,-0.1205142678133758,1.370833222057599,23.0,0,0,-59.988350399569754,-59.988350399569754,-59.988350399569754,-59.988350399569754
2025-08-22,-0.1698631708156756,2.042737079185678,61.0,0,0,0.0,0.0,0.0,0.0
2025-08-27,-0.1035703182612697,-1.1209704877110642,110.0,0,0,0.0,0.0,0.0,0.0
2025-09-04,-0.0819013080963106,-0.6004706673111804,118.0,0,0,0.0,29.0,0.0,29.0
2025-09-08,-0.170969537578933,1.2766993111146452,3.0,0,0,0.0,0.0,0.0,0.0
2025-09-10,-0.0008912191066593,-0.33332373996322906,232.0,1,1,113.28867778000858,42.0,42.0,113.28867778000858
2025-09-11,-0.1479049130606343,1.4075184227720454,64.0,0,0,-59.003262973346864,-59.003262973346864,-59.003262973346864,-59.003262973346864
2025-09-12,-0.0790052804111538,0.27349482824721694,35.0,0,0,-60.2410474520766,-60.2410474520766,-60.2410474520766,-60.2410474520766
2025-09-23,-0.0682467791932129,1.3401232907072378,222.0,1,1,-56.47856143218087,-56.47856143218087,-56.47856143218087,-56.47856143218087
2025-10-01,0.1534907402611506,-2.0271503293394333,253.0,1,1,124.12787079642294,151.0,151.0,124.12787079642294
2025-10-02,-0.0380035906272989,0.623308033004238,13.0,0,0,-67.82331299196449,-67.82331299196449,-67.82331299196449,-67.82331299196449
2025-10-21,0.0468981422678717,-1.1665046103192085,107.0,0,0,0.0,0.0,0.0,0.0
2025-10-29,-0.0566257877971042,-0.4406852889000348,173.0,1,0,0.0,0.0,0.0,0.0
2025-10-30,0.0965978040049676,2.632419482376872,87.0,0,0,0.0,58.0,58.0,0.0
2025-11-11,0.078861854097265,-0.7199796305517391,5.0,0,0,-79.9012960985383,-79.9012960985383,-79.9012960985383,-79.9012960985383
2025-11-20,-0.0983435197336045,-2.3333221865737293,93.0,0,0,0.0,0.0,0.0,0.0
2025-11-25,-0.2164036580011469,0.16111962442392636,17.0,0,0,-77.94261394347632,-77.94261394347632,-77.94261394347632,-77.94261394347632
2025-11-26,0.0113308064663987,-2.292532834408184,180.0,1,0,152.038623192846,61.0,61.0,152.038623192846
2025-11-27,0.0480795627399981,-0.14331067647462306,102.0,0,0,0.0,71.0,71.0,0.0
2025-12-19,-0.0382398891710423,-1.6642340258436779,119.0,0,0,0.0,0.0,0.0,0.0
2025-12-23,-0.0845585308020933,0.3062314211061169,48.0,0,0,6.0,6.0,6.0,6.0
2025-12-26,-0.0842688280455562,-0.23107925178154576,49.0,0,0,-57.85268856638868,-57.85268856638868,-57.85268856638868,-57.85268856638868
2025-12-29,0.0195982176469941,-0.1934907432043469,232.0,1,1,0.0,0.0,0.0,0.0
2026-01-02,-0.0498679240220587,-0.8701984153638709,390.0,1,1,0.0,0.0,0.0,0.0
2026-01-05,0.0250933310121285,0.9818810660246634,541.0,1,1,0.0,0.0,0.0,0.0
2026-01-12,-0.0361372493380289,0.20388298575684838,22.0,0,0,-82.76686513732056,-82.76686513732056,-82.76686513732056,-82.76686513732056
2026-01-22,-0.0587022163002833,-0.8311219089070438,107.0,0,0,-92.79238548676585,-92.79238548676585,-92.79238548676585,-92.79238548676585
2026-01-23,-0.1689957811750005,1.9457473606246107,65.0,0,0,0.0,0.0,0.0,0.0
2026-01-26,0.2321080668008254,-0.44563998862236787,30.0,0,0,-88.83798449143433,-88.83798449143433,-88.83798449143433,-88.83798449143433
2026-01-28,0.2555737352450311,-1.176531277846659,162.0,1,0,0.0,0.0,0.0,0.0
2026-02-10,0.1901580465344733,0.5752962183408321,275.0,1,1,0.0,0.0,0.0,0.0
2026-02-11,0.2184136413004779,-0.8053748564578277,477.0,1,1,191.78940961655462,102.0,102.0,191.78940961655462
2026-02-24,0.1941265132106012,-3.0840435540876365,718.0,1,1,176.36430129608925,57.0,57.0,176.36430129608925
